,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,3.5773232775707706e-307,7.31308812988734e-307,1.0,6.389902349300434e-308,2.02264323109113e-307,1.0325522360792417e-307,2.1238223323840236e-308,0.7550438185685346,0.0527958954176457,0.019330727837893004,0.00575913378676031,0.006503388236996705,0.0053510827579776885,0.004995966435738573,0.00502456254702885,0.005705665217199283,6441.0,75400.0,0.2
1,근로복지공단,0.042172634548044506,0.11966937095013562,0.028606859508691306,0.004633611135156716,0.008446267068417864,0.011615176982035139,0.0026216128958956087,0.36488999677634293,0.4467156260133937,0.07939630415892121,0.018522694415707145,0.022810383337738757,0.014196093281320401,0.012037643540445174,0.01201861205226993,0.016360016783280303,5817.0,9406.2,0.13
2,농협은행,0.7583437442968172,0.0889156514162588,0.009567582643216513,0.003977977301551404,0.0045102755060089155,0.005471106856922542,0.014027286306491313,1.0,4.356810169943133e-307,1.0919693972781355e-307,2.9967741557274265e-308,3.7312288266159496e-308,2.67418453631101e-308,2.3985219051804875e-308,2.417169530077173e-308,2.9651674544186504e-308,6182.0,13100.0,0.15
3,현대카드,0.17718431495791465,0.6719475503093492,0.0542647136979966,0.012626137107683705,0.02019369137884748,0.03521921459259114,0.010894289796769376,0.11905539341276664,0.10017293706643556,0.19286029366562896,0.3564304420193222,0.04846220772443123,0.04318280662538996,0.024457428011031318,0.02398467438916063,0.06476866205570495,8737.0,2300.0,0.35
4,중소기업은행,0.11131423537575635,0.30609220676530585,0.15410806312085334,0.01536103662582819,0.03462963617455318,0.048004890837982185,0.006435758883570818,0.35622668728517126,0.3774661974652469,0.059018731439058704,0.015131765688224047,0.023106788812159284,0.013189404520129162,0.01129412752502307,0.011473139017106107,0.01555959099631582,10065.0,14800.0,0.16
5,국민연금공단,0.5752560226589549,0.2244224360463631,0.015717579573576605,0.005925239243953231,0.007110561173945128,0.009213438646122412,0.034445128426517355,0.15301649671250392,0.3188325346892267,0.0639257533411291,0.013492066551676205,0.02255335287454822,0.010418652267380627,0.008365618005702223,0.008447520451710799,0.01291015479075906,6345.0,29900.0,0.1
6,현대캐피탈,0.14969313515167923,0.033014349405887544,0.0027395955328977416,0.0010835836766118956,0.0012570112172465302,0.0016182224641360789,0.010520981313958599,8.499469816023887e-307,1.0,2.266314190527077e-307,5.111244863741267e-308,6.409895101582804e-308,3.8437440493660767e-308,3.219138818802153e-308,3.215950448063822e-308,4.481532596027963e-308,10926.0,3000.0,0.2
7,국민은행,0.21935022308056978,0.5721658518971271,0.013956618728412714,0.005059486524018668,0.006239674177362535,0.009148616241698415,0.013478287914546722,0.3719618962826506,0.4171627267208531,0.07408075901320652,0.01742638392151032,0.022181312197996635,0.013590694477785409,0.011522271964249018,0.011526761507754871,0.015721683055500233,11355.0,21200.0,0.23
8,삼성생명보험,0.7043468346271412,0.23687680077821424,0.015457305480013308,0.005861015259197271,0.007088994008785772,0.009870386246343942,0.02049866360030413,4.6789584035824494e-307,4.7420873117259364e-307,3.8646282223231465e-307,1.039111332816372e-307,1.0,8.367780042025965e-308,5.881968912015034e-308,6.058580973202651e-308,1.3283224632458913e-307,11975.0,27100.0,0.07
9,신한은행,0.5815207401142738,0.0657347965593528,0.006768243165194675,0.0027421732168762766,0.003138902191434432,0.003813078295831029,0.01354048995408007,0.20819380419715391,0.5236700493003147,0.07417345605994033,0.015572499100974333,0.02136467274347456,0.011580593599831771,0.009514561752237478,0.009523461158542917,0.013817948995933062,11276.0,21900.0,0.1
10,우리은행,0.11520906531487683,0.33469488409228654,0.18824116610552946,0.016174693653483244,0.03901452982781415,0.053397735818387776,0.0066576049088767995,0.6636893542049782,0.05145189160346633,0.017406206477508714,0.005131816851767331,0.005979466970229792,0.004779244549000206,0.004436210809693547,0.004473582227916047,0.005147615197093007,10406.0,20400.0,0.09
11,신용보증기금,0.16059798799370353,0.3389268368622151,0.014563871283470482,0.004656317758349877,0.006250467267026176,0.008969415744934699,0.010630893894763098,0.5972519160208384,0.05883233577295785,0.01869103355241817,0.005298044640834262,0.006309857711700626,0.0047868996288006095,0.004366252487602297,0.00439017470710801,0.005213899036848533,9488.0,1100.0,0.25
12,한화생명보험,0.11468117615519315,0.4515962361069984,0.03721921461603443,0.0085442866337177,0.01383403466819191,0.025230096179281538,0.006954075224483068,3.0056696995869386e-307,1.8396071041189768e-307,1.4838260657589961e-307,8.304317091236011e-308,5.725517556319214e-308,2.64491267485189e-307,3.591243178135495e-307,1.0,1.1225487789248789e-307,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.16165639811793941,0.6387336064144641,0.016955959819155753,0.0054301044522110506,0.007363552146339491,0.01169079460949314,0.009811890687194099,0.5084007139715403,0.0907070942285457,0.027518362076574723,0.00744207349542227,0.008771797390832158,0.0063154807807520585,0.00562337058248307,0.005630642049922165,0.00698869690792053,9961.0,2700.0,0.08
14,하나은행,0.4183192037973101,0.104004481133957,0.007696619453536452,0.0029250232748021174,0.003495276110777236,0.004592760395499037,0.026898635868706108,0.043577114915156506,0.04321977535024337,0.8124611192532533,0.021730227311746234,0.03141689117456026,0.010255596790706494,0.006569164250603153,0.006558905553503614,0.016482882393225706,11856.0,29200.0,0.1
15,삼성화재해상보험,0.45683420232647715,0.09285782121640551,0.008389334019990848,0.003382417554987574,0.003926309923852329,0.005067485525834221,0.014765392495619924,0.6732131135258514,0.18688253203740665,0.034975993487529465,0.009500093872139962,0.012430082246665263,0.00849861371978147,0.007557701708128424,0.007641550564052789,0.009569728724132856,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,4.702367248477365e-307,4.253904832916312e-308,1.7107678574006213e-308,1.9868855864804626e-308,2.5365621029165887e-308,8.473840286623914e-308,1.0,1.3578842748589698e-307,5.03107690174822e-308,1.5065972785176396e-308,1.7017240536816867e-308,1.4103099830106336e-308,1.3212653272916356e-308,1.3296267183003906e-308,1.501239443382728e-308,5645.0,3957.1,0.26
17,메리츠화재해상보험,5.2844139882724374e-307,1.0,1.2452870469120643e-307,3.575261860877087e-308,5.297432694147639e-308,1.270494829329743e-307,3.15728302535896e-308,1.0,1.6064917076230706e-307,5.617359849538462e-308,1.6738708855313073e-308,1.945631274764148e-308,1.5747527565946905e-308,1.470764107985582e-308,1.4841136526152706e-308,1.6903755639400444e-308,8562.0,10100.0,0.25
18,교보생명보험,1.0,7.131564554197983e-307,5.002487183734812e-308,1.892917925663535e-308,2.263078794574731e-308,3.0014864121548956e-308,1.5572638644225214e-307,3.4543029468667503e-307,2.2954788780643034e-307,2.1321933067290805e-307,1.4105482603985681e-307,8.17728328970982e-308,1.0,3.003340612785059e-307,3.30892646890706e-307,2.159428096401853e-307,10001.0,13000.0,0.08
19,롯데카드,0.6856304898736961,0.11401817659397717,0.010696004588258689,0.00431670970370485,0.00501373487062038,0.006367992263960596,0.018712146055745598,0.8519601298154911,0.07683199032424037,0.02584284078575932,0.007676613175554617,0.00908415699801901,0.007236670718292637,0.006742305598879703,0.006814597809652067,0.007810694774111112,8325.0,1500.0,0.16
