,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.11862361235590778,0.12282639350925972,0.010125071928914296,0.029214177240756162,0.5649194108163026,0.7796757542369416,0.013028235761121047,0.006848021867845869,0.005881575019942978,0.005991078856820801,6441.0,75400.0,0.2
1,근로복지공단,0.3375710567847625,0.3563581219691587,0.017321777176536393,0.030065324215670874,0.04729746515644321,0.8845790283615672,0.027013047625251564,0.016383584196451542,0.010843329774559944,0.011037965862084224,5817.0,9406.2,0.13
2,농협은행,0.717281136588018,0.027637704789342545,0.0031351736918323997,0.0036757120986746585,0.0037787446890485956,0.9192318733527794,0.012286189906243205,0.0067043184088703455,0.005214606040727822,0.005351315270876914,6182.0,13100.0,0.15
3,현대카드,0.32575865515381225,0.3078501594900315,0.008770852647700035,0.013681608271663839,0.01695415036581323,1.3201844397354776e-306,3.3193796845655852e-307,1.0,8.807440518950832e-308,8.869839634371418e-308,8737.0,2300.0,0.35
4,중소기업은행,0.2512363328060159,0.38605115002154605,0.01723505026430642,0.036849821176967466,0.046110624634891274,0.7278290539018695,0.02331434615913681,0.012918406531406485,0.009126528453739716,0.009500244283081886,10065.0,14800.0,0.16
5,국민연금공단,0.581848015783266,0.03502621923408791,0.003253166893761,0.0040999867052034945,0.004445598230794044,0.6876401688194861,0.02288008418366845,0.014416123232399958,0.008270289657853185,0.0086030090031905,6345.0,29900.0,0.1
6,현대캐피탈,0.682056845805249,0.03329433275097113,0.0035214456859459222,0.004059908457248718,0.004291688966515696,1.0,8.109735566018125e-308,5.039861010504871e-308,3.1895928999939983e-308,3.2529454403019833e-308,10926.0,3000.0,0.2
7,국민은행,0.7320929721983407,0.06827138867097668,0.005714739745219737,0.007077551519031507,0.0074026033397136945,0.9331937990192491,0.027713014083522038,0.016740055235901417,0.011057999434732338,0.011295132226594971,11355.0,21200.0,0.23
8,삼성생명보험,0.8167871132395861,0.04836641220344658,0.004301762402383987,0.005445705280878646,0.005688661011667034,1.0,2.033489820465375e-307,1.1497287732393316e-307,5.666513763520234e-308,6.103203014832418e-308,11975.0,27100.0,0.07
9,신한은행,0.5688492300336749,0.02210553792622168,0.0024826462728472823,0.0028834806893641846,0.003029305335085005,0.9432667681740733,0.023601887760938377,0.014872047669458141,0.009022729293074933,0.00923656710245544,11276.0,21900.0,0.1
10,우리은행,0.29605075581955476,0.5014133999963964,0.020737218753733234,0.045899790940060324,0.05810419855113156,0.7949747231575255,0.01194310202388522,0.0062845241286954906,0.005319833701478596,0.005440464822336222,10406.0,20400.0,0.09
11,신용보증기금,0.8128338113432859,0.10252705135162765,0.006986043582869662,0.009422497146500548,0.010668420583927444,0.5463063627957699,0.009260302137270783,0.004955095144081782,0.004058415664594399,0.004141001512575856,9488.0,1100.0,0.25
12,한화생명보험,0.3152686072367499,0.30327025704439214,0.009114781276132312,0.014267018128368412,0.017607791812635543,6.531041986036294e-307,4.148796136106958e-307,8.220662062231312e-308,3.5243860761306993e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.45952359275375454,0.058435192239503775,0.0037675258113740438,0.005131398056218031,0.005596948924306101,0.9177312534565064,0.02078673870647933,0.011665699481431589,0.008853783479987847,0.009015717385232668,9961.0,2700.0,0.08
14,하나은행,0.7029226718602414,0.03481223856231536,0.0032889825527289483,0.004081441252146286,0.004347704397951659,1.0,2.682081374280106e-307,2.84783385335732e-307,7.0869325348950675e-308,7.366194417085394e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.5881415156598955,0.03158123206546853,0.0031845366607916154,0.00391250665142347,0.004011989031893619,0.9823291104938161,0.007393631819231698,0.004020633093352216,0.0030796119866937917,0.0031770126069063922,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,1.787996179164051e-307,1.838536582595539e-308,2.2315304654649224e-308,2.3088791857987145e-308,0.9704151669301581,0.012136454716758942,0.006356208019108469,0.005494431181651984,0.0055977391523223015,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.3235849495598352,0.5961737663060487,0.008669369503345665,0.013140996090527712,0.01360545491365032,0.9723104546995253,0.01139821890411686,0.0059375895113240075,0.005118871351861094,0.0052348655331728895,8562.0,10100.0,0.25
18,교보생명보험,1.0,2.230708533144612e-307,2.07378032032752e-308,2.5843306303946703e-308,2.763621347649514e-308,7.935248868463337e-307,1.0,1.2695386752480604e-307,2.7996882450186054e-307,3.786760256591879e-307,10001.0,13000.0,0.08
19,롯데카드,0.718484126794622,0.03387374756808682,0.003504212780678866,0.00427957179089826,0.004397057557888867,0.8631418036109041,0.014798795104625905,0.007695252923642988,0.0065942871996687346,0.006761488400434232,8325.0,1500.0,0.16
20,한국투자증권,0.27843675584380784,0.34102459760984427,0.013313845067936557,0.023136924285356346,0.02475224904852117,0.4929328854713507,0.01474387901277152,0.007951336019849034,0.006002931840645283,0.006232183174434024,16010.0,9900.0,0.15
21,한국산업은행,1.0,1.862011067428117e-307,1.8826738758296783e-308,2.2947734080704856e-308,2.39097354835858e-308,0.7002252216778959,0.013468746803941844,0.007021658307302399,0.006129189367952587,0.006241557357312453,10264.0,24700.0,0.16
22,삼성카드,0.6239471836932824,0.031071031171508372,0.0028885461856049356,0.0036321728886774436,0.0038925488813962837,0.74411236983303,0.013691373910822674,0.007279498346808072,0.005858773439549933,0.00603770182470732,14080.0,3200.0,0.13
