,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.14679393513423536,0.7567293326646468,0.04088881528784785,0.03760732977539748,0.013630634187272965,0.00434995295059959,0.8251276640874918,0.03420704086141419,0.012231783508747901,0.00550392665130667,0.005566280793851771,6441.0,75400.0,0.2
1,근로복지공단,0.22623673492226107,0.18477141251768553,0.06265837262627712,0.02097526217611291,0.011656967006874621,0.005815548715972492,0.44436230988659303,0.06143420473648298,0.016395551484172592,0.006520046761668412,0.006487660960651341,5817.0,9406.2,0.13
2,농협은행,0.9396603845293181,0.022250201928816746,0.012610197231511744,0.004942984733298482,0.004488521573240133,0.016047710003814723,0.9205465451098411,0.027242280541870008,0.008945350293222916,0.0037767574427348804,0.00382908503877728,6182.0,13100.0,0.15
3,현대카드,0.5788572390370963,0.16169598414919542,0.08146350201136432,0.01860454418627764,0.012690580393613269,0.01048434429603904,0.15808510368140574,0.6813298910816333,0.09548311209136057,0.019682127797775464,0.018311696259329296,8737.0,2300.0,0.35
4,중소기업은행,0.29735697813255035,0.36054615740752405,0.15667512814114465,0.039603026040082874,0.02048468544657494,0.008003158932295642,0.8421039456880859,0.09250988716376782,0.02809224724198562,0.010797551207543762,0.011086688837683262,10065.0,14800.0,0.16
5,국민연금공단,0.663968105619881,0.023720763118048716,0.013341597844604092,0.004832952233449779,0.004191280662319409,0.023802139408328853,0.5099375363392956,0.09947966437032475,0.024607174160104276,0.008873537178884247,0.008991020833682344,6345.0,29900.0,0.1
6,현대캐피탈,0.4847030120985974,0.01606237840733163,0.009319191763501544,0.0033656978670426343,0.002950674782071982,0.03182284633167721,1.0,3.4001297530832123e-307,8.742453048823412e-308,3.409666537171042e-308,3.3976904720448736e-308,10926.0,3000.0,0.2
7,국민은행,0.7875745438807895,0.029621246542337974,0.019565888572411157,0.0058606636651054025,0.004911350602988747,0.013757706817609088,0.7630948594328126,0.09702418293040783,0.026138535706446586,0.010270330130185691,0.010277023309008497,11355.0,21200.0,0.23
8,삼성생명보험,1.0,1.1736011168778118e-307,7.262514757117162e-308,2.3983752726574853e-308,2.0536418350576204e-308,7.661395263924929e-308,0.24894192903280626,0.6275024413436804,0.050157253135513426,0.013580637371348458,0.014148969219415346,11975.0,27100.0,0.07
9,신한은행,0.9076043757658747,0.03154696764250331,0.01755340478886038,0.0068636762916095525,0.006178565809887185,0.03025300970126476,0.6699728454904968,0.09326946855061291,0.022751033421241212,0.008597708012542072,0.008587401065308527,11276.0,21900.0,0.1
10,우리은행,0.22836142837371404,0.3009111498562483,0.1265686313143727,0.032737347151467824,0.01611702085217913,0.006184351848566807,0.9053280671928403,0.0403623803563363,0.014352882728422573,0.00636713208294295,0.006466278509550488,10406.0,20400.0,0.09
11,신용보증기금,0.8552446137677854,0.0553951612256153,0.03225434882736578,0.009893620122671538,0.007731180323852924,0.017309668810644975,0.6560967493032306,0.024794498606399363,0.008450496821924357,0.0036850722454297895,0.0037210784779503113,9488.0,1100.0,0.25
12,한화생명보험,0.5690430836824103,0.1435208938960314,0.08499089434783971,0.017435088080429286,0.011881139314864824,0.009664694331316635,5.528870159901974e-307,3.2259967385269e-307,4.048788198153862e-307,3.742243491959224e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.8416370284089344,0.043718214429238456,0.028494328490932273,0.007946794587252573,0.006179148826896439,0.011389933714515996,0.4756591739067068,0.03084939805486588,0.009722908633640507,0.004110878211932295,0.004124351697404853,9961.0,2700.0,0.08
14,하나은행,0.837805987642513,0.023615922797683334,0.01379317312407674,0.0048476247490246566,0.004201979312974761,0.040955430900913525,1.0167123909917872e-306,1.0,2.997956325899351e-307,7.726461102715417e-308,7.597786372771682e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,1.0,9.062797258708814e-308,5.401139063920111e-308,1.9604211983729334e-308,1.7392391589231383e-308,7.700487031254795e-308,0.4924581773878739,0.029354334523222295,0.009538028598816788,0.003934854890322064,0.00401075138037447,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,8.231688474684753e-308,4.817099486479895e-308,1.777727786150639e-308,1.5800607716619827e-308,8.064252396819564e-308,0.9545645308884609,0.026937656924589173,0.009694679177499011,0.004375477865518115,0.0044276551439327355,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.6780988539645286,0.0780042720768702,0.08314033468388082,0.012713068735096509,0.008883626679650961,0.007196043548973796,0.8936033883549389,0.036302463576677005,0.01311093523458813,0.005856694065951077,0.005955746268123331,8562.0,10100.0,0.25
18,교보생명보험,1.0,1.0306329304932946e-307,6.012838398367311e-308,2.112629194544001e-308,1.8295832804226993e-308,1.4772429193635061e-307,6.594370289362178e-307,4.945184270623007e-307,1.0,2.764778875593776e-307,3.0325779069146127e-307,10001.0,13000.0,0.08
19,롯데카드,0.6706416788206141,0.018840878790879412,0.011067268357745831,0.004097106549781599,0.0036535974566306753,0.016537651353489606,0.7524619098409371,0.036692979073192085,0.01324061443744816,0.0058657540999463315,0.00598198806161738,8325.0,1500.0,0.16
20,한국투자증권,0.4122887608357586,0.2129963663584029,0.21967289008451252,0.030395653418411987,0.017788891618164653,0.009348028983323698,0.5179115507256622,0.047266021157320454,0.015250165965845771,0.006097592121451774,0.006261172029986771,16010.0,9900.0,0.15
