,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.060403611517640086,0.05968685388365039,0.8273523102520859,0.009446239255053978,0.017564829449349083,0.012563150454124358,0.009921308068275202,0.0030616971198212887,0.8578956073246121,0.04502430057813997,0.014042703553879727,0.013326912719286594,0.012437118319134015,0.005764166800637381,0.0054286727872773916,0.00547940400776925,0.0060315815571677514,6441.0,75400.0,0.2
1,근로복지공단,0.12629646948986284,0.16803866074835622,0.1484530705746183,0.012476826783711753,0.019229301991109754,0.026043645761039413,0.02734494453098807,0.006193702091256139,0.4370134403758176,0.33464536934898825,0.05147105356249901,0.03619664163841055,0.03424706840905929,0.012853475221653074,0.011414652922121633,0.011335207250234586,0.014682770582008951,5817.0,9406.2,0.13
2,농협은행,0.7134112410202376,0.06400906835973884,0.012723934927496891,0.0034822685495602703,0.003832060583021303,0.004630343879931838,0.0052073722625077265,0.011955079835878023,0.8642107763855998,0.04401129123667774,0.0104617737988827,0.009562760280908782,0.008455645838894613,0.003723982870190014,0.0033908586591519033,0.0034286721018684115,0.004019539903052817,6182.0,13100.0,0.15
3,현대카드,0.24868782986145424,0.45965180808426825,0.11727594919607086,0.015270239551381522,0.022362985489590762,0.03845548478646372,0.062341225141607455,0.012534267232625053,5.512258309232954e-307,3.370963297663983e-307,4.264930043741746e-307,3.7904454086743694e-307,1.0,1.4572451752566834e-307,1.0498967952602077e-307,9.809859899444868e-308,3.1949094454190326e-307,8737.0,2300.0,0.35
4,중소기업은행,0.13732160452838163,0.1461797488109093,0.2599182236721438,0.016202210010946374,0.030222744125885312,0.045978542420835995,0.04008733068797582,0.0066450397300773754,0.3990254945959795,0.24212110306391393,0.035007844314648214,0.034594275928829236,0.026021286658661533,0.011266485951050757,0.009808069189099258,0.01001008931076909,0.012538043015980571,10065.0,14800.0,0.16
5,국민연금공단,0.6470598421875182,0.19320231226671197,0.023603991012944345,0.00584381031561647,0.006664537224483169,0.00855575252675368,0.010077787359944893,0.03160724117666696,0.1854519618803021,0.2843129067856426,0.04523668651082042,0.03467707777149487,0.0269654260778125,0.009910726017410889,0.008309677268495736,0.008371555946738473,0.011837524312268125,6345.0,29900.0,0.1
6,현대캐피탈,0.2263701453600904,0.04041378769803045,0.005780531185759912,0.0014764419235042958,0.0016692446734502733,0.0021262975706484366,0.002496481828956922,0.013568422041727552,1.1690120068824716e-306,1.0,1.7687546126784403e-307,1.2043337460285548e-307,1.126053875245331e-307,4.1282793561469645e-308,3.620152638959582e-308,3.600795712528947e-308,4.778313024679815e-308,10926.0,3000.0,0.2
7,국민은행,0.2942093758476422,0.44663780124202623,0.024996325746199942,0.005718734406688985,0.006809911598189328,0.009837702108634005,0.013210255523335037,0.015106873560732271,0.45609869113799434,0.31441772692187503,0.048709237756256914,0.03581217417478645,0.032861314789566796,0.012549909591187007,0.011086337136617403,0.011062030095102668,0.014316627973889075,11355.0,21200.0,0.23
8,삼성생명보험,0.4696468113746664,0.34722459819224183,0.020037193014050478,0.0049118918567836395,0.005681293887555642,0.0077864361715246425,0.009416605838604859,0.017497231568591055,6.6522872998294186e-307,5.109125553714167e-307,3.347090526643908e-307,1.0,2.1898266987103435e-307,9.064355144938648e-308,6.718155294566629e-308,6.9421765499484575e-308,1.1738806620525706e-307,11975.0,27100.0,0.07
9,신한은행,0.5337095609192004,0.04559139819902737,0.008703801613273155,0.0023362861042252104,0.0025818156006239207,0.0031127359639807847,0.003527230849538316,0.010597654719002956,0.23528925512069093,0.5781299243077322,0.05115096576297941,0.0323982135520104,0.028985146987508315,0.010294886036336357,0.008895453295833447,0.008841215158041127,0.012136778680742965,11276.0,21900.0,0.1
10,우리은행,0.1507594733702063,0.16044445666047713,0.2962033467408401,0.018253034119817376,0.03516874543823279,0.05248650255210434,0.04291972259749672,0.00729535555641016,0.8279011731168453,0.049333348796545134,0.014617271831414858,0.014012173454606086,0.01278862176715026,0.005934752600153766,0.005545284100993478,0.005616790528325026,0.0062286022460820946,10406.0,20400.0,0.09
11,신용보증기금,0.1843225328830045,0.3446132612855033,0.023373330363013964,0.004705868985502026,0.0059746151708032205,0.008491165787769928,0.011273675089487525,0.009750173771880049,0.5926564341271443,0.04674642409119814,0.013052775024186286,0.01206186298969656,0.010985962956345383,0.004949252592103172,0.004588924266432768,0.0046260370396268395,0.005262777983576532,9488.0,1100.0,0.25
12,한화생명보험,0.15192732453653154,0.24987126832531928,0.08451433699740171,0.010166746598048155,0.015013524053572619,0.028100604419455073,0.0516266775454032,0.007502378046415399,3.94910294724169e-307,1.7834114366168164e-307,1.1008766648107848e-307,1.8411882670758813e-307,1.6700036224883611e-307,3.0286616717276717e-307,3.564129827023083e-307,1.0,1.2235333779166298e-307,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,1.1107861723045701e-306,1.0,1.6228166979313658e-307,3.1935591429513923e-308,4.1857410728318845e-308,6.43451978139047e-308,8.720027486887991e-308,5.548396144656075e-308,0.6880359542617723,0.0858733837075965,0.021537097976476224,0.018264118604501636,0.016975522169460265,0.007155638321056522,0.006533639006694409,0.006545635772381201,0.007809492443282296,9961.0,2700.0,0.08
