,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
158,동해종합기술공사,0.08132982528601923,0.23670977987965924,0.010580884127555017,0.23972232025588341,0.06694726023541354,0.005672509789995284,0.010132142207962243,0.012425103065992827,0.010606248576877971,0.6476201532317903,0.02024785471851105,0.019533879491563808,0.004473220204329619,0.004803434515364269,0.004152067751588654,0.004247964125233012,5671.0,904.5,0.25
159,교보리얼코,0.11884358006007353,0.11752761666571293,0.010465746409960156,0.5319169227149875,0.11883347274110777,0.005942085585587604,0.01036400879007144,0.013004833774514987,0.017466162485736177,0.9050655848398116,0.025566465561767948,0.026749452991297617,0.005442432633319654,0.005938578984064302,0.004977201702192905,0.005104772469055191,4721.0,1186.2,0.32
160,두산건설,0.16305627604534137,0.03528814061840116,0.005390662530561121,0.16863914777059189,0.21317274497937927,0.0036648547435220147,0.005628465422827481,0.006603517286358845,0.014054147224029449,1.0,1.6767634013874427e-307,3.4251933410546316e-307,3.3142814838199193e-308,3.8329044787783575e-308,2.8766961776650037e-308,3.0014322796791387e-308,7005.0,1400.0,0.16
161,쌍용건설,0.09586718242853373,0.18999333052370823,0.31193065060183245,0.13787000189172877,0.06805793123140072,0.019257598538423785,0.07328732156706941,0.06963212598866333,0.010114254642414324,0.8740211521022828,0.025532782552858777,0.026349684996403146,0.005553751297431173,0.006037099093969888,0.005095367862214152,0.005234767856866852,6082.0,1400.0,0.23
162,삼호개발,0.15168920072256983,0.05433542670547794,0.007096810812278376,0.5358427826910882,0.15785958954578908,0.004599150850070046,0.007061768750744668,0.008316781663373175,0.025162254749729523,0.8647720628300875,0.017339944753702107,0.01724362348928283,0.003677398536015341,0.003990811416690011,0.003375835886218442,0.0034494183799844693,5403.0,3608.3,0.32
163,동부건설,0.10267977316446403,0.4806142994890613,0.035103299597976326,0.1927151038380671,0.0796847627274075,0.011924035830696749,0.02993330569740021,0.05548792452319902,0.01185749513172788,0.941595566988645,0.020741268540347364,0.01945660967406896,0.004605342333483824,0.004919345919202765,0.004296116712464917,0.0043857498317874345,7852.0,1000.0,0.12
164,한양,0.5500248914516409,0.018478064028837633,0.0035718235393986633,0.06001664583971952,0.05610702045728557,0.0027730614332054856,0.0036048030843059886,0.003991605216991179,0.00842856526636909,0.8127692803416134,0.029031330324891486,0.027267589874979445,0.006408242509053176,0.006852765459811012,0.005970504807272253,0.006092314150267888,3033.0,8.8,0.67
165,브니엘네이처,0.10581265377633382,0.4214922276445558,0.0414742215230872,0.19141907434825917,0.08132533634961589,0.013431851823790664,0.03842047054534029,0.07648626843247987,0.011752373513497047,0.5921540563608593,0.01972180671860168,0.020250470058382673,0.004033091351038566,0.004431300917398882,0.0036565161224084196,0.0037391156679642966,4019.0,452.6,0.4
166,선진엔지니어링종합건축사사무소,0.13896595765630643,0.04450029195561349,0.006607581481396053,0.190172902616503,0.21216603866345615,0.004336166846985371,0.006937033006059758,0.008384138485271605,0.014049159818947743,0.7354234218583042,0.04408984148868798,0.06806571478234202,0.008681038078880406,0.009933541432070547,0.007602532041547448,0.007878067450062495,5842.0,726.1,0.15
167,수성엔지니어링,1.8882371788235382e-307,1.7999238304391656e-307,1.0,2.309967692647382e-307,1.2513898555289317e-307,1.2854216946185534e-307,1.0781974234856064e-307,6.187310111038059e-308,1.881491211614487e-308,0.8949357592018529,0.01710924708216796,0.016833531075483327,0.003800768468032683,0.004089292619581219,0.003522582127827067,0.003612640762182226,4654.0,14.0,0.47
168,동일기술공사,0.32957443307799383,0.021518545940393978,0.003734069829293083,0.08844501529294518,0.12048050290253635,0.0026365735385839753,0.0037867447625002876,0.00433429088825564,0.012944032397440065,0.6918154995847143,0.02791828542491241,0.032639232318173464,0.005905218529557516,0.006538416795851064,0.005327082065187822,0.005504072618542955,5603.0,837.5,0.18
169,존스랑라살,0.05990492776375288,0.21139442619107143,0.03578539015876317,0.09826351206000632,0.044384620896692914,0.008770910430528576,0.02577528464899749,0.043031030468904725,0.006521591990248323,0.6396224601137684,0.1188431894190641,0.13312918861974624,0.016010879700159582,0.01973244566637182,0.013284085319187169,0.013619423065469463,4924.0,485.5,0.25
170,케이지엔지니어링종합건축사사무소,0.6481647071666363,0.01954149802305835,0.00356932548213376,0.07108554677477011,0.07593385647104778,0.0026540923208757876,0.003636744636806352,0.0040774773311512144,0.009599171729713543,0.5709129876719159,0.02122265604806573,0.024707535335567972,0.004410027258594951,0.004887388378762314,0.0039728027399400095,0.004092598774427072,5973.0,1139.8,0.22
171,지에스네오텍,0.12744433018401316,0.24003909073839055,0.02299097290708939,0.26575452912915515,0.10899454810404231,0.010411177580794816,0.021880616291038716,0.037100763663392794,0.0154240183183043,0.8154935546697342,0.02874131527409815,0.027485766044413086,0.006230449827425233,0.006698954239816177,0.005777010191196502,0.005892810140907998,6032.0,4544.2,0.24
172,존슨콘트롤즈인터내셔널코리아,0.09634246652179629,0.02780293616822538,0.0038241143506919147,0.3163663076428773,0.09693279426435973,0.002494069976996247,0.003827147760254348,0.004476276784911666,0.015218533087503566,0.9149463488853267,0.027563826227712473,0.029106483529450486,0.005800769875182878,0.0063498561918505485,0.005283670909401734,0.005418110991631849,5476.0,1553.1,0.18
173,제일건설,0.0926906575487358,0.5175909979028013,0.02739933231321833,0.17133954105758004,0.07270079073816986,0.011100985013761768,0.03191454644065273,0.05295358664889366,0.010022386630645086,9.315651446998095e-307,6.354057148260963e-307,1.0,8.604316470002031e-308,1.3616367655430336e-307,6.05513137892337e-308,6.443592182703014e-308,6032.0,1300.0,0.3
174,정림건축종합건축사사무소,0.09880869098555588,0.15302062582184475,0.3009591142859492,0.13457864175919837,0.06848330717708129,0.022831149508157355,0.06458699045455021,0.051722976059234566,0.010280556823875797,9.470991627425948e-307,1.0,3.090754848275536e-307,6.753417588803928e-308,8.827048425436328e-308,5.333479768681102e-308,5.333361696942505e-308,5558.0,1266.0,0.62
