,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.05748718556952047,0.07264527342098095,0.76363678552556,0.03976340379059587,0.04000952570877378,0.013355078884486515,0.7233748897622043,0.01940838968427262,0.011325066694680601,0.006433192746965759,0.005276684017323314,0.005627315801023316,0.0049032215405561946,0.004958952195818278,6441.0,75400.0,0.2
1,근로복지공단,0.1347452267951564,0.23883493372594405,0.2606136071547285,0.10155159477530248,0.0373325765115886,0.019519548122159208,0.6279054910570614,0.06140065480025205,0.026003709275834848,0.015310729319410027,0.010140652310377639,0.011432111803740734,0.0084863829508879,0.00849370905165747,5817.0,9406.2,0.13
2,농협은행,0.7913920569231172,0.12145387074081748,0.037640715962673,0.02891780665060093,0.011286075737482335,0.009309473985309107,1.0,1.2678175063387658e-307,6.688607860112252e-308,4.1763230114728975e-308,2.9794822928045013e-308,3.3058750630803803e-308,2.6480684876688346e-308,2.688123419961194e-308,6182.0,13100.0,0.15
3,현대카드,0.16842808840772686,0.5531596427802328,0.13127875750086612,0.10864772324818156,0.023892121906671848,0.01459366615632078,9.392043811412194e-307,5.055247911664355e-307,1.0,1.2184400969902019e-307,1.8334991839141814e-307,2.2695588893283933e-307,9.940495917293551e-308,9.39577257056905e-308,8737.0,2300.0,0.35
4,중소기업은행,0.09853172376401738,0.1283355420654538,0.37728881414563675,0.10707382053288392,0.040815685904184454,0.017314572475417744,1.0,2.262816200278316e-307,1.0842822732551784e-307,8.658730156819942e-308,4.785601166006615e-308,5.67959537383852e-308,4.0513398261622184e-308,4.1607877555314567e-308,10065.0,14800.0,0.16
5,국민연금공단,0.5962063771891337,0.11042488559218422,0.02021894009327863,0.015738802945483778,0.005657925448146579,0.0043166727993352505,0.6120078439514745,0.09145454502274691,0.03413632280604209,0.027851750097733212,0.013126940010921642,0.016180423451958005,0.01030027293024047,0.01048054766529311,6345.0,29900.0,0.1
6,현대캐피탈,0.5496104923272288,0.0964893834667069,0.021778693868702383,0.01721743994825136,0.006244810426250553,0.005437195186290607,1.0,2.9898253528313847e-307,1.183525318317431e-307,6.965866443517006e-308,4.480753484417962e-308,5.102512527969591e-308,3.690372378571534e-308,3.6936819493505925e-308,10926.0,3000.0,0.2
7,국민은행,0.18231482429479046,0.4920306217699126,0.024289786968999583,0.022273007011385827,0.006534574514475727,0.0051550015878535005,0.6535239203427309,0.05857028534789323,0.024861850572347098,0.014878466871548868,0.009722312635531336,0.011002405902643416,0.008119128525474572,0.008147268375207756,11355.0,21200.0,0.23
8,삼성생명보험,0.7310374034870515,0.16215463374075112,0.027398535974609298,0.023283947704036072,0.007667417249202294,0.005856647021340533,0.31176606794435985,0.11969681514051807,0.0592176864675974,0.367916492149853,0.025684457215089232,0.04145344706562625,0.017706180724311453,0.01842194576378391,11975.0,27100.0,0.07
9,신한은행,0.7246635914725874,0.10415766241517575,0.030184022882189465,0.02289776515277376,0.008875099492967222,0.007026794986441908,0.6301379134612719,0.08743055389417409,0.03133966148184281,0.019793594312058,0.011693864302054427,0.013590630627558541,0.009446816915061437,0.00947690436331075,11276.0,21900.0,0.1
10,우리은행,0.10971270260039605,0.14379373884135016,0.4481656862694076,0.12217707076318957,0.047176091634197226,0.02001153087197211,0.8248903868045766,0.020668013857294706,0.011886109433369228,0.006974755250271964,0.0055365916088395825,0.00597002019712983,0.005107526929544851,0.005184282788599069,10406.0,20400.0,0.09
11,신용보증기금,0.22468568521553375,0.4974740023659488,0.0415594198049206,0.034385768504856924,0.010500268378288906,0.007420762271832537,0.7223332618254275,0.01771160800400458,0.009770580390515177,0.005806377323288798,0.004436940453251886,0.004825314775186913,0.004025938160916677,0.004071401737352349,9488.0,1100.0,0.25
12,한화생명보험,0.15811361057419696,0.555422090365933,0.1347658083585644,0.1135218913443129,0.023767051266993505,0.014409548089999119,6.113982000827439e-307,1.504168512113922e-307,1.491820204026402e-307,6.26225679870771e-308,2.3309120840058936e-307,1.1928678630471988e-307,4.585825602904187e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,4.7628695468147e-307,1.0,9.994337858163523e-308,9.072405890978906e-308,2.5279258120533137e-308,1.781887792161726e-308,0.7612121612722865,0.03119785383497735,0.016055991482751983,0.009351714959996657,0.006889431382398948,0.007550664297545985,0.006077956868307243,0.006116119763925783,9961.0,2700.0,0.08
14,하나은행,0.791624221555524,0.14552964261512244,0.0272985394299684,0.021978661346288404,0.007645325210398254,0.005923609842698625,0.15574264340064475,0.6199523431377536,0.056401425148101425,0.027347502512710883,0.015975027746431853,0.023164056585395148,0.01016174228744608,0.010085193677407669,11856.0,29200.0,0.1
15,삼성화재해상보험,0.47667200203153154,0.07207308879833099,0.018195716679328143,0.01479452022300685,0.005315609017840944,0.004160387224941769,0.9154679449004534,0.02543339129619894,0.01314423196365977,0.008786448971941606,0.005880033103608055,0.006648331605968921,0.0051705495052754595,0.005274666089242677,13656.0,22600.0,0.08
16,웰컴저축은행,0.9284503270387033,0.024458327691070272,0.00605179283609922,0.00482079520358735,0.0017680381173087747,0.0014150808090386071,0.9510378199284084,0.016291646450424108,0.009563711829459517,0.005441284269289861,0.004482258702807064,0.004776375628078009,0.00417799283031354,0.004228910361219275,5645.0,3957.1,0.26
