,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.1122860409596273,0.07567430700351167,0.69748525579559,0.031922476154355665,0.011244730450892441,0.017891121528075208,1.0,6.6386336227343645e-308,2.7987601881200684e-308,1.2916277199692643e-308,1.3909373572157044e-308,1.1991434174159267e-308,1.221784911905519e-308,6441.0,75400.0,0.2
1,근로복지공단,0.18715428449394308,0.18418553318275593,0.09467687367205042,0.020029255379353385,0.010612181656126957,0.027921929464413416,0.7053643457391083,0.14830874223947324,0.047226190881930995,0.018004370701861297,0.020766504250990803,0.015297346748678017,0.015485283768086994,5817.0,9406.2,0.13
2,농협은행,1.0,1.043520070027681e-307,4.854704613450638e-308,1.543130847624616e-308,1.3519600716768257e-308,1.84893702863783e-308,0.9421466552242803,0.029019675643464058,0.010591329441890143,0.004642187612111735,0.005234863651302355,0.004128085926598546,0.004237202500352757,6182.0,13100.0,0.15
3,현대카드,0.2384606584307277,0.33969212083736616,0.03932099816785144,0.010362581560755976,0.0067788251367211635,0.017766247726694426,3.598270796040395e-307,4.729479044243806e-307,1.0,1.164012215453337e-307,1.782351236148362e-307,6.940307296056638e-308,6.823824461501198e-308,8737.0,2300.0,0.35
4,중소기업은행,0.20853499139545933,0.23437496195331706,0.2156961995104557,0.034930191985045586,0.015819089571105966,0.052331390577537794,0.7218216078099944,0.15919261055164158,0.04441471528416341,0.018945382163747186,0.022947569072363085,0.015991075811490413,0.016687039306600013,10065.0,14800.0,0.16
5,국민연금공단,0.6469227563081359,0.031433626613993584,0.013072568084000133,0.004010259518802826,0.0033162533440145785,0.0050452666706218095,0.39220243282583667,0.3707344914651472,0.04903067320154571,0.01813520046247884,0.022896301940351294,0.0144481563948801,0.014947894928042677,6345.0,29900.0,0.1
6,현대캐피탈,0.5224679698626989,0.026210657474849575,0.011135941619396355,0.003450649111313007,0.0030104170537508025,0.004344692897675503,1.0,2.6875483865534872e-307,7.976849866700141e-308,2.970741816817375e-308,3.4683603950971515e-308,2.489861834689537e-308,2.5251358899733064e-308,10926.0,3000.0,0.2
7,국민은행,0.7402371238658909,0.056947934045702295,0.019436834858671773,0.005936322067390357,0.004860676575037025,0.008442005538664895,0.7348424538879254,0.14963563155800366,0.04621452438335677,0.017898803222072258,0.02075641692322001,0.015201020850691494,0.015451149174730335,11355.0,21200.0,0.23
8,삼성생명보험,0.903647253238169,0.05257613470987133,0.019888982312946855,0.0061768104082175574,0.005108519630970876,0.008337068386770565,4.5807022109533335e-307,1.0,1.6152352346485919e-307,6.605554912363328e-308,1.109135880602796e-307,4.61707026948587e-308,4.974356701848643e-308,11975.0,27100.0,0.07
9,신한은행,0.8946650561308567,0.04878548012377879,0.02249337666933504,0.007046413883409475,0.0060801483473530505,0.008440817796824197,0.6377689255852041,0.22088679315795978,0.0588132062065444,0.02139963875422863,0.025631022948911737,0.017592150201453497,0.01790826314569789,11276.0,21900.0,0.1
10,우리은행,0.20196381205753208,0.23105976471702155,0.23769278579009104,0.035455094011079456,0.01561728170169293,0.05389700910827521,0.7887791326092244,0.03674507154044451,0.015062430255666857,0.006940921689791251,0.00755276287771836,0.006391975928011613,0.006542345170834794,10406.0,20400.0,0.09
11,신용보증기금,0.6434692944847898,0.07820417749982242,0.02495089401040745,0.007340594654050689,0.0056407541451735516,0.010105237266836086,0.5085322081062222,0.025959466466590676,0.01029040011119296,0.004619570644338184,0.005097584017894824,0.00419672230586787,0.004286384947163295,9488.0,1100.0,0.25
12,한화생명보험,0.24586797469703228,0.30444034211514376,0.04218929354559885,0.011123007394557788,0.007250213497119335,0.020182076146800457,2.425492079850069e-307,1.4844178081116206e-307,1.1439277825134332e-307,2.1378790444331623e-307,8.326376336493894e-308,2.4332429000278406e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.6802206616969009,0.07620569816072253,0.020274534602250184,0.005988213217302478,0.004583989989560214,0.009038637579266174,0.8618030819969171,0.0655389475809391,0.02435532428309034,0.01030633207312937,0.011515856770510147,0.009150609624952724,0.009297869433025794,9961.0,2700.0,0.08
14,하나은행,0.649883299572338,0.03157088912136461,0.012852668074790397,0.003951852182515535,0.0032938890236243945,0.005082262962260622,4.31605082804763e-307,1.0,3.670422305166666e-307,8.388059175689752e-308,1.3185619870023912e-307,5.548291145230982e-308,5.650635510330953e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.4772928674217902,0.02580102870657169,0.010958108312046255,0.0034673877964169998,0.0029532793821618266,0.004404362405372843,0.8367224097435149,0.051073996018945564,0.017746537579160657,0.00782148391346789,0.008972911847292663,0.006884896749171805,0.007115324006347895,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,1.3605915524011587e-307,5.878968782734795e-308,1.853445260708139e-308,1.5914140603108497e-308,2.322960525095008e-308,0.9351238683753971,0.029454963571353784,0.012493903501174367,0.005797744277332968,0.006231298439777626,0.005397162272582206,0.0055010595623820975,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.2558078715901005,0.6398582236195909,0.03420442500755765,0.009939059558069934,0.006997695510804418,0.021275533960020323,0.9379409191327107,0.02841990714093606,0.011814168065517192,0.005511861916995947,0.005977201108726698,0.005105635992306041,0.0052303066428072845,8562.0,10100.0,0.25
