,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.05332271939766499,0.07506179598223903,0.6915724466604743,0.020890858983689062,0.01109103189055373,0.015090975068345634,0.011448740760143353,0.7888518409887024,0.04908046168345402,0.023368284335008864,0.01277262948429835,0.006336717494812576,0.005843799994114319,0.005481800403431393,0.0055090858640649085,6441.0,75400.0,0.2
1,근로복지공단,0.09589462180659575,0.17892953183276034,0.13777135183330047,0.019291677015634928,0.012365128266855525,0.026521996454718207,0.026540973795667656,0.3307159601118451,0.3463305343522298,0.10866971299103785,0.0442343126523623,0.019543288198071832,0.016645290532937434,0.014627416680387261,0.014415122255669474,5817.0,9406.2,0.13
2,농협은행,0.7771352341841136,0.15526906389827322,0.02881181363560926,0.008765841887850678,0.007846229033676985,0.010441293527358798,0.011730523833117578,1.0,4.469820989558308e-307,1.154500095604082e-307,5.337250730799833e-308,2.624566015715081e-308,2.304368666749187e-308,2.086945540157956e-308,2.0973346108151627e-308,6182.0,13100.0,0.15
3,현대카드,0.17692051757103902,0.4114068463489525,0.09993641771419064,0.019665125199509914,0.01381422407874524,0.03413909509604271,0.05708057058364009,0.06250587588249862,0.03193756328135219,0.08510806543747118,0.7329834136147085,0.0334145176188425,0.02358893204948569,0.015817302857333106,0.014644329258308025,8737.0,2300.0,0.35
4,중소기업은행,0.09703458882499305,0.1419417406304318,0.28948512335069954,0.03000625605421132,0.015646143607286053,0.04055440271861095,0.034626469927555206,0.3865316982436605,0.3372671061816259,0.1314419688199594,0.04270052629568681,0.021989765532740065,0.01784853968803379,0.01537594814910229,0.015598928558472917,10065.0,14800.0,0.16
5,국민연금공단,0.5348555463840106,0.1690892086035693,0.019904153477402826,0.0057236401805245965,0.004888562881136132,0.007206646265935824,0.008458868425665001,0.1367725344981631,0.1447222990018044,0.15612874963476947,0.03019216512166304,0.013944141838075515,0.010818319482536398,0.009014513973457431,0.008998333640337136,6345.0,29900.0,0.1
6,현대캐피탈,0.3592178914562583,0.06549787949902806,0.008862277296250661,0.0025988352767741143,0.0022700728065675403,0.0032482888148730286,0.003809117975971589,5.8109223642351464e-307,1.0,2.5028575931937414e-307,9.382859342130851e-308,4.0860899792616536e-308,3.417547335597143e-308,2.9641525314701574e-308,2.9228752963491725e-308,10926.0,3000.0,0.2
7,국민은행,0.23534517213143355,0.5512172472915382,0.024512781166946586,0.006782678423377528,0.005616085407641992,0.009600628195191979,0.01286488024960812,0.33441066538677316,0.43842153194174166,0.11597268235056199,0.044954775913049146,0.020005978629018144,0.01688368101294223,0.014761726936909803,0.01458895782900392,11355.0,21200.0,0.23
8,삼성생명보험,0.3735770065234082,0.4549592033214537,0.018279717532055324,0.0052727505974405195,0.0044480063954787825,0.00704235075047518,0.008548301109167714,3.5183057052056575e-307,2.0387149096853327e-307,1.0,1.6277756466190897e-307,1.1293474916919122e-307,6.584177145209722e-308,4.845883172732098e-308,4.96995938735902e-308,11975.0,27100.0,0.07
9,신한은행,0.768884373983862,0.12780310212321222,0.02262795578135778,0.0067882661405942344,0.006016878306139969,0.008082903043407206,0.009154458634421363,0.3149431654298747,0.3525452972346338,0.1858935626398009,0.06121093468200038,0.026687960839117862,0.021774092586098786,0.01859591043613469,0.018349076152338918,11276.0,21900.0,0.1
10,우리은행,0.09722323231173034,0.1432417711333985,0.3509097404791365,0.03316910513811184,0.016182172798223888,0.043418063829870644,0.03423921744766182,0.4899635553392997,0.034377034016347535,0.015506107396095502,0.00820034705760829,0.0041014103317032514,0.003740503456769275,0.003479676856643667,0.003508562767945277,10406.0,20400.0,0.09
11,신용보증기금,0.21375205835249045,0.4304944340196866,0.02969947926771834,0.007829314221134528,0.006312604091247137,0.010859296741822616,0.014201684776634502,0.567036277468598,0.07493449219227541,0.02602650576284217,0.013157488633094867,0.006498133229835623,0.005845532153899617,0.00538797523925499,0.005404834666985125,9488.0,1100.0,0.25
12,한화생명보험,0.1739103914423512,0.40789715332369547,0.1020454008842826,0.020025286326204258,0.013935485901488947,0.03689218321775284,0.06462487110786896,0.009040115491787163,0.0035168053011715647,0.005213467920193458,0.005180720071505256,0.003497400293208772,0.010329202040435366,0.011680479155918015,0.8884542155968527,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.1469458675539129,0.6646798075586113,0.023929620894326768,0.006304255246845422,0.0049927262744057935,0.00937363433815882,0.012922825854226614,0.35358439248951473,0.3546200138315537,0.03738702180552342,0.017707942920247667,0.008355540809352751,0.007397958363967915,0.0067169380766998145,0.0066809288618934985,9961.0,2700.0,0.08
14,하나은행,0.72354447152838,0.14602205980590072,0.01628695677180192,0.004692512799774415,0.004008687642248175,0.005989359287212593,0.007184113594245998,3.421407964849385e-307,2.0866207457598327e-307,1.0,3.625676745296491e-307,1.3504823804266172e-307,8.310155514842714e-308,5.918289404293243e-308,5.732071762194536e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.4783740249314784,0.09487948621878026,0.013649970164638668,0.004080215120586663,0.003555905397538338,0.005126035664232289,0.005940755626956097,0.6630979014494014,0.19456247479487343,0.05545247355796579,0.023711049183333745,0.011889908888282537,0.010232296719311864,0.009144409088058199,0.00923564730096902,13656.0,22600.0,0.08
