,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.1305757890272936,0.4698995945122442,0.012454219681288483,0.03571561387169639,0.018550118149738646,0.01413441315419642,1.0,2.206075342586803e-307,1.1192677851480604e-307,4.510077719362616e-308,1.958928701769995e-308,1.8588085490946294e-308,1.870205992925629e-308,2.061492465870924e-308,1.98250235886625e-308,6441.0,75400.0,0.2
1,근로복지공단,0.10659214277211077,0.10385674053197783,0.006005878220087682,0.010521871441826841,0.013372493655626106,0.014681129127535478,0.3088521280786178,0.35803045267618966,0.08021997227446337,0.027144281930759843,0.0095685271813199,0.008547861018759836,0.008503810882922486,0.011161944086681457,0.010796070728140112,5817.0,9406.2,0.13
2,농협은행,0.8974355632647241,0.022230186676514812,0.004165894918280382,0.004839808164376431,0.005922133449160806,0.006519262065660139,0.5236835090547006,0.07193756601925305,0.023822943185613045,0.009561104501038788,0.0037444674758974617,0.0034436687171157106,0.0034656691569488014,0.004092727780082404,0.0038572639592541233,6182.0,13100.0,0.15
3,현대카드,0.663361530318523,0.19835710263682788,0.014325373135907949,0.022373209421160552,0.038708870940161955,0.06287391354741877,5.850548318893946e-307,4.4508106840812404e-307,1.0,4.096919415274812e-307,1.5768332406565255e-307,1.1311955704394982e-307,1.07274459092952e-307,4.558277205467802e-307,3.78448612121442e-307,8737.0,2300.0,0.35
4,중소기업은행,0.23248072541432172,0.3145425496840311,0.016631518819028496,0.03578454966248269,0.04733928301010255,0.041538486740639466,1.616167920866505e-306,1.0,3.3388721869234063e-307,1.4777390654725958e-307,4.913030677952118e-308,4.3390172264647733e-308,4.392435990978112e-308,5.584721864159167e-308,4.973286580021368e-308,10065.0,14800.0,0.16
5,국민연금공단,0.8882563891035169,0.034828532729239026,0.005480046146186613,0.006855329758951674,0.008930195083564645,0.010213404743936746,0.12963672792895484,0.24707896947114866,0.06605406686229992,0.025041501285762616,0.007022959841754416,0.005968993097116522,0.006003903600714307,0.008614131053285195,0.007765863247564379,6345.0,29900.0,0.1
6,현대캐피탈,0.6704659115766204,0.019152077704817503,0.003403081344628488,0.003901219031502942,0.005069680688711681,0.0058170311231570656,1.2611419249513993e-306,1.0,4.142346478287146e-307,1.3696388945142629e-307,4.67041308453578e-308,4.1258542673156764e-308,4.1126809237416704e-308,5.525086181853768e-308,5.310577283031105e-308,10926.0,3000.0,0.2
7,국민은행,0.7362306044301835,0.03621523061872651,0.005834100223003784,0.0069584955041685674,0.01028999763545818,0.01318627292668345,0.37938840307521277,0.3678297955293224,0.08545468687400896,0.03006610315467466,0.01055606144210307,0.009418826077123774,0.009402432249630926,0.012247708001189106,0.011723300599917249,11355.0,21200.0,0.23
8,삼성생명보험,0.9338920020113757,0.0336509629453378,0.005382893400319217,0.006682460319374679,0.009398059783857717,0.010993621539734906,0.1283951582040674,0.11818007655073309,0.13292756027734415,0.531472344398881,0.018054747695171826,0.013658118592383268,0.013899945764476724,0.025694508273250555,0.017717540243691966,11975.0,27100.0,0.07
9,신한은행,0.7301109226744129,0.016702487056021672,0.00301673391653785,0.003548136772955738,0.004339785903723634,0.0048255160353707725,0.17445087306856524,0.48875701115329373,0.07667910913886483,0.025116149277776688,0.007951125211224042,0.006932806600963001,0.0069035560781140985,0.00959965593023954,0.009094559372622933,11276.0,21900.0,0.1
10,우리은행,0.23007509176866134,0.3250423553759622,0.017070521981175573,0.036677632615242775,0.04829124667997073,0.04010064608676318,0.7980818430739878,0.06155363791199163,0.029485933553711898,0.012019499385973357,0.005112656289701543,0.004814195693933264,0.004856912324312431,0.005407818787192282,0.005148645782622225,10406.0,20400.0,0.09
11,신용보증기금,0.51467576656908,0.050526660477082014,0.0063071271680466045,0.008518157845586648,0.012517578821686635,0.016257197690599173,0.7939265902220922,0.09746241556988931,0.04006317741870331,0.016041734706647055,0.006597518449083603,0.006173740794699981,0.006189949936150083,0.007086933728526334,0.006767303477262165,9488.0,1100.0,0.25
12,한화생명보험,0.5821208882456292,0.1894050789659957,0.013565091156862162,0.021395441584451114,0.03997344474316914,0.06781175285532481,4.483784876998837e-307,2.6207953542100984e-307,3.5769302631300895e-307,2.0502182125146495e-307,3.8386315662785825e-307,4.458518853426967e-307,1.0,1.3567342992116867e-307,1.0237992949103645e-307,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,1.0,2.109515055913017e-307,2.7110920732561407e-308,3.6259697433886632e-308,5.808439070806215e-308,7.587186050308553e-308,0.5458339666636579,0.10044034565449735,0.033653714179362186,0.012734653004462207,0.0049676368916635825,0.004577603415703084,0.004572992650628757,0.005492402508787376,0.005303444162290376,9961.0,2700.0,0.08
14,하나은행,0.8358709516842191,0.02263961100920798,0.0036487869507444938,0.004510511462542103,0.005989191107761885,0.00697902495745545,0.08062332446168843,0.07306039013714764,0.6560574090582505,0.07433987445666393,0.014364221058614488,0.010710795832503,0.010501663404138122,0.025095807535208268,0.01958462362941007,11856.0,29200.0,0.1
15,삼성화재해상보험,0.796553973442406,0.0254568728311765,0.004452808044525832,0.0053754251337327285,0.007017342137899107,0.007947537849600925,0.6625553734158688,0.1641957613840574,0.05051744857095163,0.02092866051554583,0.007931882497977038,0.007225593776965073,0.007296338919394743,0.008717259148452635,0.008069121812426002,13656.0,22600.0,0.08
