,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,3.5106406571089307e-307,2.2130801875506502e-307,3.900436765108604e-307,1.820818549162157e-307,6.366962585762347e-308,1.0,8.586714838472151e-308,6.380565519145656e-308,1.9314074613681577e-308,0.5344448016508268,0.16694623580579102,0.03471703079669753,0.014627567142069722,0.0132501793344427,0.006568628618018206,0.006078466109697106,0.005697760952755415,0.005776963948727384,6441.0,75400.0,0.2
1,근로복지공단,0.06521425262010129,0.05185060802438548,0.09648914542216558,0.01263757315073678,0.007208101536238462,0.019785095640368826,0.015999870321637584,0.01605925108902053,0.0036483228202007353,0.12044619799181594,0.32375564203911295,0.19724013840654758,0.03149211296857247,0.02632450099414587,0.011743591468469138,0.009895299597145092,0.008717608997493043,0.008720661385893986,5817.0,9406.2,0.13
2,농협은행,0.6487330388962754,0.04837792031369115,0.015243621666134702,0.004408255988623349,0.0038564321612794316,0.004477279943859149,0.005294265751522838,0.005844186584372191,0.013313728927788194,0.25591786813146405,0.4847926182262432,0.05247514580570482,0.018217743176660573,0.015254468535117714,0.007536013395891963,0.0066324413235743715,0.005990111490247124,0.006108241223165141,6182.0,13100.0,0.15
3,현대카드,5.743768046144902e-307,1.0,4.2735328097500815e-307,5.80564127808203e-308,3.7435761665497784e-308,6.909577740911199e-308,9.947351120077337e-308,1.5880442711153207e-307,3.153533699237321e-308,2.0159438803815046e-307,4.113762751512144e-307,3.2489142588600165e-307,4.0714755815769035e-307,1.0,3.0902921491024735e-307,1.32830193093629e-307,9.186903152610414e-308,8.745317584310827e-308,8737.0,2300.0,0.35
4,중소기업은행,0.11901324562075595,0.08202636837067256,0.23258067475297223,0.0353789941370547,0.016388970089764487,0.037517442279911564,0.041106562079805606,0.034839852268202895,0.006266464670677037,4.390304423832152e-307,1.0,4.150172908380009e-307,1.2939399044323992e-307,9.21788482566944e-308,4.753151411705678e-308,3.9015141084420487e-308,3.359775565186327e-308,3.4749312814386845e-308,10065.0,14800.0,0.16
5,국민연금공단,0.6155801795075645,0.10225754239843407,0.018979272370172436,0.004960593291380016,0.004011871100838962,0.0052790468467223345,0.006315678429257826,0.007211257783964533,0.022387245415443697,0.08423191930695706,0.2677350955573915,0.4446744464740957,0.05487776591377634,0.03614389005236855,0.017087871566657024,0.013070020818164404,0.010772761964248494,0.01100885369786236,6345.0,29900.0,0.1
6,현대캐피탈,0.3600941695325562,0.04867939362928366,0.010881778232791083,0.0029439778987412272,0.0025247838767200534,0.0030588754905625667,0.0037428493253023588,0.004292647152393404,0.025846474256902497,3.78871914947664e-307,1.0856300795944285e-306,1.0,1.2179619481316315e-307,1.001908393851705e-307,4.3986864360520476e-308,3.6593567147094767e-308,3.1877772378040436e-308,3.190381712431876e-308,10926.0,3000.0,0.2
7,국민은행,0.3936939619069019,0.42960984563526383,0.03800508194691208,0.009697010140773558,0.007951765475533334,0.009922536799012702,0.013824337079359589,0.01757075068770512,0.02231851900751627,0.15468831560074822,0.4497342637911808,0.2738243167607816,0.03991936792544394,0.03275476978402043,0.014792673836614133,0.012434831504275152,0.010898070601604309,0.010953390195331363,11355.0,21200.0,0.23
8,삼성생명보험,0.7347765995372474,0.15123184425271596,0.026666783045855617,0.007004200401116589,0.005642710823323914,0.007195964582132758,0.009566762660488067,0.011180713548886285,0.019519992838295534,2.2103553015536776e-307,5.125159229764932e-307,3.8765601638368295e-307,1.0,1.9882555777448364e-307,1.3842172882889143e-307,8.063408970740119e-308,5.848063806405572e-308,6.2200257236149355e-308,11975.0,27100.0,0.07
9,신한은행,0.585827248167005,0.039743227233986655,0.011807612026040054,0.0033392393337317986,0.0028681366348429506,0.0034523881862284947,0.004010697106128849,0.004463745857598669,0.013190472985947103,3.66398016352123e-307,1.332618797923244e-306,1.0,1.5711124404159975e-307,1.2073266976693227e-307,5.340596804800675e-308,4.31152105476314e-308,3.685754889911538e-308,3.70479542471264e-308,11276.0,21900.0,0.1
10,우리은행,0.13390074588558495,0.09317558223222656,0.30958874936716857,0.042608930353315394,0.01895154674665532,0.046241884048817745,0.04914446487181521,0.038400315223589346,0.007295427460207004,0.5710917350384856,0.21783575467674388,0.03845112612771105,0.015946793585102127,0.014155589716507076,0.0070764389947051915,0.006480582489493707,0.006022951426738581,0.006131333088321972,10406.0,20400.0,0.09
11,신용보증기금,0.16173305189667847,0.19912412518065836,0.025052418973645525,0.005646081113890636,0.00424774950462347,0.006205583297873124,0.008008622066234913,0.01010430009973413,0.009301030679439007,0.3553458437761651,0.21131069750918338,0.03262443807204085,0.012590067113587091,0.010878760433832565,0.005398968199376085,0.004866474746380518,0.004474930584869948,0.004552980029348771,9488.0,1100.0,0.25
12,한화생명보험,0.194267125066162,0.42886070137230725,0.17144102977090175,0.022208218523630682,0.013869881786964461,0.02624224733221332,0.04065240798971707,0.06728277859247943,0.010438701665385491,1.4557203239061726e-307,2.640592875919355e-307,1.4283822262833119e-307,1.1179480728404204e-307,1.4936338209725953e-307,1.0197311199165897e-307,2.771057186465227e-307,3.3066100497888767e-307,1.0,9292.0,16100.000000000002,0.15
