,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.07774689317845085,0.0463633808324191,0.09332476938801912,0.014183171924048138,0.0284393294997767,0.36248170588956685,0.01944648852155259,0.015675720486509677,0.0046711955375349735,0.8154793338935801,0.012229611840467955,0.011783713154424984,0.005312311047118415,0.00536052870959945,6441.0,75400.0,0.2
1,근로복지공단,0.1903474529804137,0.09549877875808514,0.24668267566965685,0.018631784089292298,0.029674599194614116,0.05235550074772726,0.042338215441306046,0.04491058996763673,0.009871408148246693,0.8299490279338055,0.031856880352240366,0.026230579743922466,0.010548772625115698,0.010455550610510409,5817.0,9406.2,0.13
2,농협은행,0.14821588259034546,0.6426560302936495,0.01425898575195269,0.003594664524152765,0.004039875712374372,0.004168974462663052,0.00490483828581819,0.005400304181019588,0.013428972154148417,0.7229364817216684,0.010682680856204555,0.010016675465789764,0.004234643796384327,0.004280284989895898,6182.0,13100.0,0.15
3,현대카드,0.610753743385513,0.09789176575886004,0.136842157679275,0.012393354684435092,0.018177963876877735,0.022962192610714808,0.03256286453110346,0.05758335252646498,0.010832604946755569,1.3182191243502974e-306,1.0,3.75536666056694e-307,9.028035643338122e-308,8.163917942243862e-308,8737.0,2300.0,0.35
4,중소기업은행,0.14784002135019902,0.08180600143169721,0.3328364716121999,0.019418576949272404,0.038775123109449784,0.05214251625704654,0.05332702706422724,0.048615506742303166,0.008207494247940423,1.0,9.79331360092499e-308,9.353883486411803e-308,3.6423798068620245e-308,3.7175947308738617e-308,10065.0,14800.0,0.16
5,국민연금공단,0.5343393818985959,0.15899236287610288,0.021301558538901623,0.004552757593400398,0.005346054466936238,0.005828755527870659,0.006902019181972788,0.007888487241457211,0.02621220395539843,0.7759620069559622,0.03773623682013783,0.03217029010705391,0.011612716746282434,0.011666602602328578,6345.0,29900.0,0.1
6,현대캐피탈,0.3068462620685294,0.2027167398833062,0.012860031985063304,0.0029697310293920914,0.0033949955643554556,0.0035959004895258087,0.004348049905238283,0.00495613130522355,0.031048744464291785,1.0,1.085654774661529e-307,8.76910007670261e-308,3.4595970413661783e-308,3.4265713292789085e-308,10926.0,3000.0,0.2
7,국민은행,0.6990593656783498,0.1365990412577157,0.028929421564552138,0.00602211080579635,0.007195962268106062,0.007573890569042597,0.010322128207727188,0.01294914764465551,0.01884441778688844,0.8494022474810288,0.03190757360218044,0.026730562595999305,0.010709862751630966,0.010652863927633939,11355.0,21200.0,0.23
8,삼성생명보험,0.6161177373363321,0.1686108298716875,0.02564140143200207,0.005471078552312698,0.006514562568720563,0.006850548234587032,0.008975500561751932,0.010435008368019224,0.021504020645492013,1.0,1.894232319950159e-307,2.1709939116982922e-307,5.962574527265036e-308,6.16794648300703e-308,11975.0,27100.0,0.07
9,신한은행,0.12981906852757127,0.5086189367339019,0.011576745353843926,0.0028323063712997936,0.0031985267421179874,0.003372188233102499,0.0038715808811481556,0.004298393290385028,0.014064580790576865,0.8660230208149641,0.03886342260385396,0.031064839502911647,0.011902193631997904,0.01180027792870409,11276.0,21900.0,0.1
10,우리은행,0.15416764891851664,0.0855862303591775,0.3732964037312667,0.02107058056344478,0.04288928921358558,0.05776349558953964,0.05901065563416658,0.04925541051380867,0.008632745990263995,0.7118489414312116,0.011237856931892172,0.010883941943495987,0.004835596616215494,0.004896722893210587,10406.0,20400.0,0.09
11,신용보증기금,0.5266196743988968,0.14983139079893146,0.05473063025208775,0.009099285502586858,0.011671508850443,0.013294049800713435,0.016834473336246117,0.021332386886909797,0.02097382109730989,0.6685669838512519,0.009582195485873201,0.009115819704144717,0.003973921385477801,0.004012924928444501,9488.0,1100.0,0.25
12,한화생명보험,0.4253014867904761,0.11125689624449239,0.16870893146391996,0.014562092692363816,0.021625704278303712,0.027112000671076258,0.04048275598934681,0.07043482275739776,0.012101708086713759,6.763362566199471e-307,1.4084942013518475e-307,3.754345472380895e-307,3.342727655537787e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,1.0,3.984842211580958e-307,1.5676253308900276e-307,2.618434617681503e-308,3.4059300092727937e-308,3.7428213639370217e-308,5.282572055371084e-308,6.803045931173502e-308,5.083947637981202e-308,0.5982173290387915,0.012075379178455704,0.010869722242579606,0.004631732307469505,0.004635344523904482,9961.0,2700.0,0.08
14,하나은행,0.6539686121446534,0.2175365459135241,0.022228959935727422,0.004837336990379687,0.005687077173647988,0.00608669352699832,0.00745699570904267,0.008667911373311426,0.052928872228526436,1.0,4.832057013800483e-307,2.872390839905237e-307,7.643437503309986e-308,7.406709984747106e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.3787245400018837,0.36721889787093265,0.01977144043260111,0.004683208681716822,0.005400437647850652,0.005565632980507976,0.006963985107858641,0.007855976456970906,0.02127885389676957,0.5210833707473892,0.010687249910358482,0.010153083947326648,0.004208797469425302,0.004274760801688065,13656.0,22600.0,0.08
16,웰컴저축은행,1.2734308969811249e-306,1.0,6.951373930710968e-308,1.639150189830593e-308,1.886460940293431e-308,1.9643481483713783e-308,2.401042828539186e-308,2.689085962668913e-308,9.120420303771123e-308,0.9747788758809346,0.008855173129446014,0.00857300595969977,0.0038773071055105183,0.003915637924409229,5645.0,3957.1,0.26
