,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.2541779601011943,0.11939507118628334,0.28426222562466397,0.06571677825481509,0.02325673039803583,0.0326331671379069,0.008142479214883262,0.9284739095934489,0.026722632722839784,0.014782642554179132,0.0068353396389043385,0.0063968132099071,0.006485799308874642,6441.0,75400.0,0.2
1,근로복지공단,0.23735032395685265,0.16465378726609192,0.06927903248729428,0.022465414449134642,0.012774432914478969,0.02658537683966869,0.007383365391255811,0.5702983790031273,0.08258463453119794,0.032822178717833835,0.013174855019256616,0.011370025559312883,0.011451423794848564,5817.0,9406.2,0.13
2,농협은행,1.0,6.141331431991052e-308,3.391000158183081e-308,1.623586548600148e-308,1.420111730955562e-308,1.966546830747128e-308,5.03066648229688e-308,0.9091181609020138,0.032094925440433686,0.015055621370702021,0.006619942624338992,0.00595722528668581,0.006072318980104641,6182.0,13100.0,0.15
3,현대카드,0.6246684673028522,0.18005997489407433,0.052689392392722814,0.02110622751445121,0.013861807090797313,0.03549793584305342,0.012165125564098093,4.544781458756339e-307,3.781162379972201e-307,1.0,1.1474958364903983e-307,7.309374342109526e-308,6.99904197101055e-308,8737.0,2300.0,0.35
4,중소기업은행,0.2594313336717198,0.2234408927299002,0.15954328170901352,0.03809607664533624,0.017993050344193313,0.04561259957611114,0.007757399394310636,0.779247384337174,0.12078769497302629,0.042099385296181166,0.017472339696017452,0.014991445460140453,0.015476544796727833,10065.0,14800.0,0.16
5,국민연금공단,0.8373613026832026,0.023382011788783692,0.011755933070455884,0.00548495036322938,0.004601317236293112,0.007114673305013077,0.027165715747539336,0.3652974499635176,0.23269019682013597,0.038761054962903635,0.01466199525559295,0.01196827634781626,0.012239009723131489,6345.0,29900.0,0.1
6,현대캐피탈,0.45823163943295675,0.011723494012553886,0.006047124818899685,0.002842750128190833,0.0024762202996069993,0.003644999647178736,0.027950214665415044,1.0,2.223702696465846e-307,8.170964106907739e-308,3.219949916992892e-308,2.7431326852150455e-308,2.766691137163788e-308,10926.0,3000.0,0.2
7,국민은행,0.7913028851280023,0.027146186202946745,0.012441656860602751,0.005750957208321797,0.004787954919298084,0.008310603459945366,0.0144180499728601,0.8062672899052272,0.10717540323065342,0.04111262123167664,0.016633142572670564,0.014327119740794864,0.014484423318977016,11355.0,21200.0,0.23
8,삼성생명보험,0.8051005027004411,0.027002342512011134,0.013023132967563297,0.00616535165960586,0.005089458452198984,0.008561096446826564,0.018598187783326066,5.864906456757374e-307,1.0,2.382540883498444e-307,7.751706615808119e-308,5.522010397952811e-308,5.849538064141011e-308,11975.0,27100.0,0.07
9,신한은행,0.570232338702668,0.013403275540382096,0.0073203822019577616,0.003463841343864203,0.0029925354927294577,0.004203281596211567,0.014307242686420515,0.7082960833334577,0.177701282029463,0.05609994365816891,0.021600863888836294,0.01804165487429787,0.01826017221577613,11276.0,21900.0,0.1
10,우리은행,0.2537907205500058,0.20881982197791482,0.18748085612775015,0.04056117341729312,0.01840581482638209,0.04606279232922687,0.007592739655735105,0.8338752492743958,0.02232439127927128,0.011986868064164902,0.005495329634629095,0.005101769075473048,0.005191294311238738,10406.0,20400.0,0.09
11,신용보증기금,0.34438448441882247,0.023288023653430023,0.01009003936735012,0.004517496371133967,0.0034885217766834013,0.006466477435937667,0.008155212886937978,0.6493811848802703,0.021210615976127292,0.010858799421770572,0.0048945910541593925,0.004488151815792001,0.004563337940881247,9488.0,1100.0,0.25
12,한화생명보험,0.5860338086316358,0.17877139786516522,0.05023491820823756,0.020263185088457616,0.013267283429685382,0.03678543442358056,0.011193054403430117,0.0395055616824653,0.016211906462252436,0.01894477138270003,0.028321656908393885,0.03834451813700102,0.7651878347743163,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.8830384056150172,0.04889074526133949,0.01990774564742612,0.00903491145014965,0.006847474662840302,0.014242629388958981,0.012588164777408414,0.8582162936885074,0.04104599775462444,0.019439410213808486,0.008435629221285238,0.007576373600953411,0.007663943646997519,9961.0,2700.0,0.08
14,하나은행,0.6791532002768189,0.016848047031786384,0.008417639216337364,0.003925652664669168,0.0032834221809308044,0.005169606845037627,0.03396595681824741,5.672305386597153e-307,1.0,3.630905983085153e-307,8.84904576772427e-308,6.001722645380121e-308,6.068979862963389e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,1.0,9.128670742768662e-308,4.748044658393048e-308,2.267282794352198e-308,1.928351855574628e-308,2.9269305256860143e-308,8.56332557692786e-308,0.8345984849935131,0.03173785703070623,0.014155589721166378,0.0061690980504488626,0.005500782017965808,0.00563714962778337,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,8.068874653857658e-308,4.2326482882620034e-308,2.021047151417673e-308,1.730083265062754e-308,2.576002063953184e-308,8.909013820626115e-308,0.9691593311552349,0.01337714367472062,0.0074592775951897086,0.0034617186705105853,0.003247966937930488,0.003294561966413721,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.8091778403439377,0.10214300523706507,0.028530351404070817,0.012722377003582173,0.008711468647406299,0.03131299609178605,0.0074019612721516175,0.8603718391006273,0.023474915001074993,0.012908775995171528,0.005975407547219097,0.005586205978866942,0.005688000148275825,8562.0,10100.0,0.25
