,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.095891172573741,0.8562274064920908,0.026667080799339198,0.009572349832913394,0.011641990301915534,0.8056336408356316,0.03694736963126326,0.007910622207875887,0.007877106566149145,0.007294679396389139,0.006869696572918739,0.00694744063022435,6441.0,75400.0,0.2
1,근로복지공단,0.23993698688061396,0.21505072547484966,0.024324580383358455,0.013549034656409454,0.02797387071206971,0.7203651811991062,0.17039951612573034,0.027269820697680597,0.024580339839106354,0.020831077696676772,0.018300496464615554,0.018253567977083992,5817.0,9406.2,0.13
2,농협은행,1.0,7.234645972517186e-308,1.565732044216022e-308,1.4121297997940157e-308,1.929921464288265e-308,0.652247742965737,0.05132995732993329,0.009656365495391004,0.009563020605284757,0.00841800908647162,0.007646223680350248,0.007759010642478379,6182.0,13100.0,0.15
3,현대카드,0.6039504463477665,0.14916151422412646,0.016382519648791765,0.011303829507808711,0.029929345585840206,2.875350129646628e-307,3.735088572051056e-307,1.0,2.383678449698671e-307,9.44759225854755e-308,6.546304512804655e-308,6.108363983330222e-308,8737.0,2300.0,0.35
4,중소기업은행,0.21678631056738543,0.4464456959914411,0.029106830000559247,0.01471196677260777,0.03912498784639373,0.7241474665919724,0.1673857201426356,0.025122190437881206,0.025653822094044324,0.020937787633702992,0.01814050269376758,0.0186125104059957,10065.0,14800.0,0.16
5,국민연금공단,0.7121888702653024,0.02419640261489085,0.004745977047513428,0.004107658157655041,0.006246043882665831,0.23393687496686333,0.48627951122432433,0.02007665814504638,0.018481362105654795,0.014142546093297506,0.011696302160417992,0.011854892671937787,6345.0,29900.0,0.1
6,현대캐피탈,0.5622203204985994,0.017590645814270535,0.0035764040988262437,0.0031309254049624678,0.004709267289690585,1.0,2.4320577094815977e-307,3.655524425560655e-308,3.244074038294252e-308,2.7076506486911883e-308,2.3508253680719453e-308,2.3474104928642145e-308,10926.0,3000.0,0.2
7,국민은행,0.7073855909071006,0.033846950233459475,0.006474282376974202,0.0053669619660894,0.009825922625239337,0.7412287058841247,0.15832843137405808,0.024996425114351566,0.022696809358555114,0.01915619213459078,0.01679043476943642,0.016803001364883243,11355.0,21200.0,0.23
8,삼성생명보험,0.788861317891825,0.029229526234211885,0.0057372382561176345,0.004901018481786042,0.008219675909722017,3.721430606826543e-307,1.0,8.141941969833229e-308,1.0098098879849814e-307,5.970296357228607e-308,4.431949429105514e-308,4.60440988622634e-308,11975.0,27100.0,0.07
9,신한은행,0.6545374143305485,0.01745078389548753,0.0036840738839186223,0.0033001165872882337,0.004547173169610928,0.7027319010761248,0.1966662583603873,0.02623095517565728,0.02319644212446341,0.018882665401633823,0.016149085500172716,0.01614269236156049,11276.0,21900.0,0.1
10,우리은행,0.23178649669311147,0.5498678734840142,0.0338181332648912,0.01603542707929934,0.04212883030192829,0.8841267054853982,0.041825688048402546,0.008741574991789455,0.008758201000515015,0.008016675858336517,0.007486678674148064,0.007600039095797183,10406.0,20400.0,0.09
11,신용보증기금,0.2551419049535719,0.025026226278437716,0.004224345133797664,0.003398222432556551,0.0062599406869449275,0.7364095013080835,0.034216223826808806,0.006870893604887668,0.006843302413697243,0.006179252780166117,0.005721335393080247,0.005787439135645654,9488.0,1100.0,0.25
12,한화생명보험,0.5893884880164448,0.1500337714199405,0.017180615852875235,0.012003759094696169,0.032674407258648626,2.0472928392813606e-307,1.3753992410524533e-307,5.949445804537733e-308,7.589521477174725e-308,1.967833514324866e-307,2.5279078619848044e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.6921747549511613,0.07173173916427365,0.01207182029144957,0.009710731525835212,0.019935386044786365,0.7952610888153948,0.06711582465528732,0.012718895517812938,0.01219703694499237,0.010818678610115364,0.009855641068331403,0.009903737383095478,9961.0,2700.0,0.08
14,하나은행,0.8089893912359549,0.022976964488420622,0.004530016108272725,0.0039167664310480145,0.006130342258819372,0.1043573382451313,0.6788118134534296,0.05618297251976025,0.036616471938541735,0.021622373722098923,0.015460118797416175,0.015277344978832694,11856.0,29200.0,0.1
15,삼성화재해상보험,0.5962524441833736,0.019437072560926402,0.004082585396972241,0.003597272441177735,0.0053841259046902715,0.7939141640069022,0.05831023916590104,0.010558187146840297,0.010610848027904799,0.009190660847994168,0.008264968100544197,0.008429099647740253,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,8.744897841800269e-308,1.829269072718342e-308,1.6183762924996145e-308,2.3868547071760313e-308,0.9547620227214813,0.022536536747843935,0.004849746298642758,0.0048400269431626,0.00449062642322563,0.0042353013725046785,0.0042857394931391105,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.7831047557460387,0.11908729402249563,0.018953981225902625,0.013753316885008405,0.05175833088237926,0.9442131923692152,0.027942360419632682,0.005927142429664941,0.0059805012429019165,0.005508899823945084,0.005172019288913411,0.0052558844257267635,8562.0,10100.0,0.25
18,교보생명보험,1.0,1.0651588191217643e-307,2.09201763979007e-308,1.8060532184265487e-308,2.8358933391454455e-308,0.020597444407967423,0.016191369520185427,0.00822829125440854,0.012748717282311809,0.8410657713390112,0.02036560816482713,0.02351228952334137,10001.0,13000.0,0.08
19,롯데카드,0.2757366555594537,0.008075067291122055,0.0017138862166270023,0.0015203112214840521,0.0022223871267999435,0.8853293427292919,0.05778357017625479,0.012098708973569778,0.012291505206093298,0.011257898468975392,0.01051902602920146,0.010719948416613351,8325.0,1500.0,0.16
