,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,3.4103380873858815e-307,3.5296953382050253e-307,5.948636448490801e-307,5.66495164327974e-308,1.7098980044871286e-307,1.0,8.247397447875657e-308,1.936031297395164e-308,0.6786906799257068,0.01571434157282541,0.015172649124328126,0.007016905007421098,0.0031631672894250574,0.003207164725827421,6441.0,75400.0,0.2
1,근로복지공단,0.03471941488213843,0.046864714687474246,0.06468665656135489,0.0035849007205885604,0.006419462257078535,0.010664601654945975,0.008177835418335258,0.0020587108921193177,0.5626060687722503,0.05921615988813245,0.05726714042569139,0.019072250229356064,0.007549173010592042,0.007565680727348627,5817.0,9406.2,0.13
2,농협은행,1.0,2.2605652104534397e-307,7.860359926912891e-308,1.383231248982737e-308,1.6745341095038255e-308,1.7439655301118915e-308,2.022674287520548e-308,5.354904216616786e-308,1.0,1.5720007074999756e-307,2.0296943997064875e-307,6.511931883092611e-308,2.763078377854283e-308,2.817662757836117e-308,6182.0,13100.0,0.15
3,현대카드,0.09203903567597768,0.46394546254954044,0.0909956394022549,0.005801611098393689,0.009653921805282552,0.012534956595707664,0.015961482541971623,0.0050412657445803,9.39026246673637e-307,1.0,2.642210511244075e-307,4.3673917808976684e-307,1.0628735122756054e-307,9.943527879197267e-308,8737.0,2300.0,0.35
4,중소기업은행,0.11315977597533987,0.14157913850329187,0.31982077711300194,0.013042553213659328,0.02913266227666155,0.03759082174333835,0.04056378971018826,0.006034210153612666,1.0,2.50801650013615e-307,7.145305237610494e-307,1.0010144653467593e-307,3.919439348896075e-308,4.0607454107121956e-308,10065.0,14800.0,0.16
5,국민연금공단,0.5745402601490636,0.11014138767893207,0.02850313208920288,0.0043130690005774314,0.0055117779848161495,0.006053237589337629,0.006970421080027104,0.025600017054430494,0.4943744593182159,0.08841882393346537,0.19742004183071377,0.02697999950173642,0.009696954916835284,0.009907762139150247,6345.0,29900.0,0.1
6,현대캐피탈,0.43190560862415933,0.07078132699044688,0.019482938047333507,0.0033203321529432276,0.0038754665092823846,0.004166728936578206,0.004913987827090635,0.03705024656020212,1.0,3.1816628689930187e-307,3.1952611648926627e-307,9.89470841397782e-308,3.835058411143435e-308,3.8492755868040997e-308,10926.0,3000.0,0.2
7,국민은행,0.2608579911317433,0.3346179136879908,0.036846745430382924,0.00536222876643928,0.006736083907492398,0.007288664847551243,0.009683444770872452,0.014761681033694627,0.6305613466016908,0.06166760421070697,0.0694377700472548,0.02061386858616228,0.0081301609545679,0.008189361903521493,11355.0,21200.0,0.23
8,삼성생명보험,0.7448096053182794,0.14992672051882613,0.03159053233225476,0.004647378792715001,0.006003692052119842,0.00645459099945625,0.008181658964460086,0.01749033169452702,1.1133110731684447e-306,5.917061850527249e-307,1.0,2.7397182914199163e-307,7.178703529609867e-308,7.686611595115851e-308,11975.0,27100.0,0.07
9,신한은행,0.49298099796743927,0.036950657048767446,0.012419563924592432,0.002108291969349874,0.0025940688232895426,0.0027543619375665633,0.003123270332383375,0.011788993047636837,0.5768199062441065,0.07751302522576031,0.08084779467958061,0.022548319285787655,0.008447442831300916,0.00851575075928085,11276.0,21900.0,0.1
10,우리은행,0.11186367144546829,0.1387042804769077,0.3500252627405335,0.013487763752001369,0.03097950211712633,0.040315512313419656,0.04127847420095866,0.006132115013524426,0.7831674994297038,0.021032860976443378,0.021720307938981886,0.009380002923980689,0.004176985054286972,0.004255339690668887,10406.0,20400.0,0.09
11,신용보증기금,0.15504079346149655,0.2597079071806874,0.03467169874038181,0.004115640975173521,0.005784465387581676,0.0066775863750343735,0.007999295272494497,0.009051908249313735,0.8063552208987631,0.029531854140106444,0.031807834654034445,0.01260132222081456,0.005498466324211633,0.005585343522258882,9488.0,1100.0,0.25
12,한화생명보험,0.1193429315085711,0.3855185548138523,0.12265255425556404,0.007778616145743954,0.013063230229764236,0.016851966278783406,0.023221677693449242,0.006471055994057243,0.10497920771071374,0.04521811723793447,0.02356352564274633,0.06989447083980728,0.06501544550662612,0.4380403913081232,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.18371554102559118,0.5708891976199881,0.044581622078106634,0.0051515355867318815,0.00734064370826016,0.008316080843517077,0.011018655033996285,0.009747159057318449,0.6619467672480082,0.03200661768270668,0.035069732392179,0.012603429446071363,0.005342810476796981,0.005391670954499769,9961.0,2700.0,0.08
14,하나은행,0.5678916838675588,0.09517060408426631,0.024183612337558103,0.003668192838632766,0.004699127863702983,0.0051020462455242535,0.006058100091052699,0.03520157524935852,1.1538559468370275e-306,1.0,4.127652349199449e-307,3.0715941981213188e-307,8.025579035401203e-308,8.015909477939206e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.5900645067002742,0.04302003303664467,0.012865413639538383,0.002099122275188944,0.0026330641223116353,0.00275566029810328,0.003365226290655244,0.009683715973562433,0.7919635975712426,0.04009322621375733,0.0634210227398125,0.01674677641993594,0.0069895803322212995,0.0071768334812311926,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,3.3784047819535385e-307,1.0100741842715678e-307,1.664977872825486e-308,2.0645113414353082e-308,2.175742752563172e-308,2.607429233636617e-308,9.142098387048888e-308,0.8250775639237972,0.013096595202723502,0.012529591607469947,0.005902811214755003,0.002672661544814088,0.0027117665490123343,5645.0,3957.1,0.26
