,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,5.676266189779087e-307,1.0,1.5972077840469837e-307,1.4221041857090077e-307,5.628372812834581e-308,0.6089814410314979,0.037076448769776935,0.018145697801848014,0.004758426057331469,0.0038892245499971435,0.004182588153823966,0.0036447405433719148,0.0036182191401349833,0.0040667385609666805,6441.0,75400.0,0.2
1,근로복지공단,0.09967118235727836,0.0970075123719967,0.010947147453593905,0.02578356761354494,0.006059120542508163,0.3330281937644184,0.3852371004397193,0.07349143015071449,0.017638963778677755,0.01107360901522649,0.012871584717526433,0.009485677974947657,0.009248578177315673,0.0128769917663613,5817.0,9406.2,0.13
2,농협은행,0.8557424677261319,0.01997854002945841,0.004458332754041664,0.011217656946206939,0.003956992531341469,1.0,4.369696933886135e-307,1.5875400087806225e-307,4.331430053770637e-308,3.0741099031497717e-308,3.4604264685512626e-308,2.7768944207779157e-308,2.7466447369854703e-308,3.2891431520714084e-308,6182.0,13100.0,0.15
3,현대카드,0.5587650971201347,0.20117163147841355,0.022808091764118833,0.09675331856277047,0.014882689343233753,5.776755083003626e-307,3.717298706393841e-307,1.0,1.5453058954108145e-307,1.7715111812653125e-307,2.422501736462263e-307,1.0053248369690381e-307,9.485381241204858e-308,4.948919234325394e-307,8737.0,2300.0,0.35
4,중소기업은행,0.2598318437763265,0.36728569362975316,0.04341485260552782,0.10414965652676356,0.020481000881076326,0.4763981961226733,0.32212262090599697,0.07361557195509888,0.02329067696454614,0.013030370726898546,0.015695594803149738,0.01130568198354673,0.011170335557205943,0.014006946953952857,10065.0,14800.0,0.16
5,국민연금공단,0.7905641104325245,0.02508860877208742,0.005073527987097783,0.013943321132746118,0.004238905000234833,0.23148749146965,0.35412852983376764,0.09065101458733228,0.025618387524599186,0.012073470349470462,0.01527898669088658,0.009849816938630669,0.00971057115893102,0.014016298279159185,6345.0,29900.0,0.1
6,현대캐피탈,0.6040054243305166,0.018344678833119615,0.003861945472369454,0.010548304419149297,0.00334440383171285,1.1923118178383915e-306,1.0,3.1381969701050133e-307,7.322980828113993e-308,4.455523784437312e-308,5.23650568002487e-308,3.768337538353423e-308,3.686097345875001e-308,5.243221393579989e-308,10926.0,3000.0,0.2
7,국민은행,0.8182839530974072,0.0274139016228172,0.005528053136973499,0.018198865758898584,0.004567240045876,0.3379904426314528,0.31516318929693315,0.06208099671114109,0.015349733575366722,0.009615038881636626,0.011203448253211706,0.00825570127813648,0.008090862193575833,0.011051689960943805,11355.0,21200.0,0.23
8,삼성생명보험,0.8576423006926212,0.028430400847411684,0.0058594243986870515,0.017410920689961563,0.0048644640528948575,6.982372871336006e-307,5.3097948522940435e-307,5.497567728365042e-307,1.0,8.9768879756603e-308,1.4795971974619982e-307,6.6467384775989825e-308,6.512403531139465e-308,9.603761258976157e-308,11975.0,27100.0,0.07
9,신한은행,0.9180217880909711,0.020109127700170093,0.004375870496274987,0.011104630635799907,0.0038209430097221526,0.1859575299524673,0.5631551231846649,0.06729491546907898,0.01593208273069918,0.008633337767037261,0.010465478067316748,0.0071710243697103845,0.006992126137211872,0.010235916559516901,11276.0,21900.0,0.1
10,우리은행,0.27038916529405677,0.402288972445344,0.04805758425699934,0.10997531302806408,0.022019847629707736,0.7852577221835472,0.04637266131705525,0.021502250490998583,0.005756649973896831,0.0045510772762840665,0.004951819042678496,0.00423371617477267,0.004211363055249411,0.004755644305580201,10406.0,20400.0,0.09
11,신용보증기금,0.6705211521799406,0.04476811178377836,0.007998119785427676,0.02561733938061575,0.006141748543230387,0.518665879960481,0.04792886780983956,0.020459441448603632,0.005515002927352959,0.004171650847225525,0.004597865444041437,0.0038452867619161194,0.0037917905617653536,0.0044056970476971605,9488.0,1100.0,0.25
12,한화생명보험,0.31920280342913726,0.10749098544788964,0.012696150671186204,0.05905619479477783,0.008331129098584267,4.12864845423377e-307,2.0147457557456428e-307,2.623371801437757e-307,6.15645964057891e-308,3.0696213662020533e-307,1.1177069977519437e-307,4.883882601422682e-307,1.0,9.882126449596029e-308,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.7834760462751345,0.059622559783108514,0.010799512091305594,0.03785587785865677,0.008197901447696002,0.6428935264490623,0.1107127430294284,0.04023543016558464,0.01041724497953992,0.007477858215226996,0.008364299654003027,0.006718257712595367,0.006594599311727285,0.008192898184631993,9961.0,2700.0,0.08
14,하나은행,0.729431021013303,0.02249686373826513,0.0046524397055646765,0.013024524442241683,0.003907280114470171,0.11091981582211619,0.08270546175198334,0.6003659619651942,0.05374927492220341,0.020323454096033224,0.033389505299835885,0.0134658895171002,0.01289949695188407,0.02894506624313254,11856.0,29200.0,0.1
15,삼성화재해상보험,0.7952698611978986,0.02434756548074946,0.005308771472167665,0.01435274027262803,0.004573222280328835,0.8267167005479849,0.10068682076562482,0.031899028774171036,0.009079695684844631,0.0060682104660320065,0.006958204947580083,0.005426652522909528,0.005375477485136098,0.0064778346424610705,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,8.76306525035235e-308,1.896753884818232e-308,5.067026055508886e-308,1.6395245362356134e-308,1.0,1.4866395449673057e-307,7.379160820755753e-308,1.9392195966544124e-308,1.5951529744276476e-308,1.7119975422090706e-308,1.4987447547877904e-308,1.489389732204303e-308,1.662251280479575e-308,5645.0,3957.1,0.26
