,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,5.424666469855939e-307,6.0117095358075315e-307,1.0,7.287882783461208e-308,2.1740251418230774e-307,1.1105655625978624e-307,0.9058765295061446,0.03971659473571932,0.02410148122658719,0.010820621969408221,0.00483770198076355,0.004918713866343309,6441.0,75400.0,0.2
1,근로복지공단,0.14490573433487164,0.21649596159712176,0.14197443612270524,0.011859265334353752,0.021383648629810036,0.02694734675067116,0.2323850100645108,0.1804090865963823,0.05404285959278776,0.017742050415431327,0.00696928555780309,0.007053714454220934,5817.0,9406.2,0.13
2,농협은행,0.6851478428693852,0.05190489731746131,0.010459607028259795,0.002831472236929085,0.003145262292030847,0.003744675955504546,0.6571319277948062,0.05753070603932282,0.026393282793320563,0.010987577281682667,0.004606329355863056,0.0047119015482363705,6182.0,13100.0,0.15
3,현대카드,8.6776197897353e-307,1.0,3.34925861968852e-307,4.612160892734906e-308,6.956248736340233e-308,1.1351443106171158e-307,4.496760420573881e-307,3.3738974505472623e-307,1.0,3.3343277786682633e-307,8.690686586231215e-308,8.396087775291099e-308,8737.0,2300.0,0.35
4,중소기업은행,0.1534780117813833,0.1936274302401037,0.2830887982814808,0.016296993290382568,0.035134160679992005,0.042117562967911804,0.40239985922384147,0.292104983324665,0.07654496034343442,0.030741407646326734,0.011801062572732392,0.012255431015429639,10065.0,14800.0,0.16
5,국민연금공단,0.6717087300870151,0.1156423775308788,0.017488642024056276,0.004299888974076361,0.005038708013137133,0.0062608412991166495,0.23868941783620173,0.3709629823323752,0.1101544693689541,0.034007905439869354,0.012004377228231989,0.01241042112723538,6345.0,29900.0,0.1
6,현대캐피탈,0.6156209851501218,0.08016852884831552,0.013010755996380052,0.0032963881984541385,0.0037906617880272306,0.004720197956329346,9.061016968070652e-307,1.0,2.640812982724866e-307,8.318727950924642e-308,3.2008493154619653e-308,3.24894303236311e-308,10926.0,3000.0,0.2
7,국민은행,0.30639665253741716,0.513717850171103,0.021338820639865023,0.004906565398973997,0.005876234470231736,0.008251895971453243,0.38666391580511755,0.3082444915637091,0.082189097226036,0.027752148191895615,0.010853296109374857,0.011034462136969342,11355.0,21200.0,0.23
8,삼성생명보험,0.75862826322475,0.1346367103295291,0.016713941129932654,0.004072497443094352,0.004766457559613419,0.006402398690415753,0.1508433287599857,0.4778484616574604,0.1448455070110482,0.0658075295217011,0.017060714192319606,0.0181982866546072,11975.0,27100.0,0.07
9,신한은행,0.5612817511053524,0.04379183060300748,0.008560253042802952,0.00226283432593739,0.0025493935482111176,0.003019028237851308,0.2695351004573177,0.3552601851270323,0.10216883808958567,0.030275536739903297,0.011293381614804929,0.011493661971976637,11276.0,21900.0,0.1
10,우리은행,0.16991439716467527,0.2119035644416986,0.3357195658879463,0.018637998347876914,0.041502262918992526,0.048939819177870984,0.7001850133693437,0.04234951869563025,0.024162420396446307,0.010837917081161916,0.00477901099316222,0.004881586308132566,10406.0,20400.0,0.09
11,신용보증기금,0.19386822488982872,0.2731217264554222,0.021435512859242244,0.004396861324879118,0.005684852281769911,0.007733372526493479,0.5563783026631757,0.041745440755654145,0.02265257840706489,0.009784066544535267,0.004230398262603227,0.004308959265883785,9488.0,1100.0,0.25
12,한화생명보험,0.12004047978481043,0.3018290582627365,0.048409075580797184,0.006640798550777209,0.010014407245012678,0.017555214375263917,3.214473089153156e-307,1.780424188084829e-307,2.300477320057237e-307,4.1319099399635724e-307,3.3419610426275405e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.19365285676068977,0.6786429827710826,0.02285250075926285,0.004723414907508223,0.006072355195094308,0.008900651051233149,0.4931452380244212,0.062257962746373734,0.030336985378266408,0.012033908610285166,0.0050470547515336405,0.0051233925593794786,9961.0,2700.0,0.08
14,하나은행,0.697242088147097,0.07216641449263925,0.010511319640215901,0.0025871306488188407,0.0030182210611225065,0.003837120021779802,0.13287082414318396,0.133045363634207,0.5637182265628349,0.06863674451312379,0.017681276813559826,0.01804034684910953,11856.0,29200.0,0.1
15,삼성화재해상보험,0.5698001120051404,0.01620832217065213,0.002745979377374365,0.0007153217553769886,0.0008086370837535154,0.001022381912256303,0.5945496230183226,0.09407059776125135,0.03688222426448691,0.015482095181775192,0.006365706219753638,0.0065538852441236785,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,4.5144612174281956e-307,7.776745586371151e-308,2.0347529224430097e-308,2.2995109335033275e-308,2.8630557875343475e-308,0.890631671320315,0.026739915635213784,0.016399256298557582,0.007415519465315729,0.0033282246223392234,0.0033846109867523362,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.13832847797608688,0.7390802395330694,0.04200472606495432,0.007099196119054212,0.009874598197693662,0.020705892144613276,0.9085845426018087,0.03380837967293389,0.019933305346760494,0.009095086972911188,0.004049982343521364,0.0041374082996922835,8562.0,10100.0,0.25
18,교보생명보험,1.0,6.325339839448472e-307,9.116694907395587e-308,2.236973251136269e-308,2.614011430622479e-308,3.3268289157786823e-308,0.07855163712394972,0.048229474193984496,0.07184374592142304,0.5997805396080148,0.061818014597639845,0.07579579047633901,10001.0,13000.0,0.08
19,롯데카드,0.7053276197798146,0.07245028612602158,0.01293679266552546,0.0034178037564414608,0.0038396320700830803,0.004768378930219731,0.6676173919001139,0.04577634062466138,0.026196000974487783,0.01201610374124795,0.00531574372219975,0.00544803190631563,8325.0,1500.0,0.16
