,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.10911710000510047,0.19240603921807364,0.1747054853208723,0.06735937228998645,0.024038776507741968,0.18065728435282855,0.035131483131583076,0.6502611130548824,0.07963563786360645,0.005482962201313537,0.005022939404646403,0.005428975471151766,0.0046948628151208096,0.004776454103109732,6441.0,75400.0,0.2
1,근로복지공단,0.09608197766858893,0.2218976346183918,0.1444136395836433,0.023313423205933603,0.013503237153481288,0.030522182356521817,0.03133446971182167,0.39461285595921713,0.5074568211647404,0.019786031228670887,0.014788145359856456,0.01730666284782604,0.012677927005244253,0.012841384967205135,5817.0,9406.2,0.13
2,농협은행,0.735754104250691,0.18903997375043224,0.03522262661959857,0.009790280333542685,0.008736080660066689,0.009782043781941011,0.011674890603727865,1.0,7.453603692563601e-307,3.0419595757896807e-308,2.625308786483753e-308,2.9835475173332545e-308,2.357932356527702e-308,2.416399447589899e-308,6182.0,13100.0,0.15
3,현대카드,0.10577613378504198,0.4896175793190079,0.08771267882557524,0.012924140742425847,0.00846555473929798,0.014380654488402598,0.02278933501603854,4.1567870717186746e-307,8.232598341963294e-307,1.0,1.4025225156689386e-307,1.8523517378703863e-307,8.597065971316411e-308,8.47348227765231e-308,8737.0,2300.0,0.35
4,중소기업은행,0.08225623904218952,0.1563483071851102,0.21301102144157755,0.028224392976441515,0.014039823431681286,0.031751392188788696,0.044148233625797416,0.2626733300186992,0.4305988390230354,0.012448707181061808,0.01024772518243471,0.012501919545741364,0.008774541398936398,0.009132879503442565,10065.0,14800.0,0.16
5,국민연금공단,0.47013649238706734,0.17022853904648963,0.021413630461438075,0.005490463564184113,0.004447261061491941,0.005668837485236841,0.006886419046566558,0.11548825935484527,0.3257557860367514,0.011247487064615659,0.007956394935918687,0.01026962596296431,0.006478225928394275,0.006672102366014952,6345.0,29900.0,0.1
6,현대캐피탈,0.41240963465622243,0.10682990922626273,0.01524269529597865,0.003961778409331494,0.00344512649901812,0.004023527217406326,0.0049470266663435535,8.257775101390157e-307,1.0,5.268762420307915e-308,3.8226224297941285e-308,4.549269989118318e-308,3.236289281985557e-308,3.2772071774429553e-308,10926.0,3000.0,0.2
7,국민은행,0.20780510246677414,0.5929939586044275,0.028857767608232058,0.006461552878990638,0.005321945668805824,0.006475720996099831,0.009095512646159501,0.3955428045380978,0.5316854209895926,0.018336665959461665,0.013934464535506714,0.016418169497667317,0.011949633517879135,0.01213284096179475,11355.0,21200.0,0.23
8,삼성생명보험,0.394634214909276,0.5038580690418805,0.026822143696913207,0.006577863965561867,0.0052307999494709614,0.006573591419312422,0.008820933214066564,4.7793820009345475e-307,1.0,1.1984897736834538e-307,8.284984181723822e-308,1.436210835733641e-307,5.918208965156283e-308,6.357563275744691e-308,11975.0,27100.0,0.07
9,신한은행,0.7776545466572262,0.161193304369906,0.028821104376702877,0.007905999474048752,0.006990364424175132,0.008028131881332345,0.009406548816608438,0.2304383979644703,0.7031614168036464,0.017489498616417302,0.012545130604460615,0.015285196029389585,0.010449046770880918,0.010631313210734943,11276.0,21900.0,0.1
10,우리은행,0.1055531115963961,0.20133708316103585,0.31095196015458804,0.03980982804406981,0.018908754192717505,0.0446838666001011,0.060107577330918004,0.7911172766189416,0.09888712388019377,0.006226606309802218,0.005671414633025187,0.006201170849963421,0.0052576623896697676,0.00536881278780089,10406.0,20400.0,0.09
11,신용보증기금,0.21516189964722474,0.3410913188491956,0.03314478811068785,0.007365665072898126,0.005557074220920273,0.0077902441661616625,0.010081874927926946,0.5997235754226743,0.07850439367020792,0.00450098255696688,0.004004893354491124,0.004453444538111891,0.0036590618912898452,0.0037444412390381016,9488.0,1100.0,0.25
12,한화생명보험,0.1154206462257496,0.42732420104826657,0.10418082919145258,0.014611289356288719,0.009471858537227441,0.015964302713391117,0.026981031191687963,3.032259291770446e-307,3.6290709916039535e-307,7.935102879783904e-308,2.245806341123582e-307,1.026912009536054e-307,2.9359118972784694e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.19931606520587997,0.6006143817781463,0.039509191962315095,0.00831977271453555,0.006202042150050289,0.008499856827934906,0.012254754011887928,0.4804070252130377,0.1249049040210184,0.006425445738629205,0.005420821666322179,0.006095015210881588,0.004852663966506561,0.0049358505597876965,9961.0,2700.0,0.08
14,하나은행,0.5478247938073699,0.13468928607783578,0.017009083147535152,0.004306143536839177,0.003453192351079618,0.004387871428577302,0.005480214482017441,4.830149333041546e-307,1.0,2.5796293350541676e-307,1.014301251533735e-307,1.6252758548426915e-307,6.852636577306317e-308,7.063853507243468e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.5199161060752631,0.15074026148451372,0.023517951422270734,0.00620172622756247,0.0050697574253668965,0.006155650607864178,0.007809858611687687,0.4115479127809801,0.28637980596463386,0.007868333225167345,0.006771511260801829,0.007834079037762414,0.006013610521535119,0.0062028662349346095,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,4.49173610137071e-307,6.806571011745135e-308,1.807811708417998e-308,1.4953023394270434e-308,1.806198308795428e-308,2.2555628466205314e-308,0.8632125007066235,0.06649300217822542,0.004621647821137144,0.004251700755078889,0.004588694454976121,0.003980267787856901,0.004051184335516719,5645.0,3957.1,0.26
