,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.028946908916281593,0.05261373348950241,0.8773353064633334,0.0076681402927766245,0.019860058430292843,0.010899334338948926,0.002676518068864099,0.7462791646649937,0.04245259359772467,0.018201812052100533,0.005419596497245691,0.0055247321438917476,6441.0,75400.0,0.2
1,근로복지공단,0.1315031555686006,0.31252129483583585,0.12722023824805168,0.022354595210289416,0.11401243077765741,0.048686105663457775,0.01205930946340261,0.7232643174322578,0.18893230263662747,0.05771325852540993,0.014887595257365868,0.015202526148339002,5817.0,9406.2,0.13
2,농협은행,1.0,1.93258300168547e-307,1.4284152945944046e-308,1.0659898383466078e-308,3.13434916855037e-308,1.4750897640662846e-308,3.8999162876194664e-308,0.8982995622244572,0.049476482408658866,0.018663329389003794,0.005189393008043804,0.005338801989165008,6182.0,13100.0,0.15
3,현대카드,0.09761766735912179,0.7010774251138601,0.03479984093687562,0.009845572677980334,0.08389245687786367,0.02803937856215459,0.00889450859731345,0.11060333487575101,0.6948753351595932,0.15046786125386635,0.019945420607661947,0.020176943394792052,8737.0,2300.0,0.35
4,중소기업은행,0.12900514969787885,0.24659752032599916,0.2587279393736283,0.02610869571730476,0.1608833655809015,0.07380065013818728,0.011457519641495537,1.0,3.694547278452704e-307,1.1468354093618803e-307,2.9274032571820547e-308,3.065115624289298e-308,10065.0,14800.0,0.16
5,국민연금공단,0.6817196053837502,0.22487383606674546,0.010472902474508494,0.006936055986634036,0.02332967442699766,0.010723129746204471,0.04194479591515978,0.2536643949529519,0.3030267235920515,0.037449539588937084,0.008702828776149524,0.009083787623945275,6345.0,29900.0,0.1
6,현대캐피탈,0.3977314220522375,0.08560196926924389,0.00479235794452563,0.00337877415355474,0.010776754675119094,0.0049516204179226335,0.03630951543546229,1.0,3.998801529287725e-307,1.1258161386396375e-307,2.831451197518122e-308,2.901152722336344e-308,10926.0,3000.0,0.2
7,국민은행,0.14474142832878012,0.798065130399724,0.0068056762103241636,0.0039869229263408065,0.016879198404095876,0.00720108990601596,0.011259308311988587,0.7365257974966192,0.1811397443880495,0.05420894227433891,0.01389037197858497,0.014235143862407474,11355.0,21200.0,0.23
8,삼성생명보험,0.7155978201133224,0.21195262142476742,0.00966462547324175,0.006258384966767527,0.022738795627191017,0.010384747130350301,0.023403005264359466,5.155828348272707e-307,1.0,2.775754971779287e-307,5.027415250565199e-308,5.498916345123337e-308,11975.0,27100.0,0.07
9,신한은행,0.7877637900925815,0.13148393438697042,0.009158155928754299,0.006739452515168756,0.019971580934371735,0.009330376821968387,0.0355527093201849,1.0,5.274066945847328e-307,1.3298386387480994e-307,3.239581435235624e-308,3.3326718549988144e-308,11276.0,21900.0,0.1
10,우리은행,0.13564115827789736,0.25957653132228703,0.294744960354292,0.02845731732760453,0.16656298258575225,0.0795726257810409,0.012033840946100726,0.5834785415901221,0.03577526268829275,0.015044461881154988,0.004417732473816937,0.0045232129925415416,10406.0,20400.0,0.09
11,신용보증기금,0.15940415632083843,0.5936928904995211,0.01264498717105033,0.0065170965928824645,0.029769843482296245,0.012699506475567016,0.01513575749923569,0.5828295952907879,0.04372226698328996,0.017592592626665744,0.0050471135548071306,0.0051661104224178175,9488.0,1100.0,0.25
12,한화생명보험,0.08134195782369039,0.30095960939133976,0.03304968377349846,0.008704385221078182,0.0820234287347975,0.02655613995681622,0.00722527319912018,2.887257783688453e-307,2.8537376899800973e-307,4.443340113071427e-307,3.257916412458181e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.11618273014888636,0.7536741778188459,0.01021652694587136,0.005154848835152778,0.0256760076482914,0.01092626117025369,0.009764189532632415,0.7199532608802313,0.07636481071117734,0.02840192277953295,0.007888064780666663,0.008049334719292376,9961.0,2700.0,0.08
14,하나은행,0.6901246260827614,0.13774724254568677,0.006834465915414479,0.004498880840944407,0.01554261460458564,0.007058374602702235,0.045529219838727625,5.029093104859576e-307,1.0,3.758107842804271e-307,6.024868761650523e-308,6.321984213730307e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.8987328994670274,0.048025353846898704,0.0030112373680658672,0.00210593635802501,0.006857465730460453,0.0031798377347498374,0.009198688399112805,0.60134946973704,0.05959209968222043,0.02174511124292244,0.005932238679315257,0.006140172854430539,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,2.8214931558106508e-307,1.7566903834908517e-308,1.2478673065937454e-308,3.9517608112928137e-308,1.8443486729612514e-308,6.414891823113994e-308,0.9668893623974326,0.019571438129902495,0.008444427759958344,0.0025224199527370487,0.0025723517599693002,5645.0,3957.1,0.26
17,메리츠화재해상보험,2.7112496576740997e-307,1.0,7.582582184769193e-308,2.7148455291403236e-308,2.8798603925913406e-307,9.855726446167902e-308,2.351465719868807e-308,0.9262198189468149,0.043744725973693076,0.01876941437442838,0.005564661177972682,0.0057013795270909095,8562.0,10100.0,0.25
18,교보생명보험,1.0,4.380311239596092e-307,2.077445033452639e-308,1.3704881307635535e-308,4.729457534986045e-308,2.151476361122394e-308,1.1357737903804222e-307,3.414765820307844e-307,4.372710453417433e-307,1.0,2.4382788689739507e-307,2.932266770445446e-307,10001.0,13000.0,0.08
