,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,4.2335390023421284e-307,5.157618117643809e-307,1.0,1.9356055780603257e-307,6.798315199629955e-308,9.770901636474518e-308,7.15220071121844e-308,2.259969222362397e-308,0.9085512799633526,0.019975985252590624,0.021416524183244204,0.017711030080656817,0.008814522645677302,0.00811514828981906,0.0076747399604464184,0.00774076962421297,6441.0,75400.0,0.2
1,근로복지공단,0.13163510082623012,0.21514523333284047,0.15656788552067613,0.022717321368074445,0.01211885066153032,0.026986175786135467,0.027537911156587002,0.007183943257818103,0.5925071030643925,0.06408426812850707,0.06551266519248142,0.04236531675800709,0.018996485822820337,0.015749431916075994,0.014012346111733513,0.01401257487060368,5817.0,9406.2,0.13
2,농협은행,0.7918611039837343,0.09302774055295097,0.014005207437924785,0.004307790358551718,0.0035710397055420764,0.005144047370464789,0.005801252033645063,0.01466518818385483,0.7277024179944549,0.012408862864153785,0.014264084364727701,0.01000757688833396,0.004955454168282127,0.0043210039846146376,0.003954819446969012,0.004000983102779417,6182.0,13100.0,0.15
3,현대카드,0.14674093293747062,0.5878862326805018,0.07437713715271481,0.01498208189156804,0.008583368868058017,0.02502893683394156,0.04187332426782436,0.008065331414911702,0.10799038144379572,0.07305589995801279,0.03921644398893741,0.61057075253644,0.04528977590915993,0.028546173484085283,0.020505369290796573,0.019284092743562752,8737.0,2300.0,0.35
4,중소기업은행,0.13865343396448082,0.18538948512579317,0.28708180176355497,0.037301829143835126,0.015205435481057317,0.04618803949414444,0.03849806690185857,0.007285083668395041,0.7422905765659343,0.05796246980726569,0.08402475384890232,0.042851168052730815,0.02238297574411126,0.018190326700279025,0.015968212646966996,0.016329516633809316,10065.0,14800.0,0.16
5,국민연금공단,0.5110988676505621,0.16835547431189452,0.015057396856747268,0.004426723318486686,0.0033917094413658064,0.005624895146330614,0.006554950440938357,0.022015842865173513,0.2428052063292694,0.051557112034114366,0.13708246759970485,0.029811594803101367,0.014058152079686956,0.010579581528906418,0.009029356626328311,0.00907517062852809,6345.0,29900.0,0.1
6,현대캐피탈,0.40754112362397354,0.09582299682379537,0.010060483075375501,0.003002495814979158,0.0024057401113029373,0.0037751186083472303,0.0044212892002020564,0.029643881128097325,0.725109076815814,0.07619962114273038,0.08085623219065971,0.04828635474582932,0.021401688917070328,0.017419470132220595,0.015378943968894786,0.015348612086780858,10926.0,3000.0,0.2
7,국민은행,0.291896700551199,0.5657468883900136,0.026208815166643404,0.007438324290442909,0.005519053292662348,0.010432283318404678,0.01412298412791832,0.017122001520593736,0.7310614891770895,0.07173446072620171,0.0789038369130437,0.04758623267201943,0.021558553034323146,0.01771370461443622,0.01571508793840981,0.015726634924476523,11355.0,21200.0,0.23
8,삼성생명보험,0.32981582737558673,0.49648848652164723,0.01794144274073784,0.005277308459515635,0.004052026321224866,0.007172356600063219,0.008700796557748176,0.015945685912172422,0.1523074736208419,0.07166957364171073,0.5385802989219652,0.05040668510142221,0.03659031175741528,0.02059546805535209,0.015510714706038205,0.016094027164129953,11975.0,27100.0,0.07
9,신한은행,0.5181787438913215,0.06157170115215804,0.008815115646990498,0.0026825012275729036,0.002140943669265029,0.003204089376337877,0.003620776025652328,0.01223091145402241,0.774844604558246,0.06315912624542697,0.07458303099528375,0.036240646156465814,0.01622031347296269,0.012773791503006702,0.01107927393993285,0.011099213128674991,11276.0,21900.0,0.1
10,우리은행,0.14296579596646442,0.19156041265554904,0.32539256661694466,0.04144906178724525,0.016065511378833462,0.05020281435645342,0.038931348564535395,0.007503985545840732,0.7373233255145056,0.013268314693902088,0.014609928724224442,0.011623296497276534,0.005839453221355564,0.005319370042201286,0.004996553175160695,0.005051082289501011,10406.0,20400.0,0.09
11,신용보증기금,0.2854666717520297,0.4935980775547682,0.034731565675318654,0.009339601757437282,0.006318133344188673,0.013055379886648386,0.017300162873498857,0.015610367732723316,0.5680878298853346,0.012614008116800642,0.013814671291677894,0.010593147883062065,0.005270137378515352,0.004725694686099844,0.004385921549668181,0.004442680506491929,9488.0,1100.0,0.25
12,한화생명보험,0.14640262666782358,0.46428992642240463,0.07614633543071944,0.01549998982174724,0.008620719717413385,0.02760066637639052,0.047488730215148774,0.007943364420246974,3.0037710611533348e-307,8.487678937565705e-308,8.227275530047463e-308,1.1641945088799723e-307,8.865940845837562e-308,2.437724122030933e-307,3.4326428408975242e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,1.1049283965430507e-306,1.0,1.647231950289721e-307,4.478523834578195e-308,2.9337157005175175e-308,6.769722221565502e-308,9.26069132419664e-308,5.986400539213846e-308,0.5984443079373912,0.019725640751893432,0.02115272375489719,0.015576855761934471,0.007429349713705233,0.006492027184106329,0.005951856916666132,0.005986367967417312,9961.0,2700.0,0.08
14,하나은행,0.6197718526808886,0.19033841848927655,0.015741669612512457,0.004627387101211766,0.0035749355184240502,0.0059490435955470156,0.007115926404997417,0.03875095583312874,5.1030583382166015e-307,1.0,2.5235699332923248e-307,3.476818400797422e-307,1.4269612687974327e-307,8.05574465217706e-308,6.035127613662191e-308,5.98629463559161e-308,11856.0,29200.0,0.1
