,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.8887138143800464,0.0423386789526177,0.01994578842301318,0.011659172733487478,0.010944048738151392,0.014601176932786649,0.0069394709528772715,0.004857848887020233,0.7818921709292788,0.02769601273395903,0.011728685424026717,0.005033216287669171,0.005333617336422896,0.005798727178216797,0.005034614922428915,6441.0,75400.0,0.2
1,근로복지공단,0.0704327492691828,0.05092243132568494,0.02496590521124893,0.014839710040359548,0.01378595408193788,0.011169649038684733,0.009271591879324026,0.006177922001791245,0.6118882243812098,0.07526995996288229,0.024495198773638677,0.008065221673545916,0.009074496639122904,0.0108428946199024,0.00789005357687771,5817.0,9406.2,0.13
2,농협은행,0.008969722019440898,0.5691586495102288,0.07464842999441629,0.025286758799962145,0.024654154807721908,0.003906945343851302,0.009676278178840566,0.01332395263259347,1.0,1.7691120305229178e-307,6.494226068669043e-308,2.534525242305768e-308,2.7730993003650515e-308,3.176331146119738e-308,2.5261591589953006e-308,6182.0,13100.0,0.15
3,현대카드,0.7369975298140626,0.10004433742319829,0.052169432495900614,0.03243488459873162,0.02917163831572899,0.014766271272032753,0.021917608552304402,0.012498297528040592,8.827260069055216e-307,7.186687714073354e-307,1.0,9.89596878426905e-308,1.390261967590328e-307,2.2763941719606415e-307,8.988622513956101e-308,8737.0,2300.0,0.35
4,중소기업은행,0.42291661046243373,0.2219935358274487,0.10762451653851977,0.0638216597530344,0.05704430292832205,0.06152058495394727,0.04003018818631706,0.02504860134997713,0.6705373819343139,0.07619563181522264,0.0213152749443519,0.007702705894798861,0.008769409251236624,0.010817405520628098,0.007693737007552416,10065.0,14800.0,0.16
5,국민연금공단,0.03396437566213717,0.16508765415999913,0.1239603973518524,0.059883569891400326,0.3460551754370439,0.0051097038044285725,0.017460621531193776,0.03044834992129151,0.5485688534945058,0.2533272695564866,0.03773178611761131,0.011237014677613476,0.013338340481655156,0.01769571035485304,0.01110334695217266,6345.0,29900.0,0.1
6,현대캐피탈,0.004666302096508699,0.0715609267881985,0.056616948226606345,0.014242594574428176,0.01870078526006244,0.0011819956830027255,0.00439254851986229,0.011443560952708242,1.0,3.738703254469154e-307,1.1221698742471336e-307,3.5398329466172956e-308,4.032074825015289e-308,4.910737344143988e-308,3.467464271080981e-308,10926.0,3000.0,0.2
7,국민은행,0.01935750012602345,0.07395092322288789,0.05368225894101576,0.04342912920107082,0.022586988380310112,0.003916254339874333,0.6832141897511953,0.01077089519896881,0.6461588531657677,0.07330644906843749,0.022612827285456626,0.0074500337894449035,0.00842395685043998,0.010149231412351254,0.007322070569656571,11355.0,21200.0,0.23
8,삼성생명보험,0.03326072037194113,0.17102249431831335,0.13880502274149203,0.44619516482658256,0.07492857408234113,0.0064531836076553795,0.04106384200614021,0.022967811079918878,1.0685742957092652e-306,1.0,2.1359325630098628e-307,6.289452124868225e-308,8.265562565107714e-308,1.4491878425456198e-307,6.260426429617767e-308,11975.0,27100.0,0.07
9,신한은행,0.00856880424833699,0.6249001561512473,0.07070234564672079,0.021927022253054596,0.026246036213233244,0.003135954625662107,0.008162312368455597,0.014970826217890823,0.7541151161427895,0.10433970468826154,0.028204377333914458,0.008498716815298834,0.009827981256655526,0.01234501540142751,0.008299497119273946,11276.0,21900.0,0.1
10,우리은행,0.4551002895199375,0.20931662016403246,0.10139200006197853,0.060160239037867005,0.05383680502201332,0.058880128749682216,0.03765183344193099,0.023662084002558145,0.8093460488899493,0.028044889385109843,0.011513676714934279,0.004884177044059659,0.005215089797252255,0.005737143757101493,0.004897856360083854,10406.0,20400.0,0.09
11,신용보증기금,0.4484871016635459,0.18634927871156215,0.11611447180549186,0.07839011781639875,0.07748163091756322,0.012906223697589803,0.051044566827204936,0.029226608560643505,0.6654811384663107,0.0303338049690812,0.011980718084759775,0.0048672694749352175,0.005243116335083396,0.005864472085588759,0.0048391809790518945,9488.0,1100.0,0.25
12,한화생명보험,0.5748363172202126,0.16166689280772586,0.08403240266011897,0.052795062055754786,0.04680831505448327,0.024684960970319157,0.035547425715486226,0.019628623515899113,0.06326269414466791,0.022776952625736018,0.017488530242702985,0.03782127155051355,0.028159167028242716,0.011131277631046588,0.6705275619940816,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.6545450921496184,0.11226516578448853,0.06967389357718816,0.054086553487171826,0.04152548653815818,0.008495362776122619,0.043702524619750646,0.015705921067502036,0.8115494146341344,0.046254731139068056,0.017251726591829435,0.006518330277719435,0.007124555782028114,0.008134873345722335,0.006443324421369541,9961.0,2700.0,0.08
14,하나은행,0.021053883762832314,0.16268292131056922,0.32359492970311504,0.059932947331276784,0.08935209811204883,0.003990591700012696,0.017422816471282306,0.040377787119957285,0.2048123327559307,0.5908896120921882,0.10474162705679774,0.015367269155309284,0.02076343430355159,0.0365568996284091,0.014540806734287417,11856.0,29200.0,0.1
15,삼성화재해상보험,0.013230706133117583,0.32161391187162786,0.24779967310389628,0.05975482974036515,0.03844951508951322,0.004547498377668211,0.017178617868257823,0.019847661747822605,0.8472227452957056,0.04768540025207786,0.016485533451942612,0.00639103889062342,0.007063267434654288,0.008238993977540625,0.006395552629399723,13656.0,22600.0,0.08
