,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.0707639740767225,0.042633795465808894,0.1209823758483295,0.027088877321880957,0.02527782114161052,0.012179662358014293,0.602326509427869,0.017143131817090602,0.8337922696876677,0.09009735532523558,0.005856187845991412,0.012739504456176685,0.00630886793683689,6441.0,75400.0,0.2
1,근로복지공단,0.12389017482586383,0.06380092961234653,0.16941508131912547,0.06532753686783516,0.019384249273339763,0.011515854226919134,0.03214667752548676,0.026020961187483607,0.30338161260732965,0.465199754938264,0.012477948674765602,0.03322483983598616,0.014463465755774303,5817.0,9406.2,0.13
2,농협은행,8.14112769091592e-307,1.0,8.420209689498365e-308,5.002096451598857e-308,1.763456611441855e-308,1.587013494614265e-308,1.7849153012148846e-308,2.0897423073438214e-308,0.8174576139900614,0.13759607082489364,0.005658530936756678,0.012968508339444837,0.0063894224571233865,6182.0,13100.0,0.15
3,현대카드,0.4453633299363523,0.12990032317236827,0.19942072295047636,0.12066396119682136,0.022925269396551293,0.015558753730265702,0.027978470091643788,0.03818916952552091,3.886949416209865e-307,8.144666392086519e-307,1.35925138614308e-307,1.0,3.1187656795526696e-307,8737.0,2300.0,0.35
4,중소기업은행,0.11578035156704976,0.0652009426051314,0.293886383071816,0.038709064907655265,0.030939417022845615,0.01500952985727746,0.03655618021381527,0.04106315818171365,0.33058408747606,0.5022487021329878,0.012465926003886598,0.029141148370834466,0.015111638620269685,10065.0,14800.0,0.16
5,국민연금공단,0.5128257472445054,0.17472501747502653,0.029610531368047036,0.02413033011220787,0.005741323511371243,0.004898670185074149,0.006089988999300382,0.0071453827483938595,0.18310002709833373,0.5622331401720388,0.012742327316031808,0.03460691849706471,0.01615725182269635,6345.0,29900.0,0.1
6,현대캐피탈,0.3102634307612849,0.194708764657992,0.015927183756088682,0.01054649106783551,0.003149317190722654,0.002738961462097527,0.0032538632898472366,0.003893741871635333,7.956482888263072e-307,1.0,3.715359274532356e-308,1.0117808742635577e-307,4.358927475916364e-308,10926.0,3000.0,0.2
7,국민은행,0.6527606204524036,0.1040822198923522,0.032386346095895246,0.019149365863422682,0.005578422374681925,0.004599749565730626,0.00569441908928683,0.007720166325147566,0.2963479964748583,0.4211656344425604,0.011005657312706623,0.02882291708690795,0.012848210919115496,11355.0,21200.0,0.23
8,삼성생명보험,0.7420735133074601,0.17069379989940528,0.03510787104474314,0.024782182777858923,0.006519358468569118,0.00550379419433312,0.0066653311735743745,0.008654149134055962,4.636467716145551e-307,1.0,8.290964811615774e-308,1.9676930020584496e-307,1.4325451750682258e-307,11975.0,27100.0,0.07
9,신한은행,0.1760190210695641,0.638729398028423,0.016765430658984885,0.010559733381015316,0.0034725968138650904,0.0030939642235656662,0.003585953242893031,0.00410165570861171,0.2272059828270779,0.5900268700875728,0.012961164913849691,0.036002341067705036,0.015603401025037234,11276.0,21900.0,0.1
