,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
2377,대명레저산업,0.010117223558884347,0.7710962490758454,0.11236474585353498,0.004772696579842645,0.011257867821948986,0.04362787978955181,0.014887872401169573,0.017029694984156598,0.014845769935065815,0.3499093831109482,0.5007545437845199,0.02399362721563067,0.020929293897083076,0.012653291307577285,0.008120237516348267,0.009530990046467711,0.0083520397731865,3858.0,6.3,0.91
2378,쏘카,1.029265474612888e-308,1.0,9.791154994099958e-308,5.20121288709325e-309,1.1120064249737176e-308,3.680992660422099e-308,1.3358227406539486e-308,1.712702879516674e-308,1.4503698801328957e-308,0.6609832795102103,0.03129586395094184,0.011967785281861513,0.007003651811698934,0.006037412520681065,0.005133153098571838,0.005474968817575183,0.005202100326568424,5408.0,2849.5,0.23
2379,레드캡투어,1.4262190571719937e-308,1.0,1.5621821995166213e-307,6.45382981243809e-309,1.501431840249191e-308,5.416410669300418e-308,1.9116701679193203e-308,2.623124109546817e-308,2.234501345177315e-308,0.7683086870096449,0.036894192133381604,0.014120224491702929,0.008248114689232746,0.0071201738878496875,0.006064119105417196,0.006463876956278739,0.006144367613936681,4748.0,2228.4,0.22
2380,한솥,0.029217814501386368,0.028841816886876436,0.6619630312872302,0.005180212074070797,0.01868246019671562,0.03802228290533613,0.026065516084500053,0.023483734746557867,0.0933660838381383,0.20807412776310194,0.34009831548572145,0.09004183347481193,0.035246821782213285,0.03253404826661785,0.0161762561000453,0.020274873668871582,0.016115199180786723,3692.0,1122.1,0.95
2381,약손명가,0.007801442488005178,0.8444810114176224,0.07359971108702823,0.003982493481418954,0.008455110275549866,0.0278281461071855,0.010134130225235006,0.012819165910273302,0.010898789007681608,5.845976409961203e-307,3.478881163990195e-307,4.263955298342445e-307,1.0692579770100047e-307,1.0,1.3754183170885956e-307,2.53160825421559e-307,1.3881581622421192e-307,4487.0,63.7,0.45
2382,본아이에프,0.05448855994635731,0.04456631336352451,0.23841862747869808,0.010842939473407797,0.14336319527530184,0.06798244309775833,0.07023287569214788,0.02794002072875144,0.029990632888625343,0.6228326086038127,0.021080674871304578,0.007485160522977484,0.004529432486244342,0.0037629869773226944,0.003095615038595312,0.003342272603672489,0.003139833742149752,5478.0,2482.4,0.24
2383,내일투어,0.027544058467547143,0.3286092562024995,0.3461517315269437,0.011555538689747942,0.029080071649982178,0.11473144512942013,0.03812669180684951,0.05761571721603121,0.04658548931097879,0.7116014929443979,0.025361838917762895,0.009880742735432792,0.00575317352306677,0.005007365141733311,0.0043075711786879555,0.0045756866407724054,0.004366488007585403,3711.0,102.3,0.66
2384,엔에이치엔여행박사,0.04289703996043523,0.009929816218354447,0.03555592960604812,0.7864033195779938,0.007415432603988596,0.01115954871506724,0.006573496496141078,0.005448120881450028,0.005836808111114063,0.04868140424205629,0.019247781542441514,0.016699720966615924,0.006127859300724344,0.01194923258510477,0.045666982226200914,0.033472297012584785,0.7557148268815425,3877.0,238.2,0.33
2385,롯데관광개발,0.01690372837638974,0.023274877994725975,0.2313952432622315,0.0035774522727104715,0.012740172542944581,0.031091836611917896,0.018244048816660002,0.022512283412448344,0.5808933179637207,0.3293773805310491,0.014504578180329138,0.00547752872580482,0.0032579824785852205,0.002758421562580785,0.00231185849477041,0.0024793751517456714,0.0023434424333769383,4379.0,946.8,9.77
2386,해비치호텔앤드리조트,0.026145403604717014,0.3938471080818482,0.29286980441435906,0.01212360840666984,0.029645910149489314,0.12118500120834666,0.03796940108755623,0.047418003457890004,0.03879575958912368,0.8340931527690695,0.026332906104890842,0.00908048274699956,0.005579367897569528,0.0045672901174456,0.003706338595667616,0.004021445855196024,0.003762054648631812,3915.0,933.4,0.59
2387,코엑스,0.013203171835792624,0.03818272996102191,0.1615450298514345,0.004042922460777603,0.014329263861490192,0.061127310509245594,0.016892302565413648,0.5934365243996669,0.0311525070690856,0.93524412390478,0.028286410966085477,0.010576326406705644,0.006388198053240745,0.005415662276365309,0.004562647350427808,0.004887643691309562,0.004638987351085608,6032.0,517.2,0.17
2388,씨에스원파트너,0.007015461468872683,0.02744725434840415,0.09298516206005578,0.002311656432812154,0.010191539752782927,0.7990723211901816,0.015196146216024244,0.01407119071752729,0.011645278635791552,0.8260989131521976,0.041421058065061835,0.015617861241063513,0.00937496117791368,0.008010646613949788,0.0067596875146885525,0.00723422307257005,0.00687639108885714,4124.0,844.6,1.41
2389,케이티텔레캅,0.6380460132894649,0.031097110859657346,0.11543716001754623,0.0962112178466871,0.025603245934342947,0.03604668853735546,0.02145262068233956,0.01710020816925806,0.019005734663348418,1.0,1.2355654638048746e-307,4.416035902117133e-308,2.7989687100087107e-308,2.286255317292489e-308,1.863078789190933e-308,2.020850074822159e-308,1.900955732394402e-308,4246.0,5110.0,0.3
2390,핏펫,1.0,2.4102723928462644e-308,1.0334331554388886e-307,1.639463931503446e-308,3.012927682913369e-308,3.0697047950761285e-308,2.046321199049253e-308,1.4511674422272396e-308,1.6449545559564908e-308,0.22290839133847412,0.16468035909576156,0.05265676278537637,0.16537126798475166,0.03630074517569187,0.015674156026903707,0.02056578141492427,0.01641543717224746,5564.0,223.5,1.67
2391,서울랜드,0.012324436208292723,0.10269851845001841,0.2181065453291677,0.004573004056773223,0.01265498528981095,0.05153029970870159,0.018581386531411743,0.026954708565924364,0.023628764900747817,0.13407354595619053,0.08611182623709211,0.44001928682998526,0.02022589800091654,0.07459333193244505,0.024777440470040366,0.03184569922837726,0.022643916664838854,3806.0,313.9,0.54
2392,코레일관광개발,0.021581963519991237,0.42674693306113437,0.21737691600818357,0.010243721307434051,0.02280042012790327,0.0778741094914627,0.02797629978236027,0.03780186594609259,0.032393171606478775,8.609743387044603e-307,1.0,2.0319032063172408e-307,8.757063129901972e-308,7.528664918105182e-308,4.677408571150107e-308,5.478005216879276e-308,4.611370188707471e-308,3404.0,648.8,0.25
