,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.07288638687707373,0.035902198271513516,0.0866719866058406,0.03278166666833486,0.012592602298663564,0.4978828838123724,0.017638109503161668,0.013371613244465294,0.004068919430406435,1.0,8.090365659447016e-308,3.280890928252537e-308,3.4372048651409303e-308,1.483366269697954e-308,1.482438114995799e-308,6441.0,75400.0,0.2
1,근로복지공단,0.07699183546996809,0.04834456362763952,0.10867245386969424,0.01422804779513134,0.008410505689332983,0.023500103887484698,0.01852336944633046,0.019172368464648374,0.0044610656698707484,0.6508367697446371,0.11467759755670422,0.030641816710183473,0.03692910720070647,0.012417720880919275,0.01213480543242548,5817.0,9406.2,0.13
2,농협은행,0.7188900744029615,0.04888504217349589,0.014859909825854698,0.004309194398448693,0.0038159229471990976,0.004371613094221235,0.005155426408589175,0.00569618286468738,0.01405684541964331,0.8539711283375753,0.03111898338992998,0.010716274320210823,0.011559206025092698,0.004571147515343274,0.004558063823907948,6182.0,13100.0,0.15
3,현대카드,0.17027023536007416,0.5713371208730317,0.1211586662342444,0.017324074128063777,0.011667400402080263,0.020998159403446494,0.02979918103468104,0.04788797753402048,0.009557185030357664,5.845414364673061e-307,6.0582096287485275e-307,3.683585076138054e-307,1.0,9.51870375269202e-308,8.761604139148319e-308,8737.0,2300.0,0.35
4,중소기업은행,0.14929468699628393,0.08151603928097435,0.3403710132448023,0.04257733916178108,0.019851423329706228,0.049483165211286345,0.05530990288038565,0.04471941342632655,0.008253957659730487,0.7850117126312475,0.1115201734358957,0.029562680327237228,0.03156836989022953,0.011557770368984614,0.011592275704562486,10065.0,14800.0,0.16
5,국민연금공단,0.5618987815507717,0.10684762569664702,0.01993449243793729,0.005195225529198772,0.004380502294347554,0.00551810695036161,0.006616099747259207,0.007599538146514727,0.023351759179712828,0.22341297206673139,0.13213410313698518,0.01778950787031853,0.021358099439008522,0.0064985758078148865,0.0064380684257393525,6345.0,29900.0,0.1
6,현대캐피탈,0.35347096926865623,0.04978584347326145,0.010114309987281198,0.002756224984203259,0.002392075822173142,0.002856761276667395,0.0034744400250062636,0.003988566233200158,0.025610316467731823,1.0,3.1555778543123516e-307,7.815681478062198e-308,9.589821078949386e-308,3.1050088015702746e-308,3.039945232875175e-308,10926.0,3000.0,0.2
7,국민은행,0.20499770133765316,0.5884189186451501,0.022365019540070512,0.005714268870821514,0.004689195472523074,0.005846692987126508,0.008151611781278363,0.010482921812108812,0.013108024018739752,0.7775759951247858,0.12501673399560853,0.03256518430557648,0.03895467117444294,0.013060419450437321,0.01282699594914904,11355.0,21200.0,0.23
8,삼성생명보험,0.3567737475928739,0.42951059234349287,0.02287640349841686,0.0060390992382121965,0.005021013577035534,0.006190638238859779,0.008199719120574808,0.009613825628144236,0.018436328997921546,0.2141075271409992,0.5910424361504816,0.06535563289460584,0.06289989664398443,0.017566697723923757,0.017665004682741077,11975.0,27100.0,0.07
9,신한은행,0.6186765240812825,0.03865560329635783,0.011549896391643407,0.0032690877140398415,0.0028673385374523588,0.003383618895172686,0.003910816568590125,0.004369874610850984,0.014809046720219848,0.6329573820299168,0.1805473102533184,0.03894759395202902,0.04787812255489752,0.015002345431668448,0.014695334138442848,11276.0,21900.0,0.1
10,우리은행,0.13169343280345794,0.0722733473695312,0.33701126906553164,0.04069731231361643,0.01821716383545525,0.04658956390931326,0.051959035524020356,0.03906898885030055,0.007364750787755913,0.8104791763411265,0.029006809201245574,0.011496081265727029,0.011990729812581879,0.0051227552045544035,0.005136956852127573,10406.0,20400.0,0.09
11,신용보증기금,0.3500055431354492,0.41468815320308205,0.052541244549117336,0.011770199658681918,0.009267821257706648,0.013029379010928148,0.01643675542491163,0.020807829512758655,0.02008457297092206,0.6254627970035117,0.02814336030714643,0.010547637495987482,0.011186866691242914,0.004633471094835054,0.004610344493604701,9488.0,1100.0,0.25
12,한화생명보험,0.22011440072245197,0.3293512715166406,0.16172870500016528,0.023530272073436536,0.015562711117008955,0.028385727192567774,0.04150441822169439,0.07086723746173196,0.012242941682699548,3.940667086949275e-307,1.885134283147812e-307,3.7973834821345854e-307,1.4594146394871709e-307,3.671917699479292e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,9.475258231036653e-307,1.0,1.6998004025369048e-307,3.860958851591853e-308,2.993869733603792e-308,4.122741216577491e-308,5.867502438468613e-308,7.643227797012447e-308,5.310590640092813e-308,0.7268290661746855,0.047649038287484576,0.016081844972324545,0.01789353289848713,0.0068982225206358225,0.006815585781331385,9961.0,2700.0,0.08
14,하나은행,0.31648782898097066,0.056571166360703404,0.009623150581031135,0.002556944287635093,0.0021499139735739266,0.002668558454090356,0.003293557810076724,0.0038516169481191123,0.02140513280367084,7.133287010556153e-307,1.0,2.924827921953963e-307,4.802111519211624e-307,7.746589752703019e-308,7.417961803774525e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.7357321416678678,0.10755945615270882,0.021592082821239946,0.006075939836389641,0.005233017758685811,0.006132501009317331,0.0076971585566241105,0.008713413123677915,0.023106884412602027,0.5643337623974993,0.036688325816326195,0.012142150573551957,0.012928371938738173,0.005067163013195336,0.005075590374283354,13656.0,22600.0,0.08
