,0,1,2,3,4,5,6,7
4,"(0, '0.010*""프로젝트"" + 0.007*""인턴"" + 0.005*""대비"" + 0.005*""라벨"" + 0.005*""보상"" + 0.004*""업계"" + 0.004*""휴가"" + 0.004*""교육"" + 0.004*""하나"" + 0.004*""인력""')","(1, '0.010*""순환"" + 0.009*""위치"" + 0.008*""민원"" + 0.008*""공공기관"" + 0.007*""사업"" + 0.006*""지역"" + 0.006*""기관"" + 0.005*""본사"" + 0.005*""승률"" + 0.005*""행정""')","(2, '0.023*""계약"" + 0.014*""정규직"" + 0.009*""기관"" + 0.009*""공공기관"" + 0.007*""사업"" + 0.007*""행정"" + 0.006*""처리"" + 0.005*""부바"" + 0.004*""이전"" + 0.004*""위치""')","(3, '0.013*""연구원"" + 0.010*""박사"" + 0.008*""행정"" + 0.008*""계약"" + 0.006*""연구"" + 0.006*""정규직"" + 0.005*""경력"" + 0.005*""문제"" + 0.005*""과제"" + 0.005*""위치""')",,,,
6,"(0, '0.009*""프로젝트"" + 0.007*""인턴"" + 0.007*""계약"" + 0.005*""수직"" + 0.005*""정규직"" + 0.005*""대비"" + 0.005*""커리어"" + 0.005*""휴가"" + 0.005*""경력"" + 0.004*""같음""')","(1, '0.010*""민원"" + 0.008*""공공기관"" + 0.008*""위치"" + 0.007*""순환"" + 0.007*""기관"" + 0.007*""사업"" + 0.006*""수준"" + 0.005*""지역"" + 0.005*""승률"" + 0.005*""적음""')","(2, '0.013*""공공기관"" + 0.010*""기관"" + 0.009*""계약"" + 0.009*""사업"" + 0.007*""이전"" + 0.007*""지방"" + 0.007*""행정"" + 0.006*""처리"" + 0.006*""부바"" + 0.005*""정규직""')","(3, '0.007*""경력"" + 0.007*""신입"" + 0.005*""문제"" + 0.005*""수당"" + 0.005*""대리"" + 0.005*""계속"" + 0.005*""연구원"" + 0.004*""발전"" + 0.004*""하는데"" + 0.004*""능력""')","(4, '0.009*""프로젝트"" + 0.006*""하나"" + 0.006*""인력"" + 0.005*""업계"" + 0.005*""보상"" + 0.005*""영진"" + 0.005*""성과"" + 0.005*""교육"" + 0.004*""대비"" + 0.004*""특성""')","(5, '0.028*""계약"" + 0.018*""정규직"" + 0.013*""연구원"" + 0.012*""박사"" + 0.011*""행정"" + 0.009*""위치"" + 0.008*""연구"" + 0.005*""과제"" + 0.005*""기관"" + 0.005*""식당""')",,
8,"(0, '0.013*""프로젝트"" + 0.006*""인턴"" + 0.006*""대비"" + 0.006*""계약"" + 0.005*""교육"" + 0.005*""라벨"" + 0.005*""휴가"" + 0.005*""컨설팅"" + 0.005*""사업"" + 0.005*""수직""')","(1, '0.010*""민원"" + 0.008*""순환"" + 0.007*""위치"" + 0.007*""공공기관"" + 0.007*""사업"" + 0.006*""기관"" + 0.006*""지역"" + 0.005*""수준"" + 0.005*""승률"" + 0.005*""문제""')","(2, '0.013*""공공기관"" + 0.011*""기관"" + 0.011*""계약"" + 0.009*""사업"" + 0.008*""행정"" + 0.008*""이전"" + 0.007*""지방"" + 0.006*""부바"" + 0.006*""정규직"" + 0.006*""민원""')","(3, '0.006*""하나"" + 0.006*""경력"" + 0.006*""신입"" + 0.006*""문제"" + 0.005*""계속"" + 0.005*""수당"" + 0.005*""대리"" + 0.005*""하는데"" + 0.004*""사업"" + 0.004*""없어서""')","(4, '0.007*""하나"" + 0.006*""회의"" + 0.006*""업계"" + 0.005*""인력"" + 0.005*""프로젝트"" + 0.004*""자기"" + 0.004*""직급"" + 0.004*""정치"" + 0.004*""매출"" + 0.004*""임원""')","(5, '0.030*""계약"" + 0.020*""정규직"" + 0.014*""연구원"" + 0.013*""박사"" + 0.012*""행정"" + 0.009*""위치"" + 0.009*""연구"" + 0.006*""인턴"" + 0.006*""과제"" + 0.005*""식당""')","(6, '0.007*""라벨"" + 0.007*""프로젝트"" + 0.006*""신입"" + 0.006*""컨설팅"" + 0.006*""없어서"" + 0.006*""그냥"" + 0.005*""특성"" + 0.005*""자료"" + 0.005*""작성"" + 0.005*""인턴""')","(7, '0.011*""시즌"" + 0.009*""위치"" + 0.007*""다소"" + 0.006*""출퇴근"" + 0.005*""성과"" + 0.005*""부족"" + 0.005*""서울"" + 0.005*""있어"" + 0.005*""수행"" + 0.005*""인력""')"
