,0,1,2,3,4,5,6,7,8,9,10,11
4,"(0, '0.005*""진급"" + 0.005*""계약"" + 0.005*""파견"" + 0.004*""적음"" + 0.004*""관리"" + 0.004*""관리자"" + 0.004*""고객"" + 0.004*""인상"" + 0.004*""군대"" + 0.004*""영업""')","(1, '0.016*""매장"" + 0.008*""고객"" + 0.007*""스케줄"" + 0.006*""관리자"" + 0.005*""교육"" + 0.004*""본사"" + 0.004*""스트레스"" + 0.004*""현장"" + 0.004*""관리"" + 0.004*""시급""')","(2, '0.005*""영업"" + 0.005*""사업"" + 0.005*""계약"" + 0.005*""대표"" + 0.004*""인사"" + 0.004*""영진"" + 0.004*""조직"" + 0.004*""고객"" + 0.004*""능력"" + 0.004*""리더""')","(3, '0.006*""사업"" + 0.004*""출근"" + 0.004*""군대"" + 0.004*""교육"" + 0.004*""하는데"" + 0.003*""본사"" + 0.003*""위치"" + 0.003*""지점"" + 0.003*""장점"" + 0.003*""차이""')",,,,,,,,
8,"(0, '0.007*""파견"" + 0.006*""계약"" + 0.005*""관리자"" + 0.005*""군대"" + 0.004*""업체"" + 0.004*""관리"" + 0.004*""출근"" + 0.004*""최저"" + 0.004*""같은"" + 0.004*""진짜""')","(1, '0.015*""매장"" + 0.006*""스케줄"" + 0.006*""인턴"" + 0.005*""손님"" + 0.005*""알바"" + 0.005*""관리"" + 0.005*""관리자"" + 0.004*""시급"" + 0.004*""힘들다"" + 0.004*""매니저""')","(2, '0.006*""영진"" + 0.005*""리더"" + 0.005*""사업"" + 0.005*""인사"" + 0.005*""대표"" + 0.004*""조직"" + 0.004*""소통"" + 0.004*""능력"" + 0.004*""경영"" + 0.004*""성장""')","(3, '0.005*""지역"" + 0.004*""위치"" + 0.004*""있어서"" + 0.004*""인사"" + 0.004*""시험"" + 0.004*""무량"" + 0.004*""작업"" + 0.004*""출근"" + 0.004*""기숙사"" + 0.004*""하는데""')","(4, '0.013*""매장"" + 0.008*""지점"" + 0.007*""본사"" + 0.006*""출근"" + 0.006*""고객"" + 0.005*""현장"" + 0.004*""관리"" + 0.004*""스트레스"" + 0.004*""교육"" + 0.004*""진짜""')","(5, '0.027*""매장"" + 0.017*""스케줄"" + 0.011*""이벤트"" + 0.008*""진급"" + 0.007*""노동"" + 0.007*""현장"" + 0.006*""프로모션"" + 0.005*""바이"" + 0.005*""공부"" + 0.005*""고객""')","(6, '0.014*""고객"" + 0.008*""영업"" + 0.007*""스트레스"" + 0.007*""교육"" + 0.006*""관리자"" + 0.006*""실적"" + 0.005*""압박"" + 0.005*""상담"" + 0.004*""정말"" + 0.004*""센터""')","(7, '0.007*""진급"" + 0.007*""계약"" + 0.006*""사업"" + 0.005*""영업"" + 0.005*""현장"" + 0.004*""본사"" + 0.004*""인상"" + 0.004*""평가"" + 0.004*""대기업"" + 0.004*""낮음""')",,,,
12,"(0, '0.007*""계약"" + 0.006*""파견"" + 0.005*""관리"" + 0.005*""출근"" + 0.004*""같은"" + 0.004*""무량"" + 0.004*""상사"" + 0.004*""하는데"" + 0.004*""진짜"" + 0.004*""본사""')","(1, '0.010*""인턴"" + 0.009*""매장"" + 0.006*""관리자"" + 0.005*""관리"" + 0.005*""무량"" + 0.005*""알바"" + 0.004*""힘들다"" + 0.004*""손님"" + 0.004*""시급"" + 0.004*""교육""')","(2, '0.007*""대표"" + 0.007*""리더"" + 0.007*""영진"" + 0.005*""사업"" + 0.005*""인사"" + 0.004*""능력"" + 0.004*""소통"" + 0.004*""경영"" + 0.004*""진행"" + 0.004*""조직""')","(3, '0.006*""시험"" + 0.005*""기숙사"" + 0.004*""진행"" + 0.004*""지역"" + 0.004*""보면"" + 0.004*""인사"" + 0.004*""있어서"" + 0.004*""출근"" + 0.004*""상사"" + 0.004*""발전""')","(4, '0.026*""매장"" + 0.008*""스케줄"" + 0.007*""지점"" + 0.007*""고객"" + 0.006*""본사"" + 0.006*""현장"" + 0.005*""출근"" + 0.005*""이벤트"" + 0.005*""근무시간"" + 0.004*""바이""')","(5, '0.013*""스케줄"" + 0.006*""매장"" + 0.005*""교육"" + 0.005*""또한"" + 0.005*""현장"" + 0.005*""진급"" + 0.005*""주말"" + 0.004*""안됨"" + 0.004*""자주"" + 0.004*""직급""')","(6, '0.015*""고객"" + 0.008*""영업"" + 0.007*""교육"" + 0.007*""관리자"" + 0.007*""스트레스"" + 0.007*""실적"" + 0.005*""압박"" + 0.005*""상담"" + 0.004*""센터"" + 0.004*""적음""')","(7, '0.007*""계약"" + 0.006*""진급"" + 0.006*""영업"" + 0.005*""현장"" + 0.004*""같은"" + 0.004*""정치"" + 0.004*""인사"" + 0.004*""장점"" + 0.004*""임금"" + 0.004*""평가""')","(8, '0.010*""관리자"" + 0.007*""고객"" + 0.007*""업체"" + 0.006*""파견"" + 0.005*""인상"" + 0.005*""사업"" + 0.005*""군대"" + 0.005*""교대"" + 0.005*""평가"" + 0.004*""아웃소싱""')","(9, '0.011*""사업"" + 0.008*""진급"" + 0.006*""대기업"" + 0.006*""위치"" + 0.005*""조직"" + 0.005*""보수"" + 0.005*""작업"" + 0.005*""현장"" + 0.004*""수직"" + 0.004*""이직""')","(10, '0.010*""매장"" + 0.006*""매출"" + 0.005*""대표"" + 0.005*""있고"" + 0.005*""상황"" + 0.005*""파견"" + 0.005*""압박"" + 0.005*""회의"" + 0.005*""진짜"" + 0.004*""출근""')","(11, '0.014*""군대"" + 0.009*""야간"" + 0.009*""사업"" + 0.008*""휴무"" + 0.008*""교대"" + 0.006*""휴가"" + 0.006*""교대근무"" + 0.006*""근무시간"" + 0.005*""사장"" + 0.005*""대체""')"
