,0,1,2,3,4,5,6,7,8
4,"(0, '0.008*""생산"" + 0.005*""공장"" + 0.004*""매출"" + 0.004*""주말"" + 0.004*""차이"" + 0.004*""업계"" + 0.003*""라벨"" + 0.003*""점점"" + 0.003*""높은"" + 0.003*""교육""')","(1, '0.006*""생산"" + 0.005*""회의"" + 0.004*""대표"" + 0.004*""중간"" + 0.004*""매출"" + 0.003*""강요"" + 0.003*""코로나"" + 0.003*""미래"" + 0.003*""높은"" + 0.003*""인해""')","(2, '0.011*""병원"" + 0.008*""계약"" + 0.007*""정규직"" + 0.005*""환자"" + 0.004*""의사"" + 0.004*""신규"" + 0.004*""간호사"" + 0.004*""시설"" + 0.004*""식당"" + 0.003*""승률""')","(3, '0.007*""휴가"" + 0.005*""회의"" + 0.004*""대표"" + 0.004*""경영"" + 0.003*""회장"" + 0.003*""매출"" + 0.003*""개발"" + 0.003*""생산"" + 0.003*""실무"" + 0.003*""제품""')",,,,,
7,"(0, '0.007*""생산"" + 0.005*""업계"" + 0.005*""공장"" + 0.004*""매출"" + 0.004*""부바"" + 0.004*""승률"" + 0.004*""점점"" + 0.004*""성과급"" + 0.004*""라벨"" + 0.004*""차이""')","(1, '0.006*""생산"" + 0.005*""대표"" + 0.005*""회의"" + 0.004*""매출"" + 0.004*""코로나"" + 0.004*""중간"" + 0.004*""미래"" + 0.003*""인해"" + 0.003*""보면"" + 0.003*""높은""')","(2, '0.007*""계약"" + 0.007*""정규직"" + 0.006*""서류"" + 0.004*""실적"" + 0.004*""식당"" + 0.004*""아닌"" + 0.004*""제품"" + 0.004*""야함"" + 0.003*""매출"" + 0.003*""병원""')","(3, '0.008*""휴가"" + 0.005*""회의"" + 0.005*""대표"" + 0.004*""회장"" + 0.004*""경영"" + 0.003*""생산"" + 0.003*""개발"" + 0.003*""제품"" + 0.003*""매출"" + 0.003*""공장""')","(4, '0.008*""생산"" + 0.004*""위치"" + 0.004*""회의"" + 0.004*""공장"" + 0.003*""변화"" + 0.003*""교육"" + 0.003*""군대"" + 0.003*""안되는"" + 0.003*""경영"" + 0.003*""강요""')","(5, '0.014*""병원"" + 0.006*""계약"" + 0.006*""정규직"" + 0.006*""환자"" + 0.006*""의사"" + 0.005*""신규"" + 0.005*""승률"" + 0.005*""간호사"" + 0.004*""임금"" + 0.004*""공공기관""')","(6, '0.007*""생산"" + 0.005*""서류"" + 0.004*""강요"" + 0.004*""주말"" + 0.004*""하게"" + 0.003*""예산"" + 0.003*""회의"" + 0.003*""문서"" + 0.003*""되지"" + 0.003*""라벨""')",,
9,"(0, '0.008*""생산"" + 0.005*""업계"" + 0.005*""공장"" + 0.005*""매출"" + 0.004*""임금"" + 0.004*""높은"" + 0.004*""성과급"" + 0.004*""가족"" + 0.004*""점점"" + 0.004*""미래""')","(1, '0.006*""생산"" + 0.005*""대표"" + 0.004*""중간"" + 0.004*""매출"" + 0.004*""회의"" + 0.003*""코로나"" + 0.003*""인해"" + 0.003*""보면"" + 0.003*""미래"" + 0.003*""부바""')","(2, '0.016*""계약"" + 0.011*""정규직"" + 0.005*""아닌"" + 0.005*""병원"" + 0.005*""식당"" + 0.004*""간호사"" + 0.004*""신규"" + 0.004*""야함"" + 0.003*""젊은"" + 0.003*""주말""')","(3, '0.009*""휴가"" + 0.005*""회의"" + 0.005*""회장"" + 0.005*""대표"" + 0.004*""경영"" + 0.003*""여름"" + 0.003*""매출"" + 0.003*""개발"" + 0.003*""합니다"" + 0.003*""실무""')","(4, '0.008*""생산"" + 0.006*""회의"" + 0.004*""변화"" + 0.004*""제품"" + 0.004*""경영"" + 0.003*""절차"" + 0.003*""상황"" + 0.003*""특정"" + 0.003*""실무"" + 0.003*""매출""')","(5, '0.016*""병원"" + 0.007*""환자"" + 0.006*""의사"" + 0.006*""정규직"" + 0.006*""계약"" + 0.005*""신규"" + 0.005*""승률"" + 0.005*""임금"" + 0.005*""공공기관"" + 0.005*""시설""')","(6, '0.007*""생산"" + 0.006*""예산"" + 0.005*""압박"" + 0.004*""점점"" + 0.004*""서류"" + 0.004*""회의"" + 0.004*""문서"" + 0.003*""자주"" + 0.003*""되지"" + 0.003*""하게""')","(7, '0.006*""서류"" + 0.004*""라벨"" + 0.004*""강요"" + 0.003*""공장"" + 0.003*""차이"" + 0.003*""위치"" + 0.003*""소통"" + 0.003*""생산"" + 0.003*""않은"" + 0.003*""상사""')","(8, '0.009*""교육"" + 0.006*""강요"" + 0.006*""실험"" + 0.005*""회식"" + 0.004*""휴가"" + 0.004*""편이"" + 0.004*""시작"" + 0.004*""사무실"" + 0.004*""합니다"" + 0.004*""사장""')"
