,0,1,2,3,4,5,6,7,8,9,10
7,"(0, '0.009*""진행"" + 0.008*""순환"" + 0.007*""사무실"" + 0.006*""대부분"" + 0.005*""프로젝트"" + 0.005*""합니다"" + 0.005*""대표"" + 0.005*""전혀"" + 0.004*""회의"" + 0.004*""그때""')","(1, '0.012*""민원"" + 0.012*""건설"" + 0.007*""인사"" + 0.006*""소장"" + 0.006*""승진"" + 0.006*""정규직"" + 0.006*""사업"" + 0.005*""건설업"" + 0.004*""진급"" + 0.004*""관리""')","(2, '0.014*""해외"" + 0.010*""관리"" + 0.008*""그룹"" + 0.007*""책임"" + 0.007*""미래"" + 0.007*""건설"" + 0.007*""처우"" + 0.006*""인상"" + 0.005*""대기업"" + 0.005*""제대로""')","(3, '0.024*""사업"" + 0.020*""오지"" + 0.012*""진급"" + 0.008*""서류"" + 0.008*""위치"" + 0.007*""공기업"" + 0.007*""발전"" + 0.007*""지역"" + 0.007*""군대"" + 0.006*""발령""')","(4, '0.008*""부장"" + 0.006*""피라미드"" + 0.006*""개선"" + 0.006*""결재"" + 0.006*""수당"" + 0.006*""중간"" + 0.005*""종업"" + 0.005*""계속"" + 0.005*""보임"" + 0.005*""프로젝트""')","(5, '0.010*""군대"" + 0.009*""근무시간"" + 0.009*""진급"" + 0.008*""건설"" + 0.006*""최악"" + 0.006*""옛날"" + 0.005*""정규직"" + 0.005*""프로젝트"" + 0.005*""사용"" + 0.005*""많아서""')","(6, '0.010*""회장"" + 0.008*""사원"" + 0.007*""수당"" + 0.007*""대표"" + 0.006*""건설"" + 0.006*""서류"" + 0.006*""중간"" + 0.006*""결재"" + 0.005*""입사"" + 0.005*""모든""')",,,,
9,"(0, '0.020*""민원"" + 0.015*""순환"" + 0.009*""진행"" + 0.009*""인사"" + 0.006*""고객"" + 0.006*""스트레스"" + 0.006*""대부분"" + 0.005*""전혀"" + 0.005*""공기업"" + 0.005*""자기""')","(1, '0.012*""건설"" + 0.011*""민원"" + 0.008*""소장"" + 0.008*""승진"" + 0.007*""인사"" + 0.006*""진급"" + 0.006*""입사"" + 0.005*""관리"" + 0.005*""부장"" + 0.004*""절대""')","(2, '0.015*""관리"" + 0.009*""제대로"" + 0.008*""아파트"" + 0.007*""없어"" + 0.007*""회의"" + 0.007*""인사"" + 0.006*""규모"" + 0.006*""하루"" + 0.006*""안주"" + 0.006*""고생""')","(3, '0.026*""사업"" + 0.022*""오지"" + 0.013*""진급"" + 0.011*""공기업"" + 0.010*""순환"" + 0.009*""위치"" + 0.009*""서류"" + 0.008*""지역"" + 0.008*""발령"" + 0.008*""군대""')","(4, '0.008*""부장"" + 0.007*""피라미드"" + 0.007*""개선"" + 0.006*""중간"" + 0.006*""결재"" + 0.006*""수당"" + 0.006*""위치"" + 0.006*""종업"" + 0.006*""보임"" + 0.006*""순위""')","(5, '0.012*""군대"" + 0.010*""옛날"" + 0.007*""건설"" + 0.007*""사내"" + 0.007*""합니다"" + 0.007*""최악"" + 0.006*""정말"" + 0.006*""진급"" + 0.006*""입니다"" + 0.005*""전부""')","(6, '0.009*""회장"" + 0.008*""사원"" + 0.008*""민원"" + 0.008*""수당"" + 0.007*""대표"" + 0.007*""결재"" + 0.006*""서류"" + 0.006*""되어"" + 0.006*""무량"" + 0.006*""포함""')","(7, '0.009*""건설"" + 0.006*""정규직"" + 0.005*""사업"" + 0.005*""건설업"" + 0.005*""심함"" + 0.005*""이직"" + 0.004*""프로젝트"" + 0.004*""공사"" + 0.004*""임금"" + 0.004*""낮음""')","(8, '0.010*""부바"" + 0.009*""강도"" + 0.009*""종업"" + 0.008*""사업"" + 0.007*""중간"" + 0.007*""있지만"" + 0.006*""아침"" + 0.006*""부분"" + 0.006*""관리"" + 0.006*""상사""')",,
11,"(0, '0.020*""순환"" + 0.012*""진행"" + 0.009*""사무실"" + 0.008*""대부분"" + 0.007*""전혀"" + 0.006*""자기"" + 0.006*""합니다"" + 0.006*""본부"" + 0.006*""대표"" + 0.006*""토목""')","(1, '0.013*""건설"" + 0.008*""소장"" + 0.008*""승진"" + 0.006*""민원"" + 0.006*""진급"" + 0.005*""서류"" + 0.005*""건설업"" + 0.005*""강도"" + 0.005*""입사"" + 0.005*""인사""')","(2, '0.016*""관리"" + 0.009*""제대로"" + 0.009*""아파트"" + 0.007*""없어"" + 0.007*""회의"" + 0.007*""규모"" + 0.007*""인사"" + 0.007*""하루"" + 0.007*""고생"" + 0.007*""안주""')","(3, '0.030*""사업"" + 0.027*""오지"" + 0.014*""진급"" + 0.010*""서류"" + 0.010*""공기업"" + 0.009*""지역"" + 0.009*""위치"" + 0.009*""발령"" + 0.008*""발전"" + 0.008*""이동""')","(4, '0.010*""결재"" + 0.009*""부장"" + 0.009*""피라미드"" + 0.008*""수당"" + 0.007*""프로젝트"" + 0.006*""사용"" + 0.006*""젊은"" + 0.006*""승진"" + 0.005*""이직"" + 0.005*""윗사람""')","(5, '0.011*""건설"" + 0.009*""행사"" + 0.008*""합니다"" + 0.008*""정규직"" + 0.007*""옛날"" + 0.007*""공사"" + 0.007*""안전"" + 0.007*""추천"" + 0.007*""전부"" + 0.007*""갑질""')","(6, '0.022*""회장"" + 0.008*""사원"" + 0.008*""대표"" + 0.006*""모든"" + 0.006*""입니다"" + 0.006*""강요"" + 0.005*""가족"" + 0.005*""매일"" + 0.005*""지급"" + 0.005*""이상""')","(7, '0.012*""건설"" + 0.007*""정규직"" + 0.007*""사업"" + 0.006*""프로젝트"" + 0.005*""이직"" + 0.005*""낮음"" + 0.005*""심함"" + 0.005*""공사"" + 0.005*""부장"" + 0.005*""피라미드""')","(8, '0.014*""부바"" + 0.011*""종업"" + 0.009*""있지만"" + 0.009*""중간"" + 0.007*""개선"" + 0.007*""강도"" + 0.007*""순환"" + 0.007*""상사"" + 0.006*""실무"" + 0.006*""라벨""')","(9, '0.007*""사원"" + 0.007*""중간"" + 0.006*""위치"" + 0.005*""포함"" + 0.005*""수당"" + 0.005*""군대"" + 0.005*""숙소"" + 0.005*""개선"" + 0.005*""식대"" + 0.004*""자리""')","(10, '0.031*""민원"" + 0.010*""순환"" + 0.010*""인사"" + 0.008*""공기업"" + 0.007*""스트레스"" + 0.007*""발령"" + 0.006*""무량"" + 0.005*""사업"" + 0.005*""계속"" + 0.005*""인턴""')"
