,0,1,2,3,4,5,6,7,8,9,10,11
4,"(0, '0.005*""월급"" + 0.004*""정치"" + 0.004*""영진"" + 0.004*""리더"" + 0.004*""실무"" + 0.003*""입니다"" + 0.003*""수당"" + 0.003*""개인"" + 0.003*""제대로"" + 0.003*""많아서""')","(1, '0.008*""대표"" + 0.006*""조직"" + 0.005*""리더"" + 0.005*""영진"" + 0.004*""회의"" + 0.004*""정치"" + 0.004*""인사"" + 0.004*""자기"" + 0.003*""평가"" + 0.003*""제대로""')","(2, '0.005*""고객"" + 0.005*""인상"" + 0.004*""월급"" + 0.004*""낮음"" + 0.004*""파견"" + 0.004*""수당"" + 0.004*""중간"" + 0.004*""본사"" + 0.004*""사용"" + 0.004*""출근""')","(3, '0.006*""평가"" + 0.006*""개발자"" + 0.005*""인상"" + 0.005*""인사"" + 0.004*""임원"" + 0.004*""대표"" + 0.004*""조직"" + 0.004*""고객"" + 0.004*""성과"" + 0.004*""심함""')",,,,,,,,
10,"(0, '0.010*""월급"" + 0.007*""수당"" + 0.005*""출근"" + 0.004*""인원"" + 0.004*""개인"" + 0.003*""해도"" + 0.003*""중간"" + 0.003*""많아서"" + 0.003*""관리"" + 0.003*""보면""')","(1, '0.005*""영진"" + 0.005*""조직"" + 0.005*""정치"" + 0.004*""회의"" + 0.004*""대표"" + 0.004*""관리"" + 0.004*""않는"" + 0.004*""리더"" + 0.004*""자기"" + 0.004*""포괄""')","(2, '0.013*""건물"" + 0.007*""출근"" + 0.007*""사용"" + 0.006*""식당"" + 0.006*""편이"" + 0.005*""월급"" + 0.005*""엘리베이터"" + 0.005*""화장실"" + 0.004*""사원"" + 0.004*""위치""')","(3, '0.007*""개발자"" + 0.006*""평가"" + 0.005*""고객"" + 0.005*""인상"" + 0.005*""임원"" + 0.004*""인사"" + 0.004*""직급"" + 0.004*""교육"" + 0.004*""중간"" + 0.004*""작업""')","(4, '0.008*""계약"" + 0.006*""리더"" + 0.006*""대표"" + 0.004*""월급"" + 0.004*""정규직"" + 0.004*""개인"" + 0.004*""정치"" + 0.004*""모든"" + 0.003*""평가"" + 0.003*""소통""')","(5, '0.020*""대표"" + 0.009*""이동"" + 0.009*""무량"" + 0.008*""회의"" + 0.007*""영진"" + 0.006*""인사"" + 0.006*""모든"" + 0.005*""실무"" + 0.005*""일정"" + 0.004*""리더""')","(6, '0.005*""인상"" + 0.004*""않는"" + 0.004*""제대로"" + 0.004*""중간"" + 0.004*""개발자"" + 0.004*""본사"" + 0.004*""커리어"" + 0.004*""파견"" + 0.004*""이직"" + 0.003*""낮음""')","(7, '0.008*""대표"" + 0.006*""리더"" + 0.005*""평가"" + 0.005*""제대로"" + 0.004*""인사"" + 0.004*""자기"" + 0.004*""조직"" + 0.004*""입니다"" + 0.004*""관리"" + 0.004*""실무""')","(8, '0.006*""대비"" + 0.006*""조직"" + 0.005*""인상"" + 0.005*""대기업"" + 0.004*""업계"" + 0.004*""보수"" + 0.004*""낮음"" + 0.004*""기술"" + 0.004*""고객"" + 0.004*""평가""')","(9, '0.008*""리더"" + 0.008*""조직"" + 0.007*""영진"" + 0.006*""정치"" + 0.006*""변화"" + 0.005*""경영"" + 0.005*""평가"" + 0.005*""자주"" + 0.005*""심함"" + 0.005*""성과""')",,
12,"(0, '0.006*""월급"" + 0.005*""영진"" + 0.004*""정치"" + 0.004*""수당"" + 0.004*""개인"" + 0.004*""매출"" + 0.004*""입니다"" + 0.004*""관리"" + 0.004*""합니다"" + 0.003*""많아서""')","(1, '0.006*""조직"" + 0.005*""영진"" + 0.005*""정치"" + 0.004*""포괄"" + 0.004*""대표"" + 0.004*""않는"" + 0.004*""리더"" + 0.004*""점점"" + 0.004*""관리"" + 0.004*""같음""')","(2, '0.015*""건물"" + 0.008*""편이"" + 0.008*""사용"" + 0.007*""출근"" + 0.007*""식당"" + 0.005*""출퇴근"" + 0.005*""엘리베이터"" + 0.005*""사무실"" + 0.005*""식사"" + 0.005*""회식""')","(3, '0.007*""개발자"" + 0.006*""평가"" + 0.005*""인상"" + 0.005*""임원"" + 0.005*""인사"" + 0.004*""작업"" + 0.004*""직급"" + 0.004*""대표"" + 0.004*""제도"" + 0.004*""이직""')","(4, '0.006*""리더"" + 0.005*""대표"" + 0.005*""매출"" + 0.004*""인원"" + 0.004*""회의"" + 0.004*""실무"" + 0.004*""전혀"" + 0.004*""임원"" + 0.004*""모든"" + 0.004*""조직""')","(5, '0.021*""대표"" + 0.011*""이동"" + 0.010*""무량"" + 0.009*""회의"" + 0.006*""영진"" + 0.006*""모든"" + 0.006*""인사"" + 0.006*""일정"" + 0.005*""잦은"" + 0.005*""실무""')","(6, '0.005*""커리어"" + 0.005*""않는"" + 0.005*""인상"" + 0.004*""조직"" + 0.004*""본사"" + 0.004*""출장"" + 0.004*""제대로"" + 0.004*""이직"" + 0.004*""상황"" + 0.004*""개발자""')","(7, '0.009*""대표"" + 0.006*""리더"" + 0.005*""제대로"" + 0.005*""평가"" + 0.004*""인사"" + 0.004*""자기"" + 0.004*""입니다"" + 0.004*""조직"" + 0.004*""관리"" + 0.004*""실무""')","(8, '0.007*""조직"" + 0.006*""대비"" + 0.005*""대기업"" + 0.004*""인상"" + 0.004*""보수"" + 0.004*""평가"" + 0.004*""업계"" + 0.004*""수직"" + 0.004*""고객"" + 0.004*""기술""')","(9, '0.009*""리더"" + 0.008*""영진"" + 0.007*""조직"" + 0.007*""경영"" + 0.006*""정치"" + 0.006*""변화"" + 0.005*""자주"" + 0.005*""보상"" + 0.005*""심함"" + 0.005*""성과""')","(10, '0.006*""월급"" + 0.006*""고객"" + 0.005*""수당"" + 0.005*""사원"" + 0.005*""출근"" + 0.004*""중간"" + 0.004*""퇴근"" + 0.004*""개발자"" + 0.004*""적음"" + 0.004*""인상""')","(11, '0.005*""영진"" + 0.005*""회의"" + 0.005*""자주"" + 0.005*""실무"" + 0.004*""식대"" + 0.004*""퇴근"" + 0.004*""않고"" + 0.004*""하게"" + 0.004*""경영"" + 0.004*""지원""')"
