,0,1,2,3,4,5,6,7,8,9,10,11
5,"(0, '0.014*""구내식당"" + 0.012*""점심"" + 0.012*""칼퇴"" + 0.011*""교육"" + 0.010*""월급"" + 0.009*""라벨"" + 0.008*""부서"" + 0.007*""보장"" + 0.007*""휴가"" + 0.006*""건물""')","(1, '0.010*""간식"" + 0.009*""재택근무"" + 0.008*""사무실"" + 0.007*""업계"" + 0.007*""프로젝트"" + 0.007*""동료"" + 0.006*""연봉"" + 0.006*""점심"" + 0.006*""기회"" + 0.006*""자율""')","(2, '0.019*""사내"" + 0.017*""카페"" + 0.012*""자율"" + 0.012*""재택근무"" + 0.011*""팀바팀"" + 0.010*""재택"" + 0.009*""식대"" + 0.009*""점심"" + 0.009*""업계"" + 0.008*""포인트""')","(3, '0.019*""카페"" + 0.012*""사내"" + 0.011*""휴가"" + 0.010*""금요일"" + 0.009*""할인"" + 0.008*""대기업"" + 0.007*""영화"" + 0.007*""본인"" + 0.007*""라벨"" + 0.007*""젊은""')","(4, '0.015*""데이"" + 0.012*""점심"" + 0.009*""구내식당"" + 0.009*""칼퇴"" + 0.009*""식대"" + 0.008*""패밀리"" + 0.008*""출근"" + 0.008*""월급"" + 0.008*""젊은"" + 0.008*""점심시간""')",,,,,,,
7,"(0, '0.012*""월급"" + 0.008*""교육"" + 0.007*""재택근무"" + 0.006*""동료"" + 0.006*""화장실"" + 0.006*""업계"" + 0.006*""능력"" + 0.006*""안정"" + 0.005*""휴가"" + 0.005*""체계""')","(1, '0.010*""간식"" + 0.009*""재택근무"" + 0.008*""사무실"" + 0.007*""프로젝트"" + 0.007*""업계"" + 0.006*""동료"" + 0.006*""자율"" + 0.006*""연봉"" + 0.006*""점심"" + 0.006*""배울""')","(2, '0.020*""사내"" + 0.017*""카페"" + 0.012*""자율"" + 0.012*""팀바팀"" + 0.011*""재택근무"" + 0.010*""재택"" + 0.010*""식대"" + 0.009*""점심"" + 0.009*""업계"" + 0.008*""포인트""')","(3, '0.026*""카페"" + 0.016*""사내"" + 0.012*""휴가"" + 0.011*""금요일"" + 0.008*""본인"" + 0.007*""있어"" + 0.007*""라벨"" + 0.006*""많은"" + 0.006*""연봉"" + 0.006*""이용""')","(4, '0.018*""데이"" + 0.011*""출근"" + 0.011*""패밀리"" + 0.010*""젊은"" + 0.009*""점심시간"" + 0.008*""팀바팀"" + 0.008*""신입"" + 0.007*""복장"" + 0.007*""않고"" + 0.006*""칼퇴""')","(5, '0.014*""영화"" + 0.014*""교육"" + 0.010*""할인"" + 0.010*""라벨"" + 0.009*""있습니다"" + 0.009*""수당"" + 0.009*""수요일"" + 0.008*""젊은"" + 0.008*""체계"" + 0.007*""데이""')","(6, '0.027*""구내식당"" + 0.024*""점심"" + 0.017*""칼퇴"" + 0.013*""부서"" + 0.011*""식대"" + 0.010*""보장"" + 0.009*""라벨"" + 0.008*""건물"" + 0.007*""부바"" + 0.007*""휴가""')",,,,,
12,"(0, '0.023*""재택근무"" + 0.018*""재택"" + 0.014*""업계"" + 0.013*""교육"" + 0.011*""금요일"" + 0.011*""동료"" + 0.008*""체계"" + 0.008*""제도"" + 0.007*""일찍"" + 0.007*""홍보""')","(1, '0.010*""사무실"" + 0.009*""간식"" + 0.009*""점심"" + 0.008*""건물"" + 0.008*""연봉"" + 0.006*""체계"" + 0.006*""높은"" + 0.006*""영업"" + 0.006*""사옥"" + 0.006*""배울""')","(2, '0.021*""사내"" + 0.017*""카페"" + 0.015*""자율"" + 0.015*""식대"" + 0.012*""점심"" + 0.010*""팀바팀"" + 0.010*""재택근무"" + 0.009*""업계"" + 0.008*""출근"" + 0.008*""포인트""')","(3, '0.042*""카페"" + 0.025*""사내"" + 0.015*""금요일"" + 0.009*""본인"" + 0.009*""이용"" + 0.009*""있어"" + 0.008*""무료"" + 0.008*""젊은"" + 0.008*""라벨"" + 0.006*""성장""')","(4, '0.028*""데이"" + 0.018*""패밀리"" + 0.011*""출근"" + 0.011*""팀바팀"" + 0.008*""신입"" + 0.008*""젊은"" + 0.007*""점심시간"" + 0.007*""않고"" + 0.007*""월급"" + 0.007*""한번""')","(5, '0.031*""영화"" + 0.016*""수당"" + 0.015*""젊은"" + 0.014*""체계"" + 0.014*""교육"" + 0.012*""있습니다"" + 0.009*""급여"" + 0.009*""좋고"" + 0.009*""무료"" + 0.009*""높은""')","(6, '0.036*""점심"" + 0.034*""구내식당"" + 0.023*""칼퇴"" + 0.015*""식대"" + 0.013*""라벨"" + 0.012*""부서"" + 0.010*""건물"" + 0.010*""월급"" + 0.009*""저녁"" + 0.008*""부바""')","(7, '0.021*""수요일"" + 0.017*""교육"" + 0.016*""데이"" + 0.012*""휴가"" + 0.011*""할인"" + 0.011*""금요일"" + 0.011*""팀바팀"" + 0.010*""라벨"" + 0.009*""구내식당"" + 0.009*""사옥""')","(8, '0.011*""괜찮은"" + 0.009*""급여"" + 0.009*""또한"" + 0.009*""않고"" + 0.009*""상사"" + 0.008*""부서"" + 0.008*""칼퇴"" + 0.007*""따라"" + 0.007*""있으며"" + 0.007*""사내""')","(9, '0.012*""휴가"" + 0.009*""부서"" + 0.009*""재택근무"" + 0.008*""사내"" + 0.008*""구내식당"" + 0.007*""재택"" + 0.006*""좋고"" + 0.006*""안정"" + 0.006*""업계"" + 0.006*""식당""')","(10, '0.008*""재택근무"" + 0.008*""간식"" + 0.008*""프로젝트"" + 0.007*""동료"" + 0.007*""월급"" + 0.007*""점심시간"" + 0.006*""젊은"" + 0.006*""주변"" + 0.006*""복장"" + 0.006*""연봉""')","(11, '0.018*""클라이언트"" + 0.014*""팀바팀"" + 0.013*""광고주"" + 0.012*""점심"" + 0.011*""글로벌"" + 0.011*""카페"" + 0.011*""사옥"" + 0.010*""대기업"" + 0.010*""할인"" + 0.009*""사내""')"
