,0,1,2,3,4,5,6,7,8,9
5,"(0, '0.016*""계약"" + 0.008*""정규직"" + 0.006*""월급"" + 0.005*""승진"" + 0.005*""프리랜서"" + 0.005*""발전"" + 0.005*""시스템"" + 0.004*""실무"" + 0.004*""정말"" + 0.004*""낮은""')","(1, '0.008*""팀바팀"" + 0.005*""리더"" + 0.005*""무량"" + 0.005*""시스템"" + 0.005*""수당"" + 0.004*""개인"" + 0.004*""영진"" + 0.004*""인력"" + 0.004*""진행"" + 0.004*""사업""')","(2, '0.011*""스트레스"" + 0.010*""광고주"" + 0.007*""보수"" + 0.007*""월급"" + 0.006*""조직"" + 0.006*""정치"" + 0.006*""시스템"" + 0.006*""광고"" + 0.005*""관리"" + 0.005*""실적""')","(3, '0.006*""팀바팀"" + 0.006*""중간"" + 0.005*""그냥"" + 0.005*""건물"" + 0.004*""직급"" + 0.004*""상사"" + 0.004*""낮은"" + 0.004*""사원"" + 0.004*""시스템"" + 0.004*""광고주""')","(4, '0.010*""영업"" + 0.005*""대표"" + 0.005*""교육"" + 0.004*""월급"" + 0.004*""압박"" + 0.004*""매출"" + 0.004*""퇴근"" + 0.004*""관리"" + 0.004*""정치"" + 0.004*""부분""')",,,,,
7,"(0, '0.021*""계약"" + 0.011*""정규직"" + 0.007*""월급"" + 0.006*""프리랜서"" + 0.006*""발전"" + 0.006*""시스템"" + 0.005*""보수"" + 0.005*""인력"" + 0.005*""승진"" + 0.004*""파견""')","(1, '0.010*""스트레스"" + 0.007*""실적"" + 0.006*""사업"" + 0.005*""진행"" + 0.005*""개인"" + 0.005*""영업"" + 0.005*""관리"" + 0.005*""영진"" + 0.005*""조금"" + 0.005*""수당""')","(2, '0.008*""정치"" + 0.008*""광고주"" + 0.008*""월급"" + 0.007*""조직"" + 0.006*""보수"" + 0.006*""시스템"" + 0.006*""팀바팀"" + 0.006*""광고"" + 0.005*""전혀"" + 0.005*""점점""')","(3, '0.007*""중간"" + 0.006*""건물"" + 0.005*""그냥"" + 0.005*""상사"" + 0.004*""직급"" + 0.004*""사원"" + 0.004*""팀바팀"" + 0.004*""퇴근"" + 0.004*""시스템"" + 0.004*""진행""')","(4, '0.012*""영업"" + 0.007*""대표"" + 0.006*""매출"" + 0.005*""교육"" + 0.005*""월급"" + 0.005*""합니다"" + 0.005*""압박"" + 0.004*""진짜"" + 0.004*""상사"" + 0.004*""그냥""')","(5, '0.014*""팀바팀"" + 0.007*""리더"" + 0.007*""광고주"" + 0.006*""낮은"" + 0.006*""인상"" + 0.006*""시스템"" + 0.005*""실무"" + 0.005*""무량"" + 0.005*""프로젝트"" + 0.005*""업계""')","(6, '0.006*""수당"" + 0.006*""업계"" + 0.005*""승진"" + 0.005*""낮은"" + 0.005*""무량"" + 0.005*""팀바팀"" + 0.005*""부족"" + 0.005*""평가"" + 0.005*""인사"" + 0.005*""그냥""')",,,
10,"(0, '0.029*""계약"" + 0.020*""정규직"" + 0.008*""프리랜서"" + 0.007*""월급"" + 0.007*""파견"" + 0.006*""승진"" + 0.005*""보수"" + 0.005*""직급"" + 0.005*""발전"" + 0.005*""전환""')","(1, '0.007*""수당"" + 0.007*""스타트업"" + 0.006*""진행"" + 0.006*""무량"" + 0.005*""퇴근"" + 0.005*""직급"" + 0.005*""작업"" + 0.005*""회의"" + 0.004*""성장"" + 0.004*""소통""')","(2, '0.008*""인력"" + 0.008*""시스템"" + 0.007*""전혀"" + 0.007*""퇴근"" + 0.005*""보수"" + 0.005*""월급"" + 0.005*""인한"" + 0.005*""조직"" + 0.005*""이직"" + 0.005*""출근""')","(3, '0.007*""중간"" + 0.006*""직급"" + 0.005*""상사"" + 0.005*""그냥"" + 0.005*""퇴근"" + 0.005*""정말"" + 0.005*""제안"" + 0.004*""관리"" + 0.004*""사원"" + 0.004*""영업""')","(4, '0.017*""영업"" + 0.008*""매출"" + 0.007*""압박"" + 0.006*""교육"" + 0.005*""관리"" + 0.005*""청소"" + 0.005*""대표"" + 0.005*""마케팅"" + 0.004*""않고"" + 0.004*""진짜""')","(5, '0.009*""광고주"" + 0.008*""실무"" + 0.007*""팀바팀"" + 0.006*""재택근무"" + 0.006*""시스템"" + 0.006*""인상"" + 0.006*""출근"" + 0.006*""가스"" + 0.005*""낮은"" + 0.005*""리더""')","(6, '0.011*""계약"" + 0.007*""수당"" + 0.007*""무량"" + 0.006*""업계"" + 0.005*""낮은"" + 0.005*""프리랜서"" + 0.005*""인사"" + 0.005*""정말"" + 0.005*""실무"" + 0.005*""부족""')","(7, '0.007*""팀바팀"" + 0.005*""시스템"" + 0.004*""대표"" + 0.004*""광고주"" + 0.004*""낮은"" + 0.004*""리더"" + 0.004*""인력"" + 0.004*""그냥"" + 0.004*""진행"" + 0.004*""실무""')","(8, '0.009*""스트레스"" + 0.008*""월급"" + 0.008*""건물"" + 0.006*""영업"" + 0.005*""실적"" + 0.004*""본인"" + 0.004*""있습니다"" + 0.004*""상사"" + 0.004*""보수"" + 0.004*""그냥""')","(9, '0.009*""보수"" + 0.008*""기자"" + 0.006*""소통"" + 0.006*""낮은"" + 0.005*""업계"" + 0.005*""없어서"" + 0.005*""인사"" + 0.005*""시스템"" + 0.004*""보상"" + 0.004*""계약""')"
