,0,1,2,3,4,5,6,7,8,9,10
3,"(0, '0.015*""재택근무"" + 0.009*""재택"" + 0.008*""금요일"" + 0.008*""동료"" + 0.007*""포인트"" + 0.006*""팀바팀"" + 0.006*""자율"" + 0.005*""데이"" + 0.005*""식대"" + 0.005*""출근""')","(1, '0.006*""프로젝트"" + 0.006*""포인트"" + 0.006*""안정"" + 0.006*""대기업"" + 0.005*""자율"" + 0.005*""부바"" + 0.005*""개발"" + 0.005*""카페"" + 0.004*""개인"" + 0.004*""동료""')","(2, '0.012*""카페"" + 0.010*""식대"" + 0.009*""점심"" + 0.009*""간식"" + 0.008*""포인트"" + 0.008*""커피"" + 0.007*""동료"" + 0.006*""무료"" + 0.006*""사무실"" + 0.006*""자율""')",,,,,,,,
5,"(0, '0.016*""재택근무"" + 0.008*""재택"" + 0.008*""대기업"" + 0.008*""안정"" + 0.006*""자율"" + 0.006*""동료"" + 0.006*""강도"" + 0.006*""팀바팀"" + 0.005*""포인트"" + 0.005*""제도""')","(1, '0.008*""프로젝트"" + 0.005*""안정"" + 0.005*""포인트"" + 0.005*""개인"" + 0.005*""자율"" + 0.005*""개발"" + 0.005*""본사"" + 0.005*""구내식당"" + 0.005*""대기업"" + 0.005*""교육""')","(2, '0.011*""점심"" + 0.011*""카페"" + 0.009*""식당"" + 0.009*""무료"" + 0.009*""아침"" + 0.008*""사옥"" + 0.008*""저녁"" + 0.006*""식대"" + 0.006*""커피"" + 0.005*""구내식당""')","(3, '0.011*""식대"" + 0.010*""카페"" + 0.010*""간식"" + 0.009*""포인트"" + 0.007*""재택근무"" + 0.007*""출근"" + 0.007*""커피"" + 0.007*""금요일"" + 0.006*""점심"" + 0.006*""동료""')","(4, '0.012*""동료"" + 0.009*""포인트"" + 0.007*""재택근무"" + 0.007*""사무실"" + 0.007*""자율"" + 0.006*""팀바팀"" + 0.006*""부바"" + 0.006*""대기업"" + 0.006*""재택"" + 0.005*""할인""')",,,,,,
11,"(0, '0.012*""안정"" + 0.011*""금융"" + 0.009*""대기업"" + 0.009*""강도"" + 0.009*""정년"" + 0.007*""노조"" + 0.007*""급여"" + 0.006*""통신비"" + 0.006*""포인트"" + 0.006*""재택근무""')","(1, '0.009*""대기업"" + 0.009*""안정"" + 0.008*""자율"" + 0.008*""개인"" + 0.007*""포인트"" + 0.006*""삼성"" + 0.006*""부바"" + 0.006*""수당"" + 0.005*""프로젝트"" + 0.005*""본사""')","(2, '0.017*""아침"" + 0.009*""조식"" + 0.009*""식대"" + 0.007*""점심"" + 0.005*""준다"" + 0.005*""간식"" + 0.005*""저녁"" + 0.005*""안정"" + 0.004*""사무실"" + 0.004*""나옴""')","(3, '0.012*""포인트"" + 0.011*""식대"" + 0.010*""카페"" + 0.008*""커피"" + 0.008*""간식"" + 0.008*""금요일"" + 0.006*""점심"" + 0.006*""젊은"" + 0.005*""지급"" + 0.005*""개발""')","(4, '0.010*""포인트"" + 0.008*""동료"" + 0.007*""부바"" + 0.007*""사무실"" + 0.005*""팀바팀"" + 0.005*""거의"" + 0.005*""없고"" + 0.005*""안정"" + 0.005*""출근"" + 0.004*""복장""')","(5, '0.028*""재택근무"" + 0.018*""재택"" + 0.018*""동료"" + 0.012*""자율"" + 0.011*""식대"" + 0.009*""출근"" + 0.007*""간식"" + 0.007*""포인트"" + 0.006*""최고"" + 0.006*""사무실""')","(6, '0.010*""간식"" + 0.009*""사무실"" + 0.006*""건물"" + 0.006*""출근"" + 0.006*""자율"" + 0.005*""복장"" + 0.005*""해서"" + 0.005*""동료"" + 0.005*""없고"" + 0.005*""체계""')","(7, '0.020*""카페"" + 0.011*""사옥"" + 0.011*""무료"" + 0.010*""식당"" + 0.010*""구내식당"" + 0.009*""포인트"" + 0.008*""팀바팀"" + 0.008*""커피"" + 0.007*""점심"" + 0.007*""프로젝트""')","(8, '0.017*""재택근무"" + 0.016*""재택"" + 0.014*""할인"" + 0.013*""포인트"" + 0.011*""대기업"" + 0.011*""부바"" + 0.010*""팀바팀"" + 0.010*""출근"" + 0.009*""자율"" + 0.009*""그룹""')","(9, '0.006*""개발"" + 0.006*""신입"" + 0.005*""프로젝트"" + 0.005*""노력"" + 0.005*""교육"" + 0.005*""점심"" + 0.005*""업계"" + 0.005*""대기업"" + 0.005*""부바"" + 0.005*""따라""')","(10, '0.007*""자율"" + 0.007*""사옥"" + 0.006*""건물"" + 0.006*""카페"" + 0.006*""커피"" + 0.005*""프로젝트"" + 0.005*""급여"" + 0.004*""많은"" + 0.004*""자기"" + 0.004*""식당""')"
