,cmp,0,1,2,3,4
67,(주)휴머스원,0.0,0.5465426445007324,0.0,0.445675253868103,0.0
68,지에스네오텍(주),0.0,0.5426940321922302,0.08933926373720169,0.36295285820961,0.0
69,존슨콘트롤즈인터내셔널코리아(주),0.0,0.3924153447151184,0.0,0.12579943239688873,0.4757624864578247
70,제일건설(주),0.0,0.09354272484779358,0.0,0.0,0.9019815325737
71,(주)서영엔지니어링,0.0,0.9904686808586121,0.0,0.0,0.0
72,(주)정림건축종합건축사사무소,0.0707709938287735,0.24229048192501068,0.0,0.6826614737510681,0.0
73,디엘건설(주),0.9239456057548523,0.0,0.06936213374137878,0.0,0.0
74,듀어코리아(주),0.0,0.23050621151924133,0.0,0.0,0.7571512460708618
75,(주)금성백조주택,0.0,0.0,0.9743456244468689,0.0,0.0
76,(주)대혜건축,0.11219888925552368,0.8800106644630432,0.0,0.0,0.0
77,(주)제일엔지니어링종합건축사사무소,0.0,0.9867829084396362,0.0,0.0,0.0
78,(주)포스코플랜텍,0.04880283400416374,0.8976272344589233,0.0,0.048827167600393295,0.0
79,한방유비스(주),0.0,0.9932716488838196,0.0,0.0,0.0
80,(주)은민에스엔디,0.9930081963539124,0.0,0.0,0.0,0.0
81,경호엔지니어링종합건축사사무소(주),0.0,0.9928074479103088,0.0,0.0,0.0
82,대우조선해양건설(주),0.0,0.2951369881629944,0.6979659795761108,0.0,0.0
83,(주)한라,0.17256362736225128,0.0,0.058886781334877014,0.0,0.7618089914321899
84,(주)계선,0.9485750794410706,0.039668820798397064,0.0,0.0,0.0
85,두양건축(주),0.0778559073805809,0.0,0.9132669568061829,0.0,0.0
86,두원이에프씨(주),0.9771966338157654,0.0,0.0,0.0,0.0
87,(주)행림종합건축사사무소,0.0,0.9041426181793213,0.0,0.08558133989572525,0.0
88,(주)동아지질,0.0583011694252491,0.5775963664054871,0.0,0.357794851064682,0.0
89,한미글로벌건축사사무소(주),0.0,0.6580634117126465,0.021688304841518402,0.3154563307762146,0.0
90,(주)신안,0.7249025702476501,0.26426658034324646,0.0,0.0,0.0
91,건일엠이씨(주),0.0,0.9879616498947144,0.0,0.0,0.0
92,간삼건축종합건축사사무소(주),0.0,0.813281238079071,0.15435880422592163,0.0,0.025812657549977303
93,이웨이(주),0.3568355441093445,0.6374372243881226,0.0,0.0,0.0
94,평화엔지니어링(주),0.0,0.9882494807243347,0.0,0.0,0.0
95,(주)서해종합건설,0.0,0.0,0.9964302182197571,0.0,0.0
96,경기주택도시공사,0.0,0.0,0.0,0.4746999144554138,0.5176211595535278
97,신세계건설(주),0.9932969212532043,0.0,0.0,0.0,0.0
98,대우산업개발(주),0.0,0.0,0.9908542037010193,0.0,0.0
99,(주)삼원에스앤디,0.5801820158958435,0.4072801172733307,0.0,0.0,0.0
100,(주)타워피엠씨,0.0,0.13146068155765533,0.0,0.8550870418548584,0.0
101,동일인테리어(주),0.057043690234422684,0.9298115372657776,0.0,0.0,0.0
102,(주)신보,0.0,0.9804217219352722,0.0,0.0,0.0
103,동광제약(주),0.0,0.9883166551589966,0.0,0.0,0.0
104,서울데이타통신(주),0.4338214695453644,0.0,0.0,0.5485504269599915,0.0
105,(주)세아네트웍스,0.0,0.9829676747322083,0.0,0.0,0.0
106,(주)엠에이피한터인종합건축사사무소,0.0,0.979982852935791,0.0,0.0,0.0
107,성창이엔씨(주),0.051252804696559906,0.05047282949090004,0.05106163024902344,0.05054869130253792,0.7966640591621399
