,company_name,adv_topic_0,adv_topic_1,adv_topic_2,adv_topic_3,adv_topic_4,adv_topic_5,dadv_topic_0,dadv_topic_1,dadv_topic_2,dadv_topic_3,dadv_topic_4,dadv_topic_5,dadv_topic_6,average_salary,total_sale,turn_over_rate
2156,유바이오로직스,0.0,0.998182773590088,0.0,0.0,0.0,0.0,0.3167700171470642,0.0,0.115469105541706,0.1368609070777893,0.0282727107405662,0.0,0.4021308124065399,4220,393.9,0.65
2112,경보제약,0.0,0.9975869059562684,0.0,0.0,0.0,0.0,0.6692526936531067,0.0,0.0,0.1215702295303344,0.0193757861852645,0.0,0.1852074414491653,6522,1706.6,0.13
2164,한국프라임제약,0.0,0.9966731667518616,0.0,0.0,0.0,0.0,0.8003064393997192,0.0,0.1777281612157821,0.0198858920484781,0.0,0.0,0.0,4757,1250.2,0.2
1723,유진테크,0.0,0.9963226914405824,0.0,0.0,0.0,0.0,0.4023348093032837,0.0296235382556915,0.0,0.5481151938438416,0.0183319095522165,0.0,0.0,3670,10.4,2.67
2123,진양제약,0.0,0.9962924122810364,0.0,0.0,0.0,0.0,0.0370053686201572,0.0,0.0,0.0,0.0,0.0,0.9619340896606444,4626,628.4,0.27
