,company_name,company_name,adv_topic_0,adv_topic_1,adv_topic_2,adv_topic_3,adv_topic_4,adv_topic_5,adv_topic_6,adv_topic_7,adv_topic_8,company_name,dadv_topic_0,dadv_topic_1,dadv_topic_2,dadv_topic_3,dadv_topic_4,dadv_topic_5,dadv_topic_6,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,국민건강보험공단,0.9460274577140808,0.0,0.01487772539258,0.0,0.0,0.0,0.0,0.0338588282465934,0.0,국민건강보험공단,0.0,0.0736912041902542,0.0,0.0135418204590678,0.0,0.912489891052246,0.0,6441,75400.0,0.2
1,근로복지공단,근로복지공단,0.6956666111946106,0.0,0.0,0.2289614081382751,0.0199946742504835,0.0,0.0,0.0549486503005027,0.0,근로복지공단,0.0,0.2244510352611541,0.0,0.0,0.0,0.7751399278640747,0.0,5817,9406.2,0.13
2,농협은행,농협은행,0.2757811844348907,0.0,0.0,0.0,0.0,0.0,0.5168435573577881,0.163049891591072,0.0316886864602565,농협은행,0.0841821059584617,0.229913130402565,0.0227778404951095,0.0213795788586139,0.0,0.6317372918128967,0.0,6182,13100.0,0.15
3,현대카드,현대카드,0.0618631169199943,0.0,0.0,0.2206485569477081,0.0,0.3654882311820984,0.1736758947372436,0.0,0.1778169870376587,현대카드,0.0,0.5142049193382263,0.3564521670341491,0.0,0.0973743721842765,0.0,0.0293072294443845,8737,2300.0,0.35
4,중소기업은행,중소기업은행,0.5110530257225037,0.0,0.0,0.0,0.0,0.0,0.4818075597286224,0.0,0.0,중소기업은행,0.0,0.2588417530059814,0.0,0.0,0.0718888267874717,0.6568909883499146,0.0,10065,14800.0,0.16
5,국민연금공단,국민연금공단,0.9057902693748474,0.0,0.0,0.0,0.0146665256470441,0.0,0.0,0.0752684772014617,0.0,국민연금공단,0.0,0.0499000251293182,0.0,0.0482968054711818,0.0,0.8925457000732422,0.0,6345,29900.0,0.1
6,현대캐피탈,현대캐피탈,0.0806220099329948,0.0,0.0,0.1810436099767685,0.0,0.2405496686697006,0.2298201918601989,0.0,0.2671672701835632,현대캐피탈,0.0,0.7655656933784485,0.2301281243562698,0.0,0.0,0.0,0.0,10926,3000.0,0.2
7,국민은행,국민은행,0.318368136882782,0.0,0.0102785844355821,0.0179258715361356,0.0,0.0,0.4799576699733734,0.1358025819063186,0.037268579006195,국민은행,0.0,0.1442161947488784,0.042275670915842,0.0,0.1893457621335983,0.6234989762306213,0.0,11355,21200.0,0.23
8,삼성생명보험,삼성생명보험,0.0,0.0,0.0,0.2607623338699341,0.0,0.0,0.4904862940311432,0.2065418511629104,0.0410927645862102,삼성생명보험,0.0,0.0708702504634857,0.0125541007146239,0.0,0.4076919853687286,0.5039324760437012,0.0,11975,27100.0,0.07
9,신한은행,신한은행,0.2582999467849731,0.0,0.0,0.1131421029567718,0.0,0.0,0.5278117656707764,0.097533568739891,0.0,신한은행,0.0628808960318565,0.0200278740376234,0.2136438488960266,0.0,0.0550888590514659,0.647977888584137,0.0,11276,21900.0,0.1
10,우리은행,우리은행,0.2430868446826934,0.0,0.0,0.0,0.0,0.0,0.7205787301063538,0.0350105054676532,0.0,우리은행,0.0322195887565612,0.0849035009741783,0.0649677515029907,0.0,0.2178493589162826,0.5995615720748901,0.0,10406,20400.0,0.09
11,신용보증기금,신용보증기금,0.5129115581512451,0.0,0.0749931707978248,0.1929696500301361,0.0,0.0,0.1804450154304504,0.0375129915773868,0.0,신용보증기금,0.0,0.0,0.0,0.0,0.0,0.9978905916213988,0.0,9488,1100.0,0.25
12,한화생명보험,한화생명보험,0.1461218893527984,0.0,0.0,0.2676951587200165,0.0,0.0645582154393196,0.5039543509483337,0.0166061352938413,0.0,한화생명보험,0.0289345048367977,0.1148925647139549,0.2896563112735748,0.1097554787993431,0.3896401226520538,0.066865749657154,0.0,9292,16100.000000000002,0.15
13,한국스탠다드차타드은행,한국스탠다드차타드은행,0.3711647689342499,0.0,0.0390079542994499,0.1699688285589218,0.0,0.0,0.2580120265483856,0.0,0.1605681031942367,한국스탠다드차타드은행,0.0738016813993454,0.4769512414932251,0.1720845401287078,0.1318903416395187,0.0627152770757675,0.0821793004870414,0.0,9961,2700.0,0.08
14,하나은행,하나은행,0.3900425434112549,0.0,0.0,0.0824782252311706,0.0,0.0,0.4522710740566253,0.0733420997858047,0.0,하나은행,0.0,0.2380927205085754,0.0652221366763114,0.0,0.0686663314700126,0.6267485022544861,0.0,11856,29200.0,0.1
15,삼성화재해상보험,삼성화재해상보험,0.0,0.0,0.0,0.1168613955378532,0.0,0.0,0.7056218385696411,0.0,0.1727201640605926,삼성화재해상보험,0.109348677098751,0.0523585602641105,0.0702753663063049,0.0,0.6076114773750305,0.159549281001091,0.0,13656,22600.0,0.08
16,웰컴저축은행,웰컴저축은행,0.0,0.2447160184383392,0.0,0.1967583745718002,0.0,0.2008283734321594,0.1658211648464203,0.1902194023132324,0.0,웰컴저축은행,0.2708555459976196,0.0356590300798416,0.0723096504807472,0.0,0.1765899509191513,0.2756668329238891,0.160192459821701,5645,3957.1,0.26
17,메리츠화재해상보험,메리츠화재해상보험,0.0,0.0,0.0187873151153326,0.4028069972991943,0.0,0.0,0.2615143656730652,0.3159205913543701,0.0,메리츠화재해상보험,0.0,0.261722981929779,0.2648498713970184,0.0,0.0,0.3090620338916778,0.1563584208488464,8562,10100.0,0.25
