,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
1563,아미코젠,0.006951642137019425,0.1535089745204452,0.026037094849363198,0.17823375981980177,0.08660092644549072,0.09036170012725996,0.01050892556455135,0.022506034517881898,0.010350055569382613,0.07863621356644518,0.22563071118849237,0.046451604596119446,0.01173359657417276,0.004560218633681222,0.003974746569725658,0.004026650524067177,0.0054632842886219515,0.005205318581591596,4695,317.7,0.24
1564,두올,6.14653696603216e-308,1.6107229603179473e-306,2.3115319495285464e-308,2.8367395162108018e-307,5.909222712358438e-308,6.440144809076062e-308,1.583821976004705e-308,2.311210011603168e-308,1.0,6.020606169627116e-307,1.0,3.78925064495417e-307,1.1468207478896425e-307,4.161557992991191e-308,3.6469695081683747e-308,3.648553248300244e-308,4.980700601754862e-308,4.884500155463533e-308,4359,2262.9,0.22
1565,상보,0.004803167553248835,0.10084137262734322,0.03437251847304706,0.10064557175995958,0.0655740127278053,0.25885032270545694,0.01058111777510027,0.02709770358524102,0.006587738702209832,0.08295614222052353,0.15837763794157264,0.24925101527893787,0.04807641512471883,0.018795586101761925,0.0140583325705609,0.014517767798459308,0.030202596399726903,0.023931306922862793,5754,727.7,0.17
1566,씨엠에이글로벌,0.022567490187329294,0.7553470623328544,0.00414137410274671,0.04597074901099252,0.010431663286568523,0.011031117114873756,0.0030219284487819236,0.00425122738175589,0.022781488355015242,0.3401659302374695,0.162411804282451,0.022865642833064935,0.008345737080508873,0.003686529476330148,0.003365796530807757,0.003415854150224334,0.004133003447153828,0.0039442346687893525,3098,298.7,0.42
1567,아이디룩,0.11685285440353976,0.5884807372626398,0.007186377214053051,0.0722354737289973,0.017822572406026534,0.01791816516731288,0.005461081276222134,0.007446687346920619,0.024056527554462824,0.2974617792579486,0.15675608137553415,0.025211263620366815,0.009396193472547106,0.004050209705144255,0.0037082804410537313,0.0037485536518673413,0.004515482369363692,0.004375178730632947,5325,2146.4,0.25
1568,볼빅,0.01140606945670226,0.22070516927491132,0.2840726145146232,0.15940875564601445,0.09391692237633537,0.08685030965756034,0.05821363027984758,0.07097802169004394,0.014448507103961419,0.7681123854852975,0.06132627901987498,0.01527921691275212,0.00642855875252195,0.00295599379740854,0.002783525836614697,0.0028144770011320317,0.0031754706573534582,0.0030907168212876914,4110,473.4,0.65
1569,삼익티에이치케이,0.00992101144838806,0.30193466136668035,0.008892075957373992,0.31456780971107523,0.02705140009072235,0.024590694205620815,0.0054464007840922014,0.009140401757972582,0.019565506637472016,0.7711896108306108,0.13440029311942964,0.028776560043659537,0.011557607561510206,0.0052026504435521035,0.004845436388899685,0.0048982571993846724,0.00567548738557315,0.005499325343098374,5737,3104.8,0.11
1570,에스엔유프리시젼,0.010318573284941233,0.8070348859601185,0.005592084955347052,0.08378518598873078,0.014899954872517825,0.018503247088640193,0.003812991205999411,0.005804821268975591,0.017047898886860115,0.6235545449687562,0.17924744416822094,0.03556177343144094,0.01392858472915482,0.0063288970547545845,0.005855031136485385,0.005952728276825275,0.006953403384684305,0.006673807410393809,5345,1137.0,0.21
1571,와이엠티,0.005376361071774639,0.11160186223157709,0.046462051526285825,0.10251621772047251,0.07016040899172651,0.15342613824009663,0.013271295943778428,0.0360761161427395,0.007265003556773978,0.6169778965070293,0.11877316852088923,0.023293903461582208,0.009150080150430857,0.004091467678083191,0.003795758772399522,0.003831699482341302,0.004495789024378219,0.004339155087091569,3661,4.9,0.2
1572,인텔리안테크놀로지스,0.009314053635363691,0.17921933831198322,0.4052979154873421,0.1283623359559467,0.0767134998475418,0.0630598740849118,0.05665779006062171,0.06978146792731184,0.011593724688976688,0.10565179287503608,0.5293471336639807,0.18136344636555435,0.03991957131626497,0.01320675021746218,0.010969847581554174,0.01099394410014779,0.017339354448554875,0.016333487507817605,5811,1231.1,0.2
1573,케이엠,0.009911218141964,0.6332271452677435,0.0054638049227665395,0.08028542186984565,0.01546328168069392,0.015350313552801868,0.003783322770664721,0.005892015248185622,0.013806785675415779,0.6190048954047734,0.08755619170936176,0.022173057709662637,0.009377834264963192,0.004352827518334142,0.00410838998279769,0.004155095478302087,0.0046655576096953704,0.004530539672236307,2313,37.6,1.22
1574,엘이디라이텍,0.4364921295014242,0.41773730052570074,0.007332071656905087,0.06934008212669465,0.017803804312672374,0.017963358753332076,0.005747787573123883,0.007618822054419044,0.019964643495728247,1.0,3.785239714909315e-307,9.199624969981155e-308,3.8436398095389717e-308,1.7585729133138517e-308,1.6536899970659857e-308,1.670517862587825e-308,1.8938710395158873e-308,1.842897831395851e-308,4328,903.4,0.86
1575,고운세상코스메틱,0.02434470852466826,0.7665357405316602,0.004594123395084875,0.051833940621159744,0.011777815161232656,0.012146307950555386,0.0033864217069036087,0.004801855769843987,0.0185205503084777,0.07090799025653045,0.251101376872805,0.060043987387605885,0.014577656956259127,0.005801531278984101,0.004956763266815938,0.00503715605520351,0.00720860258409275,0.006614126932989765,5286,1731.3,0.29
1576,베네통코리아,0.006613815423731232,0.15846391036820337,0.014800833302643798,0.2682906244279314,0.06217844943030924,0.036691346228768726,0.006858700569270557,0.01470441954642956,0.010476497289307572,0.7869229437744388,0.13816715628606818,0.03031696271043762,0.01222241645453219,0.005583078515123169,0.005201698103462634,0.005276710621269924,0.006080105281566895,0.00586545326007166,4909,1360.7,0.33
1577,브이티코스메틱,0.5136377505726152,0.3134320135419868,0.006488949974803242,0.058609684454923844,0.015512316503651518,0.015509269327818934,0.005144165408556609,0.006698676360906566,0.016212870625824275,1.0,3.8566149248689725e-307,9.04795304967377e-308,3.7130160676596793e-308,1.71945999931892e-308,1.6083319712747353e-308,1.634061741537717e-308,1.8614106447396386e-308,1.7947054146138115e-308,1930,6913,1.48
1578,이펙스,1.0,8.362559549733868e-307,1.5938541356614894e-308,1.4836043801753056e-307,3.810427667881452e-308,3.920153255950947e-308,1.2384085570977463e-308,1.6303795233740805e-308,4.635060181531748e-308,0.6961900310286212,0.1318546341319014,0.027146397367576184,0.010778937512174062,0.004844952838732443,0.0044996004661222565,0.004553832438125643,0.00530319802604208,0.005127496619245392,4549,1120.2,0.53
