,company_name,0,1,2,3,4,5
0,국민건강보험공단,0.0,0.0,0.0,0.9883600473403931,0.0,0.0
1,근로복지공단,0.0,0.11001646518707275,0.0,0.7484225034713745,0.0,0.140311598777771
2,농협은행,0.040682222694158554,0.0,0.32732489705085754,0.5658664703369141,0.05077192559838295,0.012496242299675941
3,현대카드,0.26506730914115906,0.40410107374191284,0.2176174819469452,0.11193247139453888,0.0,0.0
4,중소기업은행,0.0,0.0,0.012263929471373558,0.8648387789726257,0.0,0.12228702008724213
5,국민연금공단,0.0,0.012600970454514027,0.0,0.9488281607627869,0.015091023407876492,0.023162515833973885
6,현대캐피탈,0.2839752435684204,0.27453598380088806,0.19495931267738342,0.16713808476924896,0.07910523563623428,0.0
7,국민은행,0.0,0.0,0.2724058926105499,0.5912217497825623,0.0,0.1358165740966797
8,삼성생명보험,0.08376934379339218,0.03282855823636055,0.1637873351573944,0.20146335661411285,0.0,0.5178367495536804
9,신한은행,0.0,0.0,0.18375997245311737,0.5559148192405701,0.0,0.2547677755355835
10,우리은행,0.06290820986032486,0.0,0.19874240458011627,0.6794722080230713,0.0,0.05824664235115051
11,신용보증기금,0.0,0.0,0.0,0.7533248066902161,0.0,0.23659583926200867
12,한화생명보험,0.0,0.17791548371315002,0.3322335481643677,0.36570030450820923,0.0,0.11516555398702621
13,한국스탠다드차타드은행,0.1204587072134018,0.03839237615466118,0.19793100655078888,0.5394140481948853,0.0,0.10335590690374374
14,하나은행,0.0,0.0,0.1157645732164383,0.6939222812652588,0.0,0.17952467501163483
15,삼성화재해상보험,0.4488125741481781,0.011429112404584885,0.10010041296482086,0.18354113399982452,0.0,0.25556206703186035
16,웰컴저축은행,0.2225053459405899,0.31836384534835815,0.01662961021065712,0.03808845207095146,0.2168598771095276,0.18755286931991577
17,메리츠화재해상보험,0.0,0.11862466484308243,0.09821842610836029,0.04981561005115509,0.0,0.732805073261261
18,교보생명보험,0.06317482143640518,0.0939144641160965,0.2554924488067627,0.5166659951210022,0.06802934408187866,0.0
19,롯데카드,0.0,0.21973277628421783,0.3741385042667389,0.20507828891277313,0.18807443976402283,0.012465307489037514
20,한국투자증권,0.3168705999851227,0.0,0.0,0.1646672487258911,0.0,0.5173892974853516
21,한국산업은행,0.0,0.0,0.0,0.9222957491874695,0.0,0.07637937366962433
22,삼성카드,0.22321435809135437,0.0,0.0,0.31137189269065857,0.0,0.4625760614871979
23,한국자산관리공사,0.0,0.0,0.0,0.9234017133712769,0.0,0.06592173874378204
24,비씨카드,0.18582458794116974,0.39360418915748596,0.098444364964962,0.32091057300567627,0.0,0.0
25,키움증권,0.19473503530025482,0.2702530026435852,0.0,0.23253542184829712,0.18488961458206177,0.11040273308753967
26,서울보증보험,0.030149560421705246,0.0,0.0,0.6866114139556885,0.053951602429151535,0.22803884744644165
27,삼성증권,0.33186137676239014,0.0,0.20627611875534058,0.3405924439430237,0.0,0.11958038806915283
28,농업협동조합중앙회,0.0,0.0,0.16422300040721893,0.8230428099632263,0.0,0.0
29,삼성카드고객서비스,0.0236666239798069,0.0,0.7957707643508911,0.17600803077220917,0.0,0.0
30,미래에셋대우,0.0,0.0,0.0,0.0,0.0,0.9762170314788818
31,한국주택금융공사,0.0,0.07710836082696915,0.0,0.8950408101081848,0.02619919553399086,0.0
32,삼성생명서비스손해사정,0.0,0.0,0.4440145790576935,0.22382086515426636,0.0,0.329611599445343
33,현대해상화재보험,0.1270596832036972,0.0,0.3733445405960083,0.4352022707462311,0.0,0.0633510947227478
34,케이비손해사정,0.0,0.0827578753232956,0.4370219111442566,0.2462977170944214,0.23204852640628815,0.0
35,오케이저축은행,0.2582474946975708,0.07084929198026657,0.2401813268661499,0.0,0.33580073714256287,0.09436815977096558
36,대신증권,0.0,0.5101510286331177,0.0,0.27683067321777344,0.20991753041744232,0.0
37,신한카드,0.0,0.0,0.21571575105190277,0.19465354084968567,0.0,0.5871773958206177
38,라이나생명보험,0.20053111016750336,0.2087104767560959,0.16487665474414825,0.32986679673194885,0.0,0.09526729583740234
39,한국수출입은행,0.0,0.0,0.0,0.9960070848464966,0.0,0.0
40,모아저축은행,0.4807698130607605,0.08724895119667053,0.03182337060570717,0.05630570650100708,0.343454509973526,0.0
41,메트라이프생명보험,0.0,0.0,0.0,0.4900999367237091,0.0,0.50519198179245
42,한국씨티은행,0.0,0.0,0.0,0.5600574612617493,0.0,0.4369896650314331
43,현대커머셜,0.3173682689666748,0.4040271043777466,0.02906876988708973,0.18615750968456268,0.062298644334077835,0.0
44,현대하이라이프손해사정,0.0,0.0,0.7675146460533142,0.0,0.02555234171450138,0.20229272544384003
45,롯데손해보험,0.0,0.4384004473686218,0.0,0.34632641077041626,0.0,0.20774614810943604
46,한화손해보험,0.0,0.0,0.42018043994903564,0.3605782687664032,0.0,0.21631915867328644
47,기술보증기금,0.0,0.0,0.0,0.791947603225708,0.0,0.2053167223930359
48,한화손해사정,0.0,0.0,0.4444540739059448,0.0,0.16281695663928986,0.38211584091186523
49,악사손해보험,0.0,0.2613704800605774,0.13460220396518707,0.0,0.0,0.6017508506774902
50,흥국생명보험,0.24577243626117706,0.15274497866630554,0.0530848354101181,0.5422022342681885,0.0,0.0
51,다스카손해사정화재해상,0.0,0.033355485647916794,0.0,0.06428787857294083,0.33661338686943054,0.5647351741790771
52,산와대부,0.8110036253929138,0.012931149452924728,0.01299451757222414,0.01296827383339405,0.13712254166603088,0.01297985389828682
53,케이비국민카드,0.25236111879348755,0.0,0.0,0.7445886731147766,0.0,0.0
