,company_name,adv_topic_0,adv_topic_1,adv_topic_2,adv_topic_3,adv_topic_4,adv_topic_5,dadv_topic_0,dadv_topic_1,dadv_topic_2,dadv_topic_3,dadv_topic_4,dadv_topic_5,dadv_topic_6,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.0,0.0,0.6873717308044434,0.3021172881126404,0.0,0.0,0.0,0.048617199063301086,0.8767445683479309,0.019960254430770874,0.03614867478609085,0.0,0.01838468760251999,6441.0,75400.0,0.2
1,근로복지공단,0.0,0.0,0.8983572125434875,0.09975694119930267,0.0,0.0,0.0,0.09860208630561829,0.7847405076026917,0.013737759552896023,0.04605630040168762,0.0,0.056696873158216476,5817.0,9406.2,0.13
2,농협은행,0.17667411267757416,0.5068957209587097,0.029713647440075874,0.2864476144313812,0.0,0.0,0.4139140248298645,0.08525189757347107,0.3881593942642212,0.0,0.07729429751634598,0.0,0.026577098295092583,6182.0,13100.0,0.15
3,현대카드,0.0,0.2669896185398102,0.2893311679363251,0.0,0.08202202618122101,0.36130112409591675,0.19809210300445557,0.35547104477882385,0.0,0.23031723499298096,0.0,0.04968510940670967,0.16292689740657806,8737.0,2300.0,0.35
4,중소기업은행,0.0,0.34105074405670166,0.0,0.6581763625144958,0.0,0.0,0.46131691336631775,0.0,0.5378410816192627,0.0,0.0,0.0,0.0,10065.0,14800.0,0.16
5,국민연금공단,0.0,0.0,0.891776442527771,0.09939920157194138,0.0,0.0,0.0,0.0,0.9212175011634827,0.0578402504324913,0.010577243752777576,0.0,0.0,6345.0,29900.0,0.1
6,현대캐피탈,0.051993899047374725,0.3214935064315796,0.3479706346988678,0.0,0.10736009478569031,0.17090313136577606,0.15314482152462006,0.12187644839286804,0.0,0.2111661732196808,0.0,0.0,0.5131967067718506,10926.0,3000.0,0.2
7,국민은행,0.0,0.5355951189994812,0.09755420684814453,0.35928982496261597,0.0,0.0,0.7849738597869873,0.07321486622095108,0.10298185050487518,0.03839324042201042,0.0,0.0,0.0,11355.0,21200.0,0.23
8,삼성생명보험,0.17168626189231873,0.4078626334667206,0.13026845455169678,0.2895853817462921,0.0,0.0,0.8975470066070557,0.09388015419244766,0.0,0.0,0.0,0.0,0.0,11975.0,27100.0,0.07
9,신한은행,0.028094248846173286,0.3455464541912079,0.12540577352046967,0.5005054473876953,0.0,0.0,0.4877743721008301,0.06982136517763138,0.2526542842388153,0.15636570751667023,0.0330304317176342,0.0,0.0,11276.0,21900.0,0.1
10,우리은행,0.03775998204946518,0.6254251003265381,0.04671924561262131,0.28948861360549927,0.0,0.0,0.6933035254478455,0.10734551399946213,0.14403977990150452,0.02195028029382229,0.03289278596639633,0.0,0.0,10406.0,20400.0,0.09
11,신용보증기금,0.0,0.14058764278888702,0.08214248716831207,0.767482578754425,0.0,0.0,0.0,0.0,0.9885039925575256,0.0,0.0,0.0,0.0,9488.0,1100.0,0.25
12,한화생명보험,0.011403853073716164,0.4493338465690613,0.42840343713760376,0.08974486589431763,0.0,0.020749684423208237,0.49215853214263916,0.0,0.14187338948249817,0.308354914188385,0.0,0.04736768826842308,0.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.0,0.5210233330726624,0.3313305079936981,0.1154850572347641,0.03127455711364746,0.0,0.44998201727867126,0.0,0.1304786056280136,0.2609042227268219,0.0,0.0,0.1511615663766861,9961.0,2700.0,0.08
14,하나은행,0.0309586338698864,0.37046724557876587,0.13092708587646484,0.466616690158844,0.0,0.0,0.43190211057662964,0.36758172512054443,0.17434662580490112,0.0,0.024531714618206024,0.0,0.0,11856.0,29200.0,0.1
15,삼성화재해상보험,0.13690337538719177,0.7525786757469177,0.03825622797012329,0.07122226804494858,0.0,0.0,0.6488986015319824,0.0,0.19425490498542786,0.012524611316621304,0.0,0.143125981092453,0.0,13656.0,22600.0,0.08
16,웰컴저축은행,0.3296651244163513,0.09970958530902863,0.04518633708357811,0.09219993650913239,0.0,0.43304285407066345,0.2838895916938782,0.04703359305858612,0.20952028036117554,0.08018701523542404,0.3670472502708435,0.0,0.0,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.3325065076351166,0.12623967230319977,0.3397473394870758,0.1594470739364624,0.0,0.041792258620262146,0.3158617615699768,0.49737322330474854,0.0,0.0886150375008583,0.09454594552516937,0.0,0.0,8562.0,10100.0,0.25
18,교보생명보험,0.16772113740444183,0.5070594549179077,0.04701190069317818,0.24410337209701538,0.0,0.03377669304609299,0.547904908657074,0.0,0.36936432123184204,0.020212946459650993,0.050251252949237823,0.0,0.01161738857626915,10001.0,13000.0,0.08
19,롯데카드,0.09297917783260345,0.4070611000061035,0.19789887964725494,0.04467284679412842,0.0,0.25689250230789185,0.45620110630989075,0.22420714795589447,0.03312308341264725,0.09103507548570633,0.0,0.11609907448291779,0.07734716683626175,8325.0,1500.0,0.16
20,한국투자증권,0.3781391680240631,0.28939104080200195,0.0,0.3288443386554718,0.0,0.0,0.5945718884468079,0.15181609988212585,0.05889642611145973,0.0818452462553978,0.03797966614365578,0.0,0.07462923973798752,16010.0,9900.0,0.15
21,한국산업은행,0.0,0.0313420295715332,0.03591003641486168,0.9317735433578491,0.0,0.0,0.10660357773303986,0.0,0.8917499780654907,0.0,0.0,0.0,0.0,10264.0,24700.0,0.16
22,삼성카드,0.0,0.5480497479438782,0.4406780004501343,0.0,0.0,0.0,0.5598546266555786,0.07607447355985641,0.038049861788749695,0.28143343329429626,0.0,0.04294697940349579,0.0,14080.0,3200.0,0.13
