,company_name,0,1,2,3,4,5,6
0,국민건강보험공단,0.0,0.048617199063301086,0.8767445683479309,0.019960254430770874,0.03614867478609085,0.0,0.01838468760251999
1,근로복지공단,0.0,0.09860208630561829,0.7847405076026917,0.013737759552896023,0.04605630040168762,0.0,0.056696873158216476
2,농협은행,0.4139140248298645,0.08525189757347107,0.3881593942642212,0.0,0.07729429751634598,0.0,0.026577098295092583
3,현대카드,0.19809210300445557,0.35547104477882385,0.0,0.23031723499298096,0.0,0.04968510940670967,0.16292689740657806
4,중소기업은행,0.46131691336631775,0.0,0.5378410816192627,0.0,0.0,0.0,0.0
5,국민연금공단,0.0,0.0,0.9212175011634827,0.0578402504324913,0.010577243752777576,0.0,0.0
6,현대캐피탈,0.15314482152462006,0.12187644839286804,0.0,0.2111661732196808,0.0,0.0,0.5131967067718506
7,국민은행,0.7849738597869873,0.07321486622095108,0.10298185050487518,0.03839324042201042,0.0,0.0,0.0
8,삼성생명보험,0.8975470066070557,0.09388015419244766,0.0,0.0,0.0,0.0,0.0
9,신한은행,0.4877743721008301,0.06982136517763138,0.2526542842388153,0.15636570751667023,0.0330304317176342,0.0,0.0
10,우리은행,0.6933035254478455,0.10734551399946213,0.14403977990150452,0.02195028029382229,0.03289278596639633,0.0,0.0
11,신용보증기금,0.0,0.0,0.9885039925575256,0.0,0.0,0.0,0.0
12,한화생명보험,0.49215853214263916,0.0,0.14187338948249817,0.308354914188385,0.0,0.04736768826842308,0.0
13,한국스탠다드차타드은행,0.44998201727867126,0.0,0.1304786056280136,0.2609042227268219,0.0,0.0,0.1511615663766861
14,하나은행,0.43190211057662964,0.36758172512054443,0.17434662580490112,0.0,0.024531714618206024,0.0,0.0
15,삼성화재해상보험,0.6488986015319824,0.0,0.19425490498542786,0.012524611316621304,0.0,0.143125981092453,0.0
16,웰컴저축은행,0.2838895916938782,0.04703359305858612,0.20952028036117554,0.08018701523542404,0.3670472502708435,0.0,0.0
17,메리츠화재해상보험,0.3158617615699768,0.49737322330474854,0.0,0.0886150375008583,0.09454594552516937,0.0,0.0
18,교보생명보험,0.547904908657074,0.0,0.36936432123184204,0.020212946459650993,0.050251252949237823,0.0,0.01161738857626915
19,롯데카드,0.45620110630989075,0.22420714795589447,0.03312308341264725,0.09103507548570633,0.0,0.11609907448291779,0.07734716683626175
20,한국투자증권,0.5945718884468079,0.15181609988212585,0.05889642611145973,0.0818452462553978,0.03797966614365578,0.0,0.07462923973798752
21,한국산업은행,0.10660357773303986,0.0,0.8917499780654907,0.0,0.0,0.0,0.0
22,삼성카드,0.5598546266555786,0.07607447355985641,0.038049861788749695,0.28143343329429626,0.0,0.04294697940349579,0.0
23,한국자산관리공사,0.0,0.0,0.9978046417236328,0.0,0.0,0.0,0.0
24,비씨카드,0.6073445677757263,0.0,0.0912458524107933,0.08778297901153564,0.0,0.21213191747665405,0.0
25,키움증권,0.2512664794921875,0.2663874626159668,0.0,0.213298499584198,0.2595491409301758,0.0,0.0
26,서울보증보험,0.37183278799057007,0.2140451967716217,0.3638778626918793,0.0,0.04860089346766472,0.0,0.0
27,삼성증권,0.9955827593803406,0.0,0.0,0.0,0.0,0.0,0.0
28,농업협동조합중앙회,0.2653884291648865,0.049294959753751755,0.5968105792999268,0.011265239678323269,0.0,0.0,0.07659290730953217
29,삼성카드고객서비스,0.18963435292243958,0.6000533699989319,0.0,0.0,0.2013101875782013,0.0,0.0
30,미래에셋대우,0.43726563453674316,0.02261273004114628,0.0,0.13729910552501678,0.13778181374073029,0.0,0.2606913447380066
31,한국주택금융공사,0.0,0.0,0.9528208374977112,0.0450373999774456,0.0,0.0,0.0
32,삼성생명서비스손해사정,0.010562737472355366,0.42415913939476013,0.279282808303833,0.19394417107105255,0.09065113216638565,0.0,0.0
33,현대해상화재보험,0.6233339905738831,0.0,0.37415841221809387,0.0,0.0,0.0,0.0
34,케이비손해사정,0.07512705028057098,0.23769734799861908,0.2852875590324402,0.0,0.19497033953666687,0.15368546545505524,0.05265101417899132
35,오케이저축은행,0.29052290320396423,0.06527695804834366,0.18551874160766602,0.0,0.4576539099216461,0.0,0.0
36,대신증권,0.686309278011322,0.0,0.0,0.0,0.30989426374435425,0.0,0.0
37,신한카드,0.0,0.725285530090332,0.017712285742163658,0.06058045104146004,0.18962721526622772,0.0,0.0
38,라이나생명보험,0.09977512806653976,0.032669566571712494,0.0,0.5205923914909363,0.0,0.3456817865371704,0.0
39,한국수출입은행,0.023148711770772934,0.0,0.9736486673355103,0.0,0.0,0.0,0.0
40,모아저축은행,0.27932459115982056,0.05267873778939247,0.1227368414402008,0.0,0.3705371618270874,0.08585379272699356,0.08862929046154022
41,메트라이프생명보험,0.6057063937187195,0.04415322467684746,0.0,0.346783846616745,0.0,0.0,0.0
42,한국씨티은행,0.6493022441864014,0.0,0.12353990226984024,0.19199447333812714,0.0,0.033526867628097534,0.0
43,현대커머셜,0.3771817982196808,0.21014881134033203,0.0,0.04764115810394287,0.0,0.0,0.3625955283641815
44,현대하이라이프손해사정,0.07902748137712479,0.08213503658771515,0.6991147994995117,0.13635839521884918,0.0,0.0,0.0
45,롯데손해보험,0.580366313457489,0.0,0.05426828935742378,0.09810549765825272,0.0,0.2655716836452484,0.0
46,한화손해보험,0.5975306630134583,0.0,0.3969630300998688,0.0,0.0,0.0,0.0
47,기술보증기금,0.08567071706056595,0.0,0.9117658734321594,0.0,0.0,0.0,0.0
48,한화손해사정,0.0,0.3002399206161499,0.19126859307289124,0.0,0.5062175989151001,0.0,0.0
