,adv/dadv,lr_mae,lr_rmse,ridge_reg_mae,ridge_reg_rmse,lasso_reg_mae,lasso_reg_rmse,xgb_reg_mae,xgb_reg_rmse,lgbm_reg_mae,lgbm_reg_rmse,gb_reg_mae,gb_reg_rmse,rf_reg_mae,rf_reg_rmse,dt_reg_mae,dt_reg_rmse
0,6_6,0.1381437764608774,0.17247352720349735,0.13814515940862188,0.1724739805883331,0.13886636812385963,0.17282297611947883,0.12752613476215505,0.16760281895482584,0.1267956193419334,0.1676765044400499,0.13105883728881512,0.17345886649072612,0.12582320346320347,0.16572774750367153,0.122983981156712,0.1641383242316827
1,6_7,0.137463246993948,0.1723784202330629,0.13746131822371005,0.17237480936898666,0.13760911742569637,0.1720871407405004,0.12644134651530872,0.17203548821046338,0.12251592587241451,0.16488441357217945,0.13001819666353692,0.17924259644644175,0.1250315151515152,0.17014873600363997,0.12403692248839675,0.16459122664213285
2,6_8,0.1375427903645104,0.17220998921291397,0.13754294657261573,0.17221045076866112,0.13796822670451914,0.17256377423980018,0.12417312321208772,0.16851263502232222,0.1217932120984122,0.1641104114736138,0.13109678474970396,0.17714588096961692,0.12309558441558441,0.16680727075207955,0.1235391179847927,0.16540141034049002
3,6_9,0.13710079786503218,0.1719959863615589,0.13710858822239563,0.1719941797824697,0.1379677541924981,0.1728125618230922,0.1237911572600856,0.16493029880898993,0.11976414832966013,0.161344873507248,0.12864444056965332,0.1737042743724454,0.12165939393939398,0.16426031602808097,0.12194514990581257,0.1646021411270995
4,6_10,0.13857597070421768,0.17271069151535517,0.138572280465015,0.17270534499168863,0.13788079444137308,0.17256302603853224,0.12675274548979548,0.1686595524845411,0.12016879166107657,0.16057418271447574,0.13244850127146804,0.17660026354827466,0.1220005194805194,0.16343536836590916,0.11950919049166936,0.15894550846877892
5,7_6,0.1381473804553429,0.17262163162758393,0.13814866063060538,0.17262355570495932,0.13879527371139377,0.17325320707758285,0.13256212244882729,0.17302223905459543,0.12247645614692002,0.16363179664502453,0.134547692489089,0.17765079411091012,0.1263720346320346,0.16778123979666382,0.1244189297134325,0.16726634566785692
6,7_7,0.1392034609990869,0.1744553027390207,0.13919915357282753,0.1744468978786573,0.1382006069372296,0.17274890690585362,0.127291973906678,0.1708046328220459,0.1215961481812199,0.16471089367308683,0.13628597674310786,0.1824878413637718,0.1273012987012987,0.16953190133078547,0.12480638066373279,0.1692612334247262
7,7_8,0.13690366394306103,0.17207972589808757,0.13691039119222861,0.17207330030641918,0.13786031505850826,0.17233462364591617,0.12417056895050652,0.16547366036643812,0.12207726238174264,0.162744559818067,0.1275850450529081,0.17400709488805655,0.12365012987012988,0.16390190712793173,0.12391852296597067,0.16538321936728287
8,7_9,0.1378581061185233,0.1726059100994972,0.1378589641725437,0.17259551344135018,0.13829915209530094,0.17266733448521052,0.12093143536027892,0.16199804087455866,0.12020512367254226,0.159857165971252,0.12977074278862677,0.17082718862264684,0.12265861471861471,0.16338758526332964,0.12539116790163712,0.16803861952058308
9,7_10,0.1389322748752887,0.17282952619901737,0.13892969506891287,0.17282794476360608,0.1382449573823413,0.17322671412678475,0.12462423698468643,0.16576099500463498,0.12074263467745316,0.16239535400665647,0.1228419497847793,0.1646589145149994,0.1208187012987013,0.16204466044649785,0.12196425488217838,0.1632615712435268
