,0,1,2,3,4,5,6,7,8,9,10,11,12,13
6,"(0, '0.018*""커피"" + 0.016*""건물"" + 0.014*""카페"" + 0.009*""저녁"" + 0.008*""구내식당"" + 0.008*""지급"" + 0.008*""출근"" + 0.008*""사옥"" + 0.007*""버스"" + 0.007*""매출""')","(1, '0.018*""포인트"" + 0.010*""업계"" + 0.009*""성장"" + 0.008*""사옥"" + 0.008*""대비"" + 0.008*""성과급"" + 0.008*""구내식당"" + 0.007*""수준"" + 0.007*""서울"" + 0.007*""버스""')","(2, '0.034*""병원"" + 0.012*""연금"" + 0.012*""교육"" + 0.011*""사학"" + 0.010*""노조"" + 0.010*""카페"" + 0.009*""포인트"" + 0.009*""공공기관"" + 0.009*""체계"" + 0.009*""간호사""')","(3, '0.015*""버스"" + 0.013*""통근"" + 0.012*""초봉"" + 0.012*""구내식당"" + 0.010*""영업"" + 0.008*""신입"" + 0.007*""밀리"" + 0.007*""압박"" + 0.007*""식대"" + 0.006*""사옥""')","(4, '0.028*""포인트"" + 0.017*""영업"" + 0.015*""업계"" + 0.011*""초봉"" + 0.011*""대비"" + 0.011*""데이"" + 0.010*""제품"" + 0.008*""패밀리"" + 0.008*""여름"" + 0.007*""수준""')","(5, '0.017*""기숙사"" + 0.013*""저녁"" + 0.011*""아침"" + 0.010*""리프"" + 0.010*""공장"" + 0.009*""버스"" + 0.009*""업계"" + 0.008*""통근"" + 0.008*""식사"" + 0.007*""기본""')",,,,,,,,
10,"(0, '0.013*""출근"" + 0.009*""크게"" + 0.008*""규모"" + 0.008*""기본"" + 0.008*""포인트"" + 0.008*""여름"" + 0.008*""초봉"" + 0.007*""경우"" + 0.007*""겨울"" + 0.007*""조기""')","(1, '0.023*""포인트"" + 0.013*""병원"" + 0.010*""서울"" + 0.009*""공공기관"" + 0.008*""육아휴직"" + 0.008*""대비"" + 0.008*""시설"" + 0.008*""정년"" + 0.008*""명절"" + 0.008*""의료""')","(2, '0.053*""병원"" + 0.020*""연금"" + 0.019*""사학"" + 0.018*""노조"" + 0.014*""간호사"" + 0.014*""대학병원"" + 0.012*""교육"" + 0.011*""오프"" + 0.011*""혜택"" + 0.011*""직장""')","(3, '0.019*""초봉"" + 0.013*""버스"" + 0.012*""통근"" + 0.012*""영업"" + 0.011*""압박"" + 0.011*""구내식당"" + 0.010*""신입"" + 0.008*""일비"" + 0.008*""밀리"" + 0.008*""정시""')","(4, '0.062*""포인트"" + 0.024*""데이"" + 0.019*""패밀리"" + 0.014*""기숙사"" + 0.012*""영업"" + 0.009*""초봉"" + 0.009*""대비"" + 0.009*""업계"" + 0.008*""휴무"" + 0.008*""한번""')","(5, '0.019*""리프"" + 0.017*""기숙사"" + 0.011*""보건"" + 0.011*""아침"" + 0.011*""저녁"" + 0.011*""업계"" + 0.011*""레쉬"" + 0.010*""기본"" + 0.010*""여름"" + 0.009*""레시""')","(6, '0.016*""건물"" + 0.013*""사옥"" + 0.013*""카페"" + 0.012*""버스"" + 0.012*""구내식당"" + 0.011*""저녁"" + 0.010*""통근"" + 0.009*""업계"" + 0.009*""커피"" + 0.008*""시설""')","(7, '0.024*""영업"" + 0.015*""제품"" + 0.012*""구내식당"" + 0.010*""성장"" + 0.009*""업계"" + 0.009*""매년"" + 0.009*""교육"" + 0.008*""계속"" + 0.008*""매출"" + 0.008*""단체""')","(8, '0.011*""영업"" + 0.010*""초봉"" + 0.009*""업계"" + 0.008*""대비"" + 0.008*""유연근무제"" + 0.008*""평균"" + 0.008*""교대"" + 0.008*""버스"" + 0.008*""이미지"" + 0.007*""밀리""')","(9, '0.013*""재택근무"" + 0.010*""기회"" + 0.010*""재택"" + 0.010*""포인트"" + 0.009*""업계"" + 0.009*""영업"" + 0.009*""사무실"" + 0.009*""노력"" + 0.008*""시스템"" + 0.008*""보상""')",,,,
14,"(0, '0.017*""출근"" + 0.014*""크게"" + 0.011*""영업"" + 0.010*""경우"" + 0.010*""규모"" + 0.009*""체적"" + 0.009*""명절"" + 0.008*""사무실"" + 0.008*""밀리"" + 0.008*""이직""')","(1, '0.033*""포인트"" + 0.015*""병원"" + 0.010*""공공기관"" + 0.009*""서울"" + 0.009*""의료"" + 0.008*""정년"" + 0.008*""시설"" + 0.007*""육아휴직"" + 0.007*""혜택"" + 0.007*""명절""')","(2, '0.059*""병원"" + 0.024*""노조"" + 0.023*""연금"" + 0.021*""사학"" + 0.017*""간호사"" + 0.016*""대학병원"" + 0.013*""오프"" + 0.013*""교육"" + 0.011*""진료"" + 0.011*""의료""')","(3, '0.023*""초봉"" + 0.012*""압박"" + 0.011*""구내식당"" + 0.010*""버스"" + 0.010*""통근"" + 0.009*""여름"" + 0.009*""교육"" + 0.009*""일비"" + 0.009*""영업"" + 0.009*""금요일""')","(4, '0.055*""포인트"" + 0.021*""초봉"" + 0.016*""영업"" + 0.013*""대비"" + 0.011*""휴무"" + 0.009*""품목"" + 0.009*""업계"" + 0.009*""시스템"" + 0.008*""제품"" + 0.008*""수준""')","(5, '0.023*""리프"" + 0.015*""기본"" + 0.013*""업계"" + 0.013*""레쉬"" + 0.012*""수도권"" + 0.011*""대비"" + 0.011*""여름"" + 0.010*""레시"" + 0.010*""경우"" + 0.010*""제도""')","(6, '0.018*""사옥"" + 0.018*""카페"" + 0.017*""건물"" + 0.015*""구내식당"" + 0.011*""업계"" + 0.009*""시설"" + 0.009*""성장"" + 0.008*""버스"" + 0.008*""지급"" + 0.007*""본사""')","(7, '0.018*""영업"" + 0.017*""대비"" + 0.012*""성장"" + 0.012*""초봉"" + 0.011*""교육"" + 0.011*""제품"" + 0.011*""팀바팀"" + 0.010*""여름"" + 0.010*""주간"" + 0.010*""업계""')","(8, '0.015*""재택근무"" + 0.011*""유연근무제"" + 0.011*""밀리"" + 0.009*""진짜"" + 0.008*""재택"" + 0.008*""보너스"" + 0.008*""윗사람"" + 0.007*""영업"" + 0.007*""가끔"" + 0.007*""제외""')","(9, '0.013*""기회"" + 0.011*""포인트"" + 0.010*""노력"" + 0.010*""재택근무"" + 0.010*""보상"" + 0.009*""사무실"" + 0.009*""교육"" + 0.009*""재택"" + 0.009*""업계"" + 0.009*""영업""')","(10, '0.017*""가족"" + 0.014*""육아휴직"" + 0.013*""제도"" + 0.012*""일비"" + 0.011*""여름"" + 0.011*""노력"" + 0.010*""무난"" + 0.010*""구입"" + 0.010*""도서"" + 0.009*""기관""')","(11, '0.026*""통근"" + 0.026*""버스"" + 0.012*""저녁"" + 0.012*""구내식당"" + 0.010*""간식"" + 0.009*""지급"" + 0.009*""셔틀버스"" + 0.009*""기회"" + 0.007*""선물"" + 0.007*""유연근무제""')","(12, '0.024*""데이"" + 0.023*""패밀리"" + 0.019*""포인트"" + 0.014*""업계"" + 0.012*""보건"" + 0.012*""리프"" + 0.011*""제품"" + 0.011*""기숙사"" + 0.010*""식대"" + 0.009*""성장""')","(13, '0.019*""기숙사"" + 0.016*""저녁"" + 0.015*""아침"" + 0.015*""버스"" + 0.014*""공장"" + 0.013*""커피"" + 0.011*""통근"" + 0.010*""대비"" + 0.009*""영업"" + 0.009*""건물""')"
