,0,1,2,3,4,5,6,7,8,9,10
7,"(0, '0.022*""학원"" + 0.021*""수업"" + 0.020*""아이"" + 0.018*""강사"" + 0.017*""승진"" + 0.016*""급여"" + 0.015*""시스템"" + 0.014*""수당"" + 0.012*""지급"" + 0.011*""연봉""')","(1, '0.035*""구내식당"" + 0.022*""식당"" + 0.021*""본사"" + 0.018*""사옥"" + 0.017*""건물"" + 0.015*""자율"" + 0.014*""복리"" + 0.013*""후생"" + 0.013*""연봉"" + 0.013*""사내""')","(2, '0.057*""단축"" + 0.053*""방학"" + 0.031*""학교"" + 0.021*""계약"" + 0.017*""캠퍼스"" + 0.015*""대학"" + 0.012*""안정"" + 0.012*""시설"" + 0.011*""식당"" + 0.011*""이용""')","(3, '0.024*""간식"" + 0.023*""동료"" + 0.020*""건물"" + 0.017*""무료"" + 0.016*""커피"" + 0.015*""카페"" + 0.014*""업계"" + 0.012*""구내식당"" + 0.011*""부바"" + 0.010*""사내""')","(4, '0.019*""팀바팀"" + 0.014*""강남"" + 0.013*""승진"" + 0.012*""강의"" + 0.012*""동료"" + 0.011*""학원"" + 0.010*""대가"" + 0.010*""대부분"" + 0.010*""기회"" + 0.010*""유연""')","(5, '0.045*""자율"" + 0.025*""연봉"" + 0.023*""재택근무"" + 0.022*""건물"" + 0.019*""유연근무제"" + 0.015*""서로"" + 0.013*""간식"" + 0.011*""시설"" + 0.010*""개발"" + 0.010*""성장""')","(6, '0.033*""학생"" + 0.027*""학원"" + 0.025*""기회"" + 0.020*""수업"" + 0.016*""아이"" + 0.014*""다른"" + 0.013*""정말"" + 0.013*""출근"" + 0.012*""급여"" + 0.012*""시스템""')",,,,
8,"(0, '0.017*""수업"" + 0.015*""급여"" + 0.015*""지급"" + 0.015*""아이"" + 0.015*""수당"" + 0.014*""업계"" + 0.013*""본사"" + 0.013*""크게"" + 0.013*""명절"" + 0.012*""연봉""')","(1, '0.041*""구내식당"" + 0.026*""식당"" + 0.024*""본사"" + 0.021*""사옥"" + 0.018*""건물"" + 0.014*""사내"" + 0.014*""복리"" + 0.014*""연봉"" + 0.013*""후생"" + 0.013*""점심""')","(2, '0.059*""단축"" + 0.055*""방학"" + 0.032*""학교"" + 0.021*""계약"" + 0.017*""캠퍼스"" + 0.015*""대학"" + 0.012*""시설"" + 0.012*""안정"" + 0.012*""식당"" + 0.011*""이용""')","(3, '0.028*""간식"" + 0.024*""동료"" + 0.023*""건물"" + 0.019*""무료"" + 0.018*""커피"" + 0.015*""카페"" + 0.013*""업계"" + 0.011*""부바"" + 0.011*""사내"" + 0.010*""제도""')","(4, '0.020*""승진"" + 0.018*""팀바팀"" + 0.014*""강남"" + 0.012*""강의"" + 0.011*""동료"" + 0.011*""유연"" + 0.011*""대가"" + 0.010*""유연근무제"" + 0.010*""대부분"" + 0.009*""연봉""')","(5, '0.056*""자율"" + 0.022*""재택근무"" + 0.017*""연봉"" + 0.017*""건물"" + 0.013*""신입"" + 0.013*""제도"" + 0.013*""구조"" + 0.012*""크게"" + 0.012*""강남"" + 0.011*""부바""')","(6, '0.036*""학생"" + 0.020*""기회"" + 0.015*""급여"" + 0.015*""업계"" + 0.012*""보람"" + 0.012*""대한"" + 0.012*""성장"" + 0.012*""안정"" + 0.011*""아이"" + 0.011*""구내식당""')","(7, '0.042*""학원"" + 0.033*""수업"" + 0.027*""강사"" + 0.021*""기회"" + 0.020*""아이"" + 0.019*""시스템"" + 0.016*""재택"" + 0.015*""재택근무"" + 0.015*""출근"" + 0.015*""다른""')",,,
11,"(0, '0.020*""수업"" + 0.019*""지급"" + 0.018*""명절"" + 0.017*""수당"" + 0.017*""학원"" + 0.015*""가끔"" + 0.015*""생일"" + 0.014*""급여"" + 0.014*""강사"" + 0.013*""터치""')","(1, '0.022*""조직"" + 0.020*""상사"" + 0.019*""의견"" + 0.018*""성장"" + 0.017*""안정"" + 0.016*""사업"" + 0.016*""서로"" + 0.014*""자율"" + 0.014*""복리"" + 0.013*""후생""')","(2, '0.063*""단축"" + 0.058*""방학"" + 0.033*""학교"" + 0.023*""계약"" + 0.018*""캠퍼스"" + 0.016*""대학"" + 0.012*""식당"" + 0.012*""시설"" + 0.012*""안정"" + 0.012*""이용""')","(3, '0.031*""간식"" + 0.026*""동료"" + 0.021*""건물"" + 0.020*""무료"" + 0.019*""커피"" + 0.013*""카페"" + 0.012*""부바"" + 0.011*""업계"" + 0.011*""이용"" + 0.011*""제도""')","(4, '0.024*""팀바팀"" + 0.018*""강남"" + 0.017*""승진"" + 0.016*""강의"" + 0.014*""동료"" + 0.014*""대가"" + 0.012*""이름"" + 0.011*""할인"" + 0.011*""무료"" + 0.011*""보고""')","(5, '0.055*""자율"" + 0.031*""건물"" + 0.025*""연봉"" + 0.022*""유연근무제"" + 0.017*""부바"" + 0.016*""재택근무"" + 0.015*""간식"" + 0.014*""서로"" + 0.011*""성장"" + 0.011*""제도""')","(6, '0.019*""학원"" + 0.017*""업계"" + 0.016*""기회"" + 0.015*""거의"" + 0.014*""밀리"" + 0.013*""안정"" + 0.012*""본인"" + 0.012*""만큼"" + 0.011*""성과급"" + 0.011*""급여""')","(7, '0.038*""학원"" + 0.035*""수업"" + 0.029*""강사"" + 0.022*""기회"" + 0.021*""아이"" + 0.019*""재택근무"" + 0.019*""시스템"" + 0.017*""재택"" + 0.015*""정말"" + 0.015*""출근""')","(8, '0.036*""학생"" + 0.016*""급여"" + 0.014*""아이"" + 0.014*""기회"" + 0.012*""보람"" + 0.012*""안정"" + 0.011*""대한"" + 0.011*""유연"" + 0.011*""업계"" + 0.009*""육아휴직""')","(9, '0.072*""구내식당"" + 0.039*""식당"" + 0.028*""본사"" + 0.023*""사옥"" + 0.022*""카페"" + 0.021*""건물"" + 0.019*""사내"" + 0.015*""점심"" + 0.015*""여름"" + 0.014*""연봉""')","(10, '0.072*""승진"" + 0.020*""자기"" + 0.018*""기회"" + 0.017*""실력"" + 0.016*""실적"" + 0.016*""인정"" + 0.014*""사업"" + 0.014*""제도"" + 0.014*""능력"" + 0.014*""일만""')"
