,0,1,2,3,4,5,6,7,8,9
3,"(0, '0.020*""할인"" + 0.017*""대기업"" + 0.011*""급여"" + 0.008*""점심"" + 0.008*""업계"" + 0.008*""식대"" + 0.008*""자율"" + 0.007*""부바"" + 0.007*""안정"" + 0.007*""포인트""')","(1, '0.016*""재택근무"" + 0.011*""재택"" + 0.009*""브랜드"" + 0.007*""제품"" + 0.007*""기회"" + 0.007*""사내"" + 0.006*""급여"" + 0.006*""할인"" + 0.006*""개인"" + 0.006*""동료""')","(2, '0.009*""강도"" + 0.007*""점심"" + 0.007*""영업"" + 0.006*""때문"" + 0.006*""개인"" + 0.006*""항공권"" + 0.006*""매장"" + 0.006*""안정"" + 0.006*""거의"" + 0.006*""스트레스""')",,,,,,,
7,"(0, '0.028*""할인"" + 0.021*""대기업"" + 0.011*""열사"" + 0.011*""급여"" + 0.009*""수당"" + 0.009*""업계"" + 0.008*""물류"" + 0.008*""혜택"" + 0.008*""재택근무"" + 0.008*""자율""')","(1, '0.021*""재택근무"" + 0.016*""재택"" + 0.014*""브랜드"" + 0.012*""제품"" + 0.010*""데이"" + 0.010*""할인"" + 0.007*""기회"" + 0.007*""패밀리"" + 0.007*""외국"" + 0.006*""사내""')","(2, '0.013*""재택근무"" + 0.012*""매장"" + 0.010*""때문"" + 0.009*""동료"" + 0.009*""개인"" + 0.008*""본인"" + 0.008*""수당"" + 0.007*""다른"" + 0.007*""혼자"" + 0.006*""대한""')","(3, '0.019*""항공권"" + 0.019*""강도"" + 0.013*""공기업"" + 0.012*""교대근무"" + 0.011*""안정"" + 0.010*""스트레스"" + 0.010*""교대"" + 0.008*""정년"" + 0.008*""개인"" + 0.008*""부산""')","(4, '0.009*""간식"" + 0.008*""업계"" + 0.008*""사내"" + 0.008*""안정"" + 0.008*""노력"" + 0.007*""급여"" + 0.007*""포인트"" + 0.007*""초봉"" + 0.006*""사업"" + 0.006*""팀바팀""')","(5, '0.032*""점심"" + 0.020*""커피"" + 0.020*""구내식당"" + 0.016*""사옥"" + 0.015*""건물"" + 0.014*""카페"" + 0.013*""식당"" + 0.011*""무료"" + 0.010*""저녁"" + 0.010*""사내""')","(6, '0.015*""대기업"" + 0.011*""영업"" + 0.011*""급여"" + 0.010*""할인"" + 0.008*""식대"" + 0.008*""지급"" + 0.007*""롯데"" + 0.007*""포인트"" + 0.006*""신세계"" + 0.006*""개인""')",,,
10,"(0, '0.015*""재택근무"" + 0.013*""자율"" + 0.012*""수당"" + 0.010*""급여"" + 0.009*""부바"" + 0.009*""대기업"" + 0.008*""재택"" + 0.008*""할인"" + 0.008*""수준"" + 0.007*""삼성""')","(1, '0.032*""재택근무"" + 0.022*""재택"" + 0.011*""데이"" + 0.008*""기회"" + 0.007*""동료"" + 0.007*""패밀리"" + 0.007*""외국"" + 0.007*""조직"" + 0.007*""브랜드"" + 0.007*""제품""')","(2, '0.014*""공항"" + 0.014*""식권"" + 0.012*""재택근무"" + 0.011*""육아휴직"" + 0.008*""지급"" + 0.008*""수당"" + 0.007*""연장"" + 0.007*""거의"" + 0.007*""코로나"" + 0.007*""유니폼""')","(3, '0.023*""항공권"" + 0.022*""강도"" + 0.016*""공기업"" + 0.015*""교대근무"" + 0.013*""교대"" + 0.012*""안정"" + 0.012*""스트레스"" + 0.010*""정년"" + 0.010*""부산"" + 0.009*""개인""')","(4, '0.012*""간식"" + 0.009*""업계"" + 0.008*""포인트"" + 0.008*""자율"" + 0.008*""노력"" + 0.007*""사내"" + 0.007*""급여"" + 0.007*""식대"" + 0.006*""사업"" + 0.006*""안정""')","(5, '0.036*""점심"" + 0.017*""구내식당"" + 0.016*""커피"" + 0.015*""아침"" + 0.014*""간식"" + 0.014*""도서"" + 0.013*""저녁"" + 0.010*""구입"" + 0.009*""식당"" + 0.009*""사옥""')","(6, '0.013*""영업"" + 0.011*""대기업"" + 0.009*""매장"" + 0.009*""급여"" + 0.008*""롯데"" + 0.008*""개인"" + 0.008*""식대"" + 0.008*""지급"" + 0.007*""차량"" + 0.006*""때문""')","(7, '0.016*""업계"" + 0.016*""안정"" + 0.011*""부바"" + 0.011*""물류"" + 0.010*""급여"" + 0.009*""연결"" + 0.008*""대비"" + 0.008*""강도"" + 0.008*""본사"" + 0.007*""매출""')","(8, '0.042*""할인"" + 0.027*""대기업"" + 0.013*""열사"" + 0.011*""혜택"" + 0.010*""신세계"" + 0.009*""브랜드"" + 0.008*""그룹"" + 0.008*""업계"" + 0.007*""급여"" + 0.007*""포인트""')","(9, '0.015*""할인"" + 0.014*""커피"" + 0.013*""점심"" + 0.012*""브랜드"" + 0.012*""카페"" + 0.011*""구내식당"" + 0.011*""사내"" + 0.011*""사옥"" + 0.010*""건물"" + 0.009*""식당""')"
