,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
8,"(0, '0.027*""금요일"" + 0.012*""자기"" + 0.012*""재택근무"" + 0.012*""페이"" + 0.010*""식대"" + 0.010*""능력"" + 0.010*""기회"" + 0.009*""식비"" + 0.009*""재택"" + 0.008*""간식""')","(1, '0.014*""금요일"" + 0.012*""출근"" + 0.011*""구내식당"" + 0.010*""간식"" + 0.009*""정시"" + 0.009*""거의"" + 0.008*""자기"" + 0.008*""카카오"" + 0.008*""터치"" + 0.007*""명절""')","(2, '0.022*""카페"" + 0.017*""커피"" + 0.012*""프로젝트"" + 0.011*""사옥"" + 0.009*""포인트"" + 0.009*""사무실"" + 0.009*""카페테리아"" + 0.009*""건물"" + 0.008*""간식"" + 0.008*""점심시간""')","(3, '0.024*""데이"" + 0.017*""금요일"" + 0.013*""포인트"" + 0.010*""오프"" + 0.009*""식대"" + 0.007*""팀바팀"" + 0.007*""업계"" + 0.007*""리조트"" + 0.007*""재택근무"" + 0.006*""노력""')","(4, '0.025*""재택근무"" + 0.019*""동료"" + 0.016*""자율"" + 0.015*""재택"" + 0.008*""카페"" + 0.007*""팀바팀"" + 0.007*""포인트"" + 0.007*""출근"" + 0.007*""유연근무제"" + 0.007*""사무실""')","(5, '0.029*""점심"" + 0.025*""식대"" + 0.016*""포인트"" + 0.015*""저녁"" + 0.013*""식당"" + 0.012*""카페"" + 0.012*""무료"" + 0.011*""아침"" + 0.010*""사옥"" + 0.010*""간식""')","(6, '0.015*""포인트"" + 0.014*""대기업"" + 0.012*""안정"" + 0.010*""부바"" + 0.008*""팀바팀"" + 0.008*""급여"" + 0.007*""프로젝트"" + 0.007*""그룹"" + 0.007*""교육"" + 0.007*""강도""')","(7, '0.017*""간식"" + 0.014*""식대"" + 0.013*""출근"" + 0.010*""점심"" + 0.010*""자율"" + 0.010*""사무실"" + 0.008*""동료"" + 0.008*""도서"" + 0.007*""카페"" + 0.006*""성장""')",,,,,,,
11,"(0, '0.026*""재택근무"" + 0.019*""네이버"" + 0.017*""재택"" + 0.016*""리프"" + 0.013*""수당"" + 0.012*""무제한"" + 0.011*""도서"" + 0.011*""레시"" + 0.010*""동료"" + 0.009*""데이""')","(1, '0.024*""카카오"" + 0.023*""구내식당"" + 0.012*""포인트"" + 0.009*""건물"" + 0.009*""출근"" + 0.009*""수당"" + 0.008*""거의"" + 0.007*""강도"" + 0.007*""명절"" + 0.007*""정시""')","(2, '0.035*""카페"" + 0.021*""커피"" + 0.016*""사옥"" + 0.013*""포인트"" + 0.011*""카페테리아"" + 0.011*""건물"" + 0.010*""무료"" + 0.009*""식당"" + 0.009*""프로젝트"" + 0.009*""간식""')","(3, '0.032*""데이"" + 0.019*""포인트"" + 0.017*""금요일"" + 0.016*""오프"" + 0.011*""식대"" + 0.009*""휴무"" + 0.009*""팀바팀"" + 0.009*""재택근무"" + 0.009*""업계"" + 0.008*""격주""')","(4, '0.027*""재택근무"" + 0.021*""동료"" + 0.016*""재택"" + 0.015*""자율"" + 0.009*""포인트"" + 0.009*""카페"" + 0.008*""팀바팀"" + 0.007*""매우"" + 0.007*""출근"" + 0.007*""유연근무제""')","(5, '0.036*""점심"" + 0.032*""식대"" + 0.018*""저녁"" + 0.015*""포인트"" + 0.011*""아침"" + 0.011*""간식"" + 0.010*""식당"" + 0.010*""무료"" + 0.010*""식사"" + 0.009*""헬스장""')","(6, '0.019*""포인트"" + 0.016*""대기업"" + 0.013*""안정"" + 0.012*""부바"" + 0.009*""팀바팀"" + 0.008*""급여"" + 0.008*""그룹"" + 0.008*""프로젝트"" + 0.007*""강도"" + 0.007*""교육""')","(7, '0.016*""식대"" + 0.016*""출근"" + 0.014*""간식"" + 0.012*""점심"" + 0.011*""도서"" + 0.011*""카페"" + 0.010*""월요일"" + 0.009*""재택"" + 0.009*""여의도"" + 0.008*""재택근무""')","(8, '0.014*""자율"" + 0.010*""금요일"" + 0.008*""대한"" + 0.008*""식대"" + 0.008*""개발"" + 0.008*""능력"" + 0.008*""동료"" + 0.007*""기회"" + 0.007*""사무실"" + 0.007*""커피""')","(9, '0.013*""할인"" + 0.013*""재택근무"" + 0.012*""팀바팀"" + 0.008*""출근"" + 0.007*""동료"" + 0.007*""개발"" + 0.007*""자율"" + 0.007*""터치"" + 0.006*""크게"" + 0.006*""재택""')","(10, '0.013*""간식"" + 0.012*""금요일"" + 0.010*""프로젝트"" + 0.008*""사무실"" + 0.008*""거의"" + 0.007*""자기"" + 0.006*""점심"" + 0.006*""출근"" + 0.006*""사업"" + 0.006*""노력""')",,,,
15,"(0, '0.021*""재택근무"" + 0.021*""네이버"" + 0.019*""리프"" + 0.014*""데이"" + 0.012*""레시"" + 0.011*""수당"" + 0.009*""자기"" + 0.009*""재택"" + 0.008*""페이"" + 0.008*""버스""')","(1, '0.012*""구내식당"" + 0.012*""간식"" + 0.010*""건물"" + 0.010*""거의"" + 0.010*""자기"" + 0.009*""강도"" + 0.009*""포인트"" + 0.009*""안정"" + 0.008*""터치"" + 0.008*""출근""')","(2, '0.031*""카페"" + 0.024*""커피"" + 0.020*""사옥"" + 0.012*""포인트"" + 0.012*""카페테리아"" + 0.012*""건물"" + 0.012*""무료"" + 0.010*""간식"" + 0.010*""식당"" + 0.010*""점심시간""')","(3, '0.013*""포인트"" + 0.012*""커피"" + 0.012*""카페"" + 0.011*""의료"" + 0.010*""업계"" + 0.010*""데이"" + 0.009*""안정"" + 0.009*""노력"" + 0.008*""본사"" + 0.007*""사업""')","(4, '0.024*""재택근무"" + 0.023*""동료"" + 0.014*""자율"" + 0.013*""재택"" + 0.008*""팀바팀"" + 0.008*""매우"" + 0.007*""카페"" + 0.006*""포인트"" + 0.006*""업계"" + 0.006*""수당""')","(5, '0.033*""점심"" + 0.020*""저녁"" + 0.015*""식당"" + 0.015*""식대"" + 0.015*""아침"" + 0.013*""구내식당"" + 0.013*""무료"" + 0.012*""식사"" + 0.012*""헬스장"" + 0.011*""사옥""')","(6, '0.021*""포인트"" + 0.014*""금융"" + 0.011*""대기업"" + 0.009*""부바"" + 0.009*""팀바팀"" + 0.008*""그룹"" + 0.007*""안정"" + 0.007*""수당"" + 0.007*""식대"" + 0.007*""개발""')","(7, '0.011*""사무실"" + 0.011*""식대"" + 0.011*""점심"" + 0.010*""여의도"" + 0.009*""도서"" + 0.009*""간식"" + 0.009*""판교"" + 0.008*""커피"" + 0.007*""자율"" + 0.006*""프로젝트""')","(8, '0.018*""자율"" + 0.009*""개발"" + 0.008*""대한"" + 0.008*""사무실"" + 0.008*""커피"" + 0.008*""동료"" + 0.008*""대표"" + 0.007*""무료"" + 0.007*""노력"" + 0.006*""식대""')","(9, '0.011*""재택근무"" + 0.011*""아침"" + 0.010*""식대"" + 0.009*""기회"" + 0.009*""팀바팀"" + 0.008*""출근"" + 0.008*""간식"" + 0.008*""크게"" + 0.007*""부바"" + 0.007*""교육""')","(10, '0.019*""금요일"" + 0.015*""간식"" + 0.011*""프로젝트"" + 0.009*""자기"" + 0.009*""식대"" + 0.007*""사업"" + 0.007*""기회"" + 0.007*""점심"" + 0.007*""사무실"" + 0.007*""커피""')","(11, '0.029*""포인트"" + 0.023*""재택근무"" + 0.019*""재택"" + 0.013*""데이"" + 0.010*""팀바팀"" + 0.010*""식대"" + 0.009*""금요일"" + 0.009*""클라우드"" + 0.008*""출근"" + 0.008*""오프""')","(12, '0.027*""카페"" + 0.017*""출근"" + 0.015*""식대"" + 0.012*""포인트"" + 0.012*""동료"" + 0.012*""재택근무"" + 0.010*""재택"" + 0.009*""자율"" + 0.009*""점심"" + 0.008*""사무실""')","(13, '0.019*""대기업"" + 0.016*""안정"" + 0.012*""부바"" + 0.009*""강도"" + 0.009*""팀바팀"" + 0.009*""자율"" + 0.008*""교육"" + 0.008*""급여"" + 0.008*""포인트"" + 0.007*""그룹""')","(14, '0.044*""식대"" + 0.025*""간식"" + 0.023*""무제한"" + 0.018*""점심"" + 0.013*""동료"" + 0.011*""사무실"" + 0.011*""자율"" + 0.010*""오피스"" + 0.010*""재택"" + 0.009*""재택근무""')"
