,0,1,2,3,4,5,6,7,8,9
3,"(0, '0.013*""영업"" + 0.012*""지점"" + 0.011*""공기업"" + 0.010*""공공기관"" + 0.010*""은행"" + 0.009*""서울"" + 0.008*""대부분"" + 0.008*""경험"" + 0.008*""때문"" + 0.008*""무난""')","(1, '0.034*""수평"" + 0.013*""사내"" + 0.013*""재택근무"" + 0.012*""조직"" + 0.010*""동료"" + 0.010*""제도"" + 0.010*""자율"" + 0.009*""윗사람"" + 0.009*""건물"" + 0.009*""보지""')","(2, '0.013*""포인트"" + 0.012*""대기업"" + 0.011*""은행"" + 0.010*""업계"" + 0.010*""지점"" + 0.009*""제도"" + 0.008*""성과급"" + 0.008*""영업"" + 0.007*""경우"" + 0.007*""최고""')",,,,,,,
8,"(0, '0.025*""점심"" + 0.017*""제공"" + 0.016*""은행"" + 0.014*""카페"" + 0.014*""영업"" + 0.014*""지점"" + 0.012*""점심시간"" + 0.010*""사내"" + 0.009*""동료"" + 0.009*""일찍""')","(1, '0.043*""수평"" + 0.018*""재택근무"" + 0.014*""조직"" + 0.014*""사내"" + 0.012*""동료"" + 0.011*""제도"" + 0.011*""자율"" + 0.010*""윗사람"" + 0.010*""보지"" + 0.009*""일만""')","(2, '0.015*""포인트"" + 0.015*""대기업"" + 0.011*""업계"" + 0.010*""지점"" + 0.010*""은행"" + 0.010*""성과급"" + 0.009*""제도"" + 0.009*""최고"" + 0.008*""경우"" + 0.007*""매우""')","(3, '0.020*""사무실"" + 0.018*""명절"" + 0.014*""경험"" + 0.012*""대부분"" + 0.011*""영업"" + 0.010*""정년"" + 0.009*""윗사람"" + 0.009*""서울"" + 0.009*""그룹"" + 0.009*""때문""')","(4, '0.015*""공기업"" + 0.014*""수평"" + 0.013*""대부분"" + 0.012*""매우"" + 0.011*""공공기관"" + 0.010*""경우"" + 0.010*""조직"" + 0.009*""대체로"" + 0.009*""때문"" + 0.009*""구내식당""')","(5, '0.023*""은행"" + 0.014*""지점"" + 0.012*""사내"" + 0.012*""압박"" + 0.011*""육아휴직"" + 0.011*""정년"" + 0.011*""영업"" + 0.010*""서울"" + 0.010*""제도"" + 0.009*""건물""')","(6, '0.019*""건물"" + 0.016*""증권사"" + 0.016*""영업"" + 0.011*""업계"" + 0.011*""체계"" + 0.010*""서울"" + 0.009*""본사"" + 0.009*""육아휴직"" + 0.009*""자부심"" + 0.009*""정년""')","(7, '0.019*""건물"" + 0.017*""카페"" + 0.012*""제공"" + 0.011*""수당"" + 0.009*""자율"" + 0.009*""본인"" + 0.008*""식대"" + 0.008*""그룹"" + 0.008*""밀리"" + 0.008*""복장""')",,
10,"(0, '0.034*""점심"" + 0.022*""카페"" + 0.020*""은행"" + 0.018*""제공"" + 0.017*""영업"" + 0.014*""사내"" + 0.013*""지점"" + 0.011*""점심시간"" + 0.010*""건강검진"" + 0.010*""대표""')","(1, '0.045*""수평"" + 0.018*""재택근무"" + 0.016*""조직"" + 0.015*""사내"" + 0.011*""제도"" + 0.011*""윗사람"" + 0.011*""동료"" + 0.011*""보지"" + 0.009*""회식"" + 0.009*""거의""')","(2, '0.017*""포인트"" + 0.015*""대기업"" + 0.013*""은행"" + 0.013*""지점"" + 0.009*""업계"" + 0.008*""성과급"" + 0.008*""최고"" + 0.008*""제도"" + 0.008*""영업"" + 0.007*""직장""')","(3, '0.022*""사무실"" + 0.015*""명절"" + 0.013*""무난"" + 0.013*""터치"" + 0.012*""만큼"" + 0.012*""본인"" + 0.012*""대부분"" + 0.012*""팀바팀"" + 0.011*""크게"" + 0.010*""건물""')","(4, '0.014*""대부분"" + 0.014*""공기업"" + 0.011*""지점"" + 0.011*""매우"" + 0.011*""때문"" + 0.010*""사업"" + 0.010*""수평"" + 0.010*""경우"" + 0.009*""욕심"" + 0.009*""대표""')","(5, '0.021*""은행"" + 0.013*""공기업"" + 0.013*""지점"" + 0.012*""정년"" + 0.012*""압박"" + 0.012*""노조"" + 0.011*""사내"" + 0.011*""인턴"" + 0.011*""경험"" + 0.010*""제도""')","(6, '0.025*""건물"" + 0.019*""영업"" + 0.015*""육아휴직"" + 0.014*""지점"" + 0.013*""수평"" + 0.012*""가장"" + 0.011*""본사"" + 0.011*""거의"" + 0.010*""증권사"" + 0.010*""만큼""')","(7, '0.016*""제공"" + 0.015*""건물"" + 0.013*""수당"" + 0.013*""본인"" + 0.011*""카페"" + 0.010*""제도"" + 0.010*""간식"" + 0.010*""자율"" + 0.009*""밀리"" + 0.009*""상여""')","(8, '0.014*""구내식당"" + 0.013*""영업"" + 0.011*""서울"" + 0.011*""증권사"" + 0.010*""경험"" + 0.009*""기준"" + 0.008*""교육"" + 0.008*""편임"" + 0.008*""하나"" + 0.008*""대기업""')","(9, '0.022*""성과급"" + 0.018*""업계"" + 0.014*""카드"" + 0.014*""대기업"" + 0.012*""동료"" + 0.012*""제도"" + 0.010*""최고"" + 0.010*""포인트"" + 0.009*""보지"" + 0.009*""본사""')"
