,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,3.399543186391649e-307,3.58030386995728e-307,1.0,2.684113861454726e-307,5.633498423819696e-308,0.9544222391024354,0.024568521245239026,0.007255165889506012,0.006851110455202375,0.006902963307617019,6441.0,75400.0,0.2
1,근로복지공단,0.12295505119671117,0.163433344337715,0.2176075359251679,0.05414207302511258,0.013155496311278865,0.5705738397554907,0.0367587765874237,0.009084808076076973,0.008080394499664523,0.00803594890542738,5817.0,9406.2,0.13
2,농협은행,0.6942123873907385,0.059681449192248555,0.020003833773638024,0.009830448910163797,0.0037986015983341465,1.0,9.409707171282329e-308,2.5468275324193785e-308,2.326638131280362e-308,2.3477251308381e-308,6182.0,13100.0,0.15
3,현대카드,0.11935141765117684,0.4770707669477652,0.109153895544578,0.03496749085684225,0.007680054557611559,1.0964323640163047e-306,1.0,1.2892153426646586e-307,9.234105023054941e-308,8.671962175273734e-308,8737.0,2300.0,0.35
4,중소기업은행,0.13949328993018592,0.18477916675483813,0.33590493663928567,0.08368570320020172,0.017283570420730678,0.8984879116425634,0.05493201474532805,0.01303354987415049,0.01141154857789093,0.011618081644647886,10065.0,14800.0,0.16
5,국민연금공단,0.6505446668091939,0.11099197813976606,0.02836604962075949,0.013088010336560338,0.004432293804025439,0.7856217097005168,0.07162473064212284,0.014939441626030512,0.01257339792320534,0.0126610086484524,6345.0,29900.0,0.1
6,현대캐피탈,0.49771510184425477,0.0776109912769214,0.020893297813488136,0.009993624829581688,0.0038030822470251245,1.0,1.5081318889210994e-307,3.614371073923631e-308,3.177023680313523e-308,3.1615816615946013e-308,10926.0,3000.0,0.2
7,국민은행,0.27272547504827,0.5259739915640863,0.033872850264187716,0.016612055662400232,0.005375335568023029,0.8335424684418925,0.04937035036235255,0.012095780550339757,0.010707598045036,0.010684130414757255,11355.0,21200.0,0.23
8,삼성생명보험,0.6741196025811127,0.15873395429482992,0.032339738570621626,0.01571651411997238,0.005045052019566484,1.2185678197398011e-306,1.0,7.893395989062147e-308,5.921129256845483e-308,6.1125861953807e-308,11975.0,27100.0,0.07
9,신한은행,0.5846365581120926,0.047556500352738625,0.015557074497103574,0.007455765109222753,0.0028039286377213916,0.9036157287870982,0.041489400873194596,0.0095152561224569,0.008243787953578547,0.008207583766645415,11276.0,21900.0,0.1
10,우리은행,0.1387009267197993,0.18238274543512895,0.395334161893992,0.09028194960646516,0.01793569981121267,0.8699813967922867,0.020415821435338054,0.0059319626724482,0.005559193611872104,0.0056182100537837615,10406.0,20400.0,0.09
11,신용보증기금,0.220849780398421,0.34259381886612067,0.04411455772274811,0.01890296920136354,0.0056785411100953,0.6859245933495839,0.013984081683615033,0.003949152254122752,0.0036692818627199375,0.0036939832202011738,9488.0,1100.0,0.25
12,한화생명보험,0.16181983654760906,0.46749641644825335,0.15283954797265079,0.0499325755516141,0.010607999954779592,5.860575573094713e-307,2.5159977599214256e-307,3.1398051863908146e-307,4.248303979261014e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,9.3030543782482e-307,1.0,2.1186404937026056e-307,9.73639001920685e-308,2.672297733928251e-308,0.8318632144606274,0.031205456539680758,0.008449524968825435,0.007744503226983881,0.007747551852405548,9961.0,2700.0,0.08
14,하나은행,0.6851949014851543,0.09927849963463693,0.02416585287042869,0.01141926879394013,0.003940073451007277,1.0,6.2073553467822556e-307,9.934138656666892e-308,7.307284197513303e-308,7.151449450343023e-308,11856.0,29200.0,0.1
15,삼성화재해상보험,0.3117539211108704,0.04593940162211761,0.01289296909207795,0.006387787285645153,0.002249573002125456,0.7248177649359967,0.025774507730032575,0.006779624472289962,0.0061262698452843175,0.006209155610790594,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,3.1560738076504738e-307,9.07347011005635e-308,4.4492693900133497e-308,1.5981170224200373e-308,0.9709516055441602,0.015619592066790842,0.004631864479838088,0.004380449458252105,0.0044164884509588906,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.12367414672907114,0.5221593751398863,0.07364538710146963,0.0418044838360665,0.0077141287837752355,0.9002493329315213,0.014463159206634567,0.004246378238473864,0.003995284166819249,0.004042276398493928,8562.0,10100.0,0.25
18,교보생명보험,1.0,4.576685980948312e-307,1.0910487571090326e-307,5.137147816094187e-308,1.763988176322316e-308,7.0626638547056e-307,4.105788837085105e-307,1.0,3.3040377670887525e-307,3.517724139459451e-307,10001.0,13000.0,0.08
19,롯데카드,0.536644286627855,0.06325294963792195,0.018534633776318483,0.009157710911307442,0.0033207824869506872,0.8169301228915709,0.02407594713815596,0.007004102607510804,0.0065604777392981655,0.006653888348554303,8325.0,1500.0,0.16
20,한국투자증권,0.13584670279668,0.28956510600166524,0.1622586700047792,0.09965188834486581,0.012488968520403139,0.7206082355762529,0.037141477361888435,0.009421765552825699,0.008407618090193905,0.008563712628869227,16010.0,9900.0,0.15
21,한국산업은행,1.0,3.3854117360569554e-307,9.666690710401002e-308,4.701942513159292e-308,1.6665084802209294e-308,0.8599768901288386,0.025158772584859174,0.007500364983175235,0.007109239768671002,0.007168221373161088,10264.0,24700.0,0.16
22,삼성카드,0.6522424002903205,0.09202952102453514,0.022315359689343294,0.010471101643101631,0.003607924832499577,0.7225019272615805,0.019533808388227717,0.005368359064181712,0.004921368790070711,0.004995911734027173,14080.0,3200.0,0.13
