,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.05464925288620539,0.07053298177836527,0.06437535951280418,0.026542990497049286,0.009517537823130704,0.6417018453212585,0.013423531221185444,0.00320878458491319,0.7218125653676365,0.0955317332119742,0.024323578339155216,0.007208850456758756,0.006250953398248579,0.006638831721230672,0.007126547147311235,0.006325945414262961,6441.0,75400.0,0.2
1,근로복지공단,0.11198252343991781,0.19586696189781058,0.1393089086844938,0.021240856120447488,0.01221575067641639,0.034776991373471164,0.027302618458220806,0.006573047649388484,0.21198013137936644,0.34879634825788897,0.05352520314771294,0.012824583023104246,0.008382892992934446,0.009618035831273925,0.011195588799982559,0.00847490357444907,5817.0,9406.2,0.13
2,농협은행,0.7481721503286609,0.1449966894537252,0.03559447129143055,0.009922083986651599,0.008998348355484059,0.01017400021548511,0.011962808421655069,0.030179447946907356,0.722428726564855,0.17154735424572332,0.02283388877135318,0.006200301188833229,0.004887763785890494,0.005389665895798416,0.006047560124871275,0.00497676775324728,6182.0,13100.0,0.15
3,현대카드,0.18811691438944741,0.4757080844925614,0.11641487773388966,0.017490680410929625,0.01218225540318952,0.022029825068832252,0.030070813245558346,0.009591326831717194,0.08825742661679475,0.08711030866168282,0.12807265299226855,0.5733432489136262,0.021117350997640907,0.033515465250334615,0.04756670687636472,0.021016839691287297,8737.0,2300.0,0.35
4,중소기업은행,0.13506005495071072,0.18703899544640254,0.30342340307066235,0.03734885817849893,0.018854382318535683,0.0448323408793724,0.0499803592803713,0.007408791981730949,0.3394161932521818,0.49855501451831674,0.06827639463136587,0.01633927281498763,0.011808153766818992,0.013637755840410569,0.016476545100436467,0.01218352020283871,10065.0,14800.0,0.16
5,국민연금공단,0.7173411551696367,0.12475069361629106,0.02294553351574711,0.005899914333163792,0.005057751544294887,0.006370450393045883,0.007597382977873433,0.02680008050071962,0.18143134248221138,0.5031790619304185,0.09390672756203106,0.019461849156688263,0.0115192387061203,0.014059069598858324,0.01775835737588339,0.011932827647406025,6345.0,29900.0,0.1
6,현대캐피탈,0.37826888929856817,0.06517042281487948,0.013043154956362608,0.0033812452560435234,0.002981854556895808,0.0035648545880525148,0.004329961995514594,0.03609100317207333,7.225968718432684e-307,1.0,2.216810579966757e-307,5.105138055721806e-308,3.2507097042214085e-308,3.777276986043741e-308,4.452655624087275e-308,3.300222196303484e-308,10926.0,3000.0,0.2
7,국민은행,0.27257241963242324,0.6373956578389172,0.029856535644936323,0.0066922941469494505,0.005629020202694229,0.0069701485640053925,0.00969994323612283,0.013749430674257131,0.2372894875584072,0.4348228403223711,0.05930594559588491,0.01407418181725233,0.00930565583444509,0.0107280064607114,0.012552442750067146,0.009452755392127265,11355.0,21200.0,0.23
8,삼성생명보험,0.7669378815401807,0.16294245412796513,0.025514568558776877,0.006309295990205773,0.0053713703928250645,0.006557442902635518,0.008699500825170028,0.017667485662240905,4.3610989204018625e-307,5.068428673429446e-307,1.0,1.0679856032630176e-307,5.956246620517914e-308,8.151523429556423e-308,1.3610091366865498e-307,6.351012377912474e-308,11975.0,27100.0,0.07
9,신한은행,0.804735845983225,0.10993926811291507,0.026116777739388985,0.007163133614063031,0.006419287603066664,0.007494323759102131,0.008661660694382808,0.02946970249385658,0.17969261582035936,0.5506034687946123,0.07453346502665814,0.015718645227165675,0.009617984685319048,0.011384344115644618,0.013782326941046535,0.00979366686996748,11276.0,21900.0,0.1
10,우리은행,0.12671618601618984,0.17640045289263406,0.3038439524506867,0.037052910160498276,0.018285639675877104,0.04507746371927632,0.04833549944817211,0.007139077581601648,0.6730153918611966,0.08029065012249025,0.01901154319641652,0.005537635634948597,0.004738618193668627,0.005075463414400243,0.005518871148409583,0.004816584643605723,10406.0,20400.0,0.09
11,신용보증기금,0.23151086311727997,0.20007092180940725,0.024337382172641146,0.005303491273726444,0.004250922564406929,0.006007727487304238,0.007644247647143223,0.008300166979701719,0.5555177160845463,0.09313241906665486,0.018120768196667743,0.005101413553616392,0.004213448736763653,0.004555460673034573,0.005004465978703618,0.004260645059426661,9488.0,1100.0,0.25
12,한화생명보험,0.17622357230961974,0.46229214476413577,0.1290286512256513,0.018044896565855735,0.012369592554069615,0.022473410555426322,0.03326658356975469,0.008949427779804519,2.692254802024479e-307,2.1496857143165937e-307,1.5638993101855182e-307,8.296875199425488e-308,3.3707440191383554e-307,3.0319050967903545e-307,1.0981077816550306e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.24438404915773898,0.6316951475260866,0.036052102854575954,0.0075509833215729434,0.006034550548566504,0.008172664051807972,0.011760699675423526,0.009987563243665636,0.32629468227218006,0.3943375376908604,0.02811035110737027,0.007605994801166841,0.005750426097021214,0.006356284441336278,0.007107091027280384,0.005814834460341153,9961.0,2700.0,0.08
14,하나은행,0.7588052783855814,0.12762307686439772,0.02351233487899955,0.00596568247462322,0.00511686861749099,0.006330754060355666,0.0077809421640412145,0.04614129255190987,0.10415033116580324,0.11688772949319559,0.4119160885641644,0.06083103612941893,0.017791571670154632,0.025492441138446065,0.041942170425335115,0.018180308129974624,11856.0,29200.0,0.1
