,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.13508470941541828,0.7673128424921143,0.04021475017152667,0.014179800058609951,0.02224291420827929,0.016104280259325258,0.004860703394726083,0.7894154770122148,0.02811537991982131,0.011536153479320733,0.0050047041278813535,0.004663110503508171,0.004705905027657809,0.005248522723273032,6441.0,75400.0,0.2
1,근로복지공단,0.14961981778755493,0.15274652550297493,0.016721613804192653,0.009296295412340377,0.02207778213592099,0.02100396891591174,0.005012817647234456,0.7970707063013995,0.0884458082113265,0.03239721836130303,0.011592879532951504,0.01000402391354608,0.009884217744714253,0.013176221929148586,5817.0,9406.2,0.13
2,농협은행,0.7705783337267988,0.022732472144063227,0.005049035942801397,0.004430096832255695,0.006038707542937564,0.0067523687878029565,0.016084441856615273,0.7244656999434088,0.025671461975238632,0.010709586853192263,0.004197646080883374,0.0037566945831836547,0.0037980349976414105,0.004538248170288268,6182.0,13100.0,0.15
3,현대카드,0.7278627297834979,0.1496605756827325,0.017602118183866765,0.011299776119508635,0.03213280140466655,0.051639735634078976,0.009802263191648885,1.1425441650024723e-306,1.0,4.2031992945735326e-307,1.7452837750225939e-307,1.1237910548425391e-307,1.0242861243250435e-307,3.599543067260016e-307,8737.0,2300.0,0.35
4,중소기업은행,0.15316594800322314,0.19738675961005142,0.02415909406079898,0.011702652203099791,0.036024049927676584,0.027849189231976823,0.005075244818191808,1.0,3.193928986505316e-307,1.4687902607481344e-307,4.908395695618315e-308,4.179563223375751e-308,4.270357519561097e-308,5.495606765149773e-308,10065.0,14800.0,0.16
5,국민연금공단,0.8746039411480301,0.03427431590745845,0.0068915826543987984,0.00578296564300876,0.008801429529521641,0.01023924181445018,0.03320282398436137,0.6592112835608802,0.09796481899382267,0.04018354018185181,0.011396236014564722,0.009249805760690878,0.009286911650624763,0.01354714144798874,6345.0,29900.0,0.1
6,현대캐피탈,0.4331239920816337,0.015566114758058892,0.0032603692004668193,0.002856916163212637,0.0041092898584121984,0.00479146044015381,0.028761585993984973,1.0,3.819468641887418e-307,1.350450270672636e-307,4.694384945342879e-308,4.001808751596645e-308,3.952335268625393e-308,5.408148686848855e-308,10926.0,3000.0,0.2
7,국민은행,0.6590080262965023,0.03023792674898058,0.006035890288913417,0.005006308365307471,0.008494314358242024,0.011316869128184666,0.014030885829146307,0.7373842567937704,0.07520860671082168,0.027783695840161944,0.00977920606438616,0.008395022667202046,0.008320302008354345,0.01114762951127907,11355.0,21200.0,0.23
8,삼성생명보험,0.903362840069039,0.03493902989275458,0.007150650094981648,0.005877571192062168,0.009685364032979779,0.011658924619881127,0.02159256573077268,0.35673437252311385,0.17185723985746654,0.3284467700660141,0.024764096407629718,0.017475576077539783,0.017995758093725417,0.03290003874819656,11975.0,27100.0,0.07
9,신한은행,0.50632818826868,0.014087189934045417,0.0030430315012549116,0.002652401545126495,0.0036453432674941706,0.004121704589143566,0.013751749953726067,0.8082442497895778,0.0895903156158197,0.032210856522134075,0.010389888421442384,0.008693131620430323,0.008611053769023238,0.012137404597793609,11276.0,21900.0,0.1
10,우리은행,0.22948037983338154,0.35245161628347094,0.04072672416699217,0.018077879061400973,0.05848452503935026,0.042129709344826134,0.007781070084771733,0.7368230534638619,0.026165540790462564,0.010879841379144283,0.0046252052835469865,0.004271136464101789,0.004330166173930314,0.004877849266202067,10406.0,20400.0,0.09
11,신용보증기금,0.34029328590474034,0.026875256932937658,0.004680155644096944,0.003521126111978295,0.006700911763809485,0.00862363208675169,0.007778008078633161,0.8159848761340713,0.03370911393219279,0.013977901292310576,0.005730537863191373,0.005221543604641498,0.005262351581040825,0.0061019367563089275,9488.0,1100.0,0.25
12,한화생명보험,0.6840894933642834,0.16396476160397916,0.02032022111056873,0.013172009653245248,0.03968430947027261,0.067523002467541,0.011246202330109773,7.228217559682986e-307,3.876579080950607e-307,1.8090871104600604e-307,2.9834542630092673e-307,3.571780035620441e-307,1.0,1.2624805517678993e-307,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.7393988579187251,0.046782562975997886,0.00828522904937292,0.006170983844911858,0.012557687797074078,0.01698282043843107,0.011489129678915496,0.8641779487155271,0.04216035342889031,0.016762382190051717,0.006626433523005826,0.005942363692464294,0.005936707566935072,0.007208395650778649,9961.0,2700.0,0.08
14,하나은행,0.777632165949621,0.0272219109346653,0.005561726217549044,0.004612456173892707,0.007161418459546898,0.008515005466551156,0.04240457146833545,0.25052058250753134,0.49792624566929977,0.11276357253529674,0.023215473070252554,0.01578721374483932,0.015299434873119225,0.03572622863412082,11856.0,29200.0,0.1
15,삼성화재해상보험,0.6203755395067145,0.02122221260523527,0.004599817130150151,0.003889111766166385,0.0058275138240369015,0.0067413915074502435,0.01686135363571982,0.8430058453545456,0.04321289326054891,0.018618929820539372,0.0070625005738850135,0.00624856585795101,0.006358307202416458,0.007684506499089027,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,8.3715481513158115e-308,1.8014153791273095e-308,1.538942400098159e-308,2.266385937780655e-308,2.5974248910814854e-308,7.968172150320707e-308,0.9463279095897232,0.02539089640320936,0.010436448671162975,0.0045482334023034,0.004246220123500089,0.004288643106544821,0.0047616487035560045,5645.0,3957.1,0.26
