,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,1.0,1.1383269770178643e-307,4.197433434847359e-308,9.599829242205203e-308,5.075872654343674e-308,3.735241366105932e-308,4.630713870967988e-308,2.183223242345571e-308,1.5645976103685034e-308,0.7290398608140154,0.12113282879225123,0.025773220265652805,0.014370386142488641,0.008221537202131026,0.007097203244468086,0.006187448332805045,0.00657223119011379,0.006232990771185339,6441.0,75400.0,0.2
1,근로복지공단,0.21810672875731868,0.15702020700463484,0.05662084242589341,0.1378925135281089,0.0732480461985402,0.05476402360623112,0.04107715608179073,0.033411841372665604,0.022056063271181866,0.20296608786432568,0.48412423210589306,0.08357492995320125,0.03350966053007062,0.019821797617917105,0.014587502983720078,0.010932811510441013,0.012222316321515027,0.010822904208812784,5817.0,9406.2,0.13
2,농협은행,0.007447522787722232,0.41862748948985784,0.14053068147419565,0.09220604630742459,0.03418051820153494,0.021188928270666756,0.0034501352079675807,0.008537898010097324,0.012782031401685422,1.0,1.1837138096144054e-306,1.2057279005280048e-307,5.782657947019559e-308,3.6279701606270956e-308,2.818163437610514e-308,2.2696548001424464e-308,2.488057358263394e-308,2.2874057519285945e-308,6182.0,13100.0,0.15
3,현대카드,0.3240082747309213,0.1799949579404992,0.062466347828651486,0.16828725277764917,0.09044222408225126,0.07054696598329299,0.031096890875125325,0.046257004815032775,0.026900080966576177,2.8244004346139277e-307,3.282270907848924e-307,4.482406521025037e-307,1.0,1.0282142089871293e-307,1.9278843837533307e-307,8.599826198678474e-308,1.1369644609260097e-307,8.026602117440762e-308,8737.0,2300.0,0.35
4,중소기업은행,0.41091385103600003,0.15919145081427838,0.05788333403157252,0.13833249979998127,0.0710084921873798,0.05385103128377758,0.05337420547570881,0.03356997654840507,0.021875158822896555,0.22166913450983416,0.41003179430963166,0.08040608877094538,0.028657917679668174,0.022922162523524352,0.014487536652237197,0.010376100739667531,0.01192599213230119,0.01055094023501358,10065.0,14800.0,0.16
5,국민연금공단,0.024705326253992764,0.1366109493661064,0.03655505440776557,0.17277285606238882,0.398918206595206,0.06241585553025869,0.004811862477272179,0.016940189011906297,0.027958920122918295,0.12301019909136578,0.24108545104246315,0.1755242133403407,0.03378609615919742,0.026327024442679058,0.01539070140163824,0.010036884926609911,0.011846127086600619,0.010067627794453159,6345.0,29900.0,0.1
6,현대캐피탈,0.010322621703445617,0.15037106859411797,0.03030449179998488,0.20308116933296094,0.09348861144708091,0.03294522387226612,0.002945823064508508,0.010792403377617256,0.03176762424446235,5.292879595073941e-307,1.0,2.70222054196655e-307,1.0031587983481443e-307,6.082297867765339e-308,4.345286598839838e-308,3.1730342918129645e-308,3.5827940531583077e-308,3.145330029730627e-308,10926.0,3000.0,0.2
7,국민은행,0.01889516819440149,0.06427861088616735,0.019061515375106426,0.0828117293686151,0.03385802440975434,0.03858621611329773,0.003934551183836078,0.6667941793148915,0.010694319688410154,0.23238823009302778,0.5220427222296425,0.09176146475098358,0.03566551474815619,0.021780947400891846,0.015818959233987434,0.011783281652427452,0.0132227089847184,0.011712901639247607,11355.0,21200.0,0.23
8,삼성생명보험,0.029368743714775578,0.1363582086533312,0.035396605380977095,0.19477842409106141,0.10116712623149149,0.41718699821675026,0.005736765452586352,0.03732869805210919,0.020802009055895798,0.08298728925585601,0.10748635517691874,0.09693136717518812,0.04703824357075424,0.5453607951265796,0.029688731813513624,0.013708560625042889,0.018214828089654526,0.01413191515012823,11975.0,27100.0,0.07
9,신한은행,0.008187851009595761,0.5312364951395815,0.10461231980059804,0.10215651862102555,0.04368761996628624,0.021767858575395586,0.0033375986570307365,0.008666680372935793,0.017716019354739987,0.13488869626516325,0.6105317042282176,0.09281158863035074,0.031016160130550446,0.019962761069118446,0.013397690362443619,0.009411126180009598,0.010777692950940287,0.0093344660773907,11276.0,21900.0,0.1
10,우리은행,0.4428431601011379,0.1502117010236868,0.05463791472869274,0.1302577998068546,0.066997513177939,0.05079554411592313,0.052141741405415276,0.031526548740662685,0.020588076899688015,0.44498798956796676,0.08577457758143818,0.01694650348999835,0.009177674412149641,0.0054029352779402596,0.004561285220382177,0.003902330911283901,0.004181283967001118,0.00394237780823321,10406.0,20400.0,0.09
11,신용보증기금,0.18859848737004625,0.1917902379235197,0.06108029211755232,0.2119150670390872,0.12821058425713933,0.10569448848676685,0.01584239234184707,0.06238329303315251,0.0344851574308889,0.5300862894857821,0.12700863309452373,0.019895734906677617,0.010335161419730463,0.006256818822507073,0.0050868439566700945,0.004246512665036607,0.004586576647339121,0.004274790586419001,9488.0,1100.0,0.25
12,한화생명보험,0.30868388417276826,0.18386296060878304,0.06389371194053466,0.17056313421450217,0.09154204546044455,0.07179246246558248,0.03364886058966909,0.04677881203561895,0.026875590171830166,2.0595634746450948e-307,2.019212597681084e-307,1.2726686692365337e-307,1.3385287163489596e-307,4.936878022487908e-308,1.0050186299939162e-307,3.205557995018222e-307,2.7097270892497993e-307,1.0,9292.0,16100.000000000002,0.15
