,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.1139922983275194,0.08248789182693132,0.55157166533378,0.016880276293785912,0.04311430472738571,0.023879272898407158,0.6807075190515585,0.04828000775717863,0.010102319488463135,0.005334744979140092,0.0045817981060193285,0.00459510516062481,6441.0,75400.0,0.2
1,근로복지공단,0.14974545259179903,0.15100990793268204,0.18062715631606147,0.014940039358449286,0.02636187479989039,0.033688048281265925,0.4316774157197316,0.2387881279798823,0.020442636311344978,0.013232386654072408,0.008424987254056743,0.008241930113625307,5817.0,9406.2,0.13
2,농협은행,0.8061929825248193,0.04355999629215901,0.017766507673017268,0.004867114700360557,0.005447904745242346,0.006454297088574678,0.6364267085203793,0.05875280759721637,0.009196530365260087,0.005024330829859164,0.003930779705453659,0.003939272359466573,6182.0,13100.0,0.15
3,현대카드,0.1765524545418435,0.694466931604139,0.07802971053024352,0.010303663898580203,0.01510351064555646,0.025543728779637506,6.7562423070030405e-307,7.837627655053355e-307,3.2507938721632805e-307,1.0,9.823315554826e-308,8.874946197250668e-308,8737.0,2300.0,0.35
4,중소기업은행,0.1416272952461667,0.11591348326852063,0.2723610808861292,0.017026559452159196,0.033139596687044706,0.04280614061728491,0.619361725352609,0.30476576292179586,0.026483509667243044,0.014493728551181324,0.010426863059584601,0.010524045328109253,10065.0,14800.0,0.16
5,국민연금공단,0.6252692304530906,0.06308137986605482,0.01939791736374632,0.004822459630459643,0.005636547845760594,0.007102596309641075,0.28868997840999894,0.426115508911127,0.023202945376854068,0.014316679107944721,0.008569632893432792,0.008517777698554099,6345.0,29900.0,0.1
6,현대캐피탈,0.432735185392766,0.03498227507503,0.011127874455650756,0.0028312374879470767,0.0032839823478102445,0.004113256502675485,1.5515970896366694e-306,1.0,8.643760245417444e-308,5.753437306507638e-308,3.495904987020744e-308,3.4175207014316357e-308,10926.0,3000.0,0.2
7,국민은행,0.2558414203790248,0.4443899547158776,0.02158054308282726,0.004953118693215923,0.006092851899320666,0.00853423957895676,0.4088814878770335,0.21948429668889086,0.017975015362998663,0.011353630848047799,0.007326729250719706,0.007208127373564496,11355.0,21200.0,0.23
8,삼성생명보험,0.7958363915972458,0.10271628886849704,0.024770617763073446,0.00609640273841135,0.00724906554863111,0.009688245090080391,8.531150880535938e-307,1.0,2.2615698352921883e-307,1.1725200955681734e-307,6.378508117354793e-308,6.481666444561159e-308,11975.0,27100.0,0.07
9,신한은행,0.6016329791664494,0.03673940361380661,0.01462188113386975,0.003913948723331272,0.00441282119711151,0.00523739290937253,0.4015105318303609,0.3134971664659545,0.022768306770258234,0.015192749167305805,0.008955124469126744,0.008768429743653789,11276.0,21900.0,0.1
10,우리은행,0.18149497328880454,0.14782313572369246,0.39321438712921497,0.022774646887744242,0.047596824342335406,0.0575627859550281,0.7757857380249427,0.05731491086031331,0.011440465266446466,0.006000624469007987,0.0051095212447956435,0.005142214602942924,10406.0,20400.0,0.09
11,신용보증기금,0.2771592583586361,0.11135518176025547,0.022300186329788665,0.004730851704367892,0.0059312368632780665,0.008281665049556028,0.6509382705113285,0.04864869460151447,0.008956369430931269,0.0048161853443903216,0.003935788861675905,0.003941503331755265,9488.0,1100.0,0.25
12,한화생명보험,0.15332471289768615,0.27342852980730326,0.08122569206148603,0.009811189420824025,0.014754148112049828,0.02638871852512613,4.486755104632535e-307,2.8556858613379315e-307,3.6277926260399404e-307,7.730537492434102e-308,3.576285752552558e-307,1.0,9292.0,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.33275052140719696,0.6019709928948157,0.03469205947366581,0.007328420148103363,0.00932149742185672,0.013936508654361402,0.8233875761146524,0.09318487329924435,0.014491868559684911,0.00832985369464354,0.006252919117831625,0.00620399600784031,9961.0,2700.0,0.08
14,하나은행,0.6327134063659358,0.05798698285225504,0.017114229908683994,0.004253465460271412,0.004988194936191031,0.006351180712381099,0.13402934016642387,0.7107068948526719,0.045380251111593856,0.0422753936067203,0.012929738488114205,0.012466015827908666,11856.0,29200.0,0.1
15,삼성화재해상보험,0.6231922613114244,0.0465442907871264,0.016064786329278304,0.004245915671105511,0.004866469597358088,0.0060652752573435095,0.5775288328997628,0.08521218911775612,0.012032208924321396,0.006496126027195973,0.005035568631556808,0.005069063390154059,13656.0,22600.0,0.08
16,웰컴저축은행,1.0,1.769873114336668e-307,6.085599188602552e-308,1.6101964636560905e-308,1.840762798232263e-308,2.2832641981833476e-308,0.8461659773438439,0.03805125793394229,0.008066378480523861,0.004235713021396306,0.0036660619693069715,0.0036801429501520204,5645.0,3957.1,0.26
17,메리츠화재해상보험,0.17955124102360298,0.7038643160946408,0.06071426509412222,0.010119372664816481,0.014561899108935163,0.031188906013882793,0.9103938675316697,0.05959048880446186,0.01238744407702122,0.00643853795388714,0.005573040440960396,0.005616621191999729,8562.0,10100.0,0.25
18,교보생명보험,1.0,2.5622179907750256e-307,7.310403262020252e-308,1.8022134595995998e-308,2.1217388965091683e-308,2.720700142395935e-308,0.062064922952293974,0.04541931234876149,0.7842646004918961,0.014839298531991932,0.036733590018363065,0.035882580005818364,10001.0,13000.0,0.08
19,롯데카드,0.7273848846828672,0.046274677568376825,0.01645329633735442,0.004375857287284546,0.004992656395130862,0.006166936048499036,0.9106749241724305,0.05978248429934858,0.012237296065409225,0.00632666228172839,0.0054595830049331264,0.0055190501761498536,8325.0,1500.0,0.16
